challenge,num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
Diagonal,1,Base,0.660000,0.630077,0.688699,0.729716,0.725781,0.733614,0.852899,0.848202,0.857475,0.7451,0.1810,0.9487,0.809,1000
Diagonal,1,WDRO-sampling,0.171000,0.148933,0.195585,0.046177,0.044343,0.048083,0.045628,0.042947,0.048469,1.0915,0.3180,0.9577,0.946,1000
Diagonal,1,WDRO-inject-K1,0.148000,0.127339,0.171356,0.000000,0.000000,0.000080,0.000000,0.000000,0.000174,1.0704,0.3783,0.9581,0.955,1000
Diagonal,1,WDRO-inject-K2,0.157000,0.135769,0.180856,0.000000,0.000000,0.000080,0.000000,0.000000,0.000174,1.0717,0.3800,0.9579,0.954,1000
Diagonal,1,WDRO-inject-K3,0.144000,0.123601,0.167124,0.000000,0.000000,0.000080,0.000000,0.000000,0.000173,1.0744,0.4387,0.9582,0.954,1000
Diagonal,1,TopRisk-K1,0.175000,0.152705,0.199782,0.000000,0.000000,0.000079,0.000000,0.000000,0.000172,1.0705,0.3260,0.9581,0.951,1000
Diagonal,1,TopRisk-K2,0.162000,0.140464,0.186123,0.000000,0.000000,0.000080,0.000000,0.000000,0.000174,1.0708,0.3723,0.9580,0.954,1000
Diagonal,1,TopRisk-K3,0.166000,0.144225,0.190331,0.000000,0.000000,0.000079,0.000000,0.000000,0.000173,1.0741,0.3415,0.9581,0.951,1000
Diagonal,1,DiverseRisk-K1,0.147000,0.126404,0.170298,0.000000,0.000000,0.000080,0.000000,0.000000,0.000175,1.0799,0.3477,0.9578,0.957,1000
Diagonal,1,Softmax-tau5,0.168000,0.146108,0.192433,0.000000,0.000000,0.000079,0.000000,0.000000,0.000171,1.0835,0.3363,0.9580,0.952,1000
Mixed-2obs,2,Base,0.677000,0.647387,0.705259,0.739968,0.737352,0.742567,0.854417,0.851321,0.857459,0.7418,0.1810,0.9320,0.938,1000
Mixed-2obs,2,WDRO-sampling,0.160000,0.138585,0.184017,0.028945,0.027914,0.030014,0.020010,0.018761,0.021339,1.1126,0.1929,0.9560,1.149,1000
Mixed-2obs,2,WDRO-inject-K1,0.171000,0.148933,0.195585,0.000000,0.000000,0.000039,0.000000,0.000000,0.000084,1.1043,0.2386,0.9561,1.160,1000
Mixed-2obs,2,WDRO-inject-K2,0.190000,0.166889,0.215484,0.000000,0.000000,0.000038,0.000000,0.000000,0.000083,1.0810,0.1672,0.9559,1.168,1000
Mixed-2obs,2,WDRO-inject-K3,0.185000,0.162154,0.210257,0.000000,0.000000,0.000038,0.000000,0.000000,0.000083,1.0840,0.1602,0.9559,1.167,1000
Mixed-2obs,2,TopRisk-K1,0.161000,0.139524,0.185070,0.000000,0.000000,0.000039,0.000000,0.000000,0.000084,1.1311,0.2184,0.9558,1.153,1000
Mixed-2obs,2,TopRisk-K2,0.142000,0.121734,0.165006,0.000000,0.000000,0.000039,0.000000,0.000000,0.000084,1.1381,0.2611,0.9553,1.153,1000
Mixed-2obs,2,TopRisk-K3,0.149000,0.128274,0.172412,0.000000,0.000000,0.000039,0.000000,0.000000,0.000084,1.1341,0.3013,0.9559,1.155,1000
Mixed-2obs,2,DiverseRisk-K1,0.188000,0.164994,0.213394,0.000000,0.000000,0.000038,0.000000,0.000000,0.000084,1.0879,0.2017,0.9556,1.158,1000
Mixed-2obs,2,Softmax-tau5,0.188000,0.164994,0.213394,0.000000,0.000000,0.000039,0.000000,0.000000,0.000085,1.0862,0.1639,0.9562,1.159,1000
Mixed-3obs,3,Base,0.773000,0.746021,0.797890,0.761892,0.760113,0.763663,0.862742,0.860637,0.864821,0.6091,0.1527,0.8961,1.060,1000
Mixed-3obs,3,WDRO-sampling,0.319000,0.290851,0.348534,0.028346,0.027524,0.029192,0.021578,0.020529,0.022678,0.9156,0.2051,0.9568,1.398,1000
Mixed-3obs,3,WDRO-inject-K1,0.281000,0.254019,0.309657,0.000000,0.000000,0.000026,0.000000,0.000000,0.000056,0.9491,0.3482,0.9568,1.394,1000
Mixed-3obs,3,WDRO-inject-K2,0.304000,0.276285,0.333215,0.000000,0.000000,0.000025,0.000000,0.000000,0.000055,0.9253,0.2715,0.9570,1.403,1000
Mixed-3obs,3,WDRO-inject-K3,0.277000,0.250156,0.305551,0.000000,0.000000,0.000026,0.000000,0.000000,0.000055,0.9440,0.2730,0.9569,1.407,1000
Mixed-3obs,3,TopRisk-K1,0.300000,0.272406,0.329124,0.000000,0.000000,0.000026,0.000000,0.000000,0.000055,0.9305,0.2542,0.9568,1.396,1000
Mixed-3obs,3,TopRisk-K2,0.281000,0.254019,0.309657,0.000000,0.000000,0.000025,0.000000,0.000000,0.000055,0.9422,0.2914,0.9569,1.394,1000
Mixed-3obs,3,TopRisk-K3,0.306000,0.278225,0.335260,0.000000,0.000000,0.000025,0.000000,0.000000,0.000055,0.9201,0.2675,0.9566,1.398,1000
Mixed-3obs,3,DiverseRisk-K1,0.306000,0.278225,0.335260,0.000000,0.000000,0.000025,0.000000,0.000000,0.000055,0.9156,0.2574,0.9564,1.401,1000
Mixed-3obs,3,Softmax-tau5,0.332000,0.303503,0.361783,0.000000,0.000000,0.000025,0.000000,0.000000,0.000054,0.9092,0.2463,0.9564,1.411,1000
Dense-4obs,4,Base,0.721000,0.692396,0.747913,0.754786,0.753225,0.756340,0.853287,0.851403,0.855151,0.6905,0.1377,0.8966,1.318,1000
Dense-4obs,4,WDRO-sampling,0.332000,0.303503,0.361783,0.029711,0.028989,0.030451,0.028693,0.027646,0.029777,0.9156,0.1188,0.9563,1.560,1000
Dense-4obs,4,WDRO-inject-K1,0.336000,0.307401,0.365854,0.000000,0.000000,0.000019,0.000000,0.000000,0.000040,0.9026,0.1352,0.9551,1.608,1000
Dense-4obs,4,WDRO-inject-K2,0.332000,0.303503,0.361783,0.000000,0.000000,0.000019,0.000000,0.000000,0.000041,0.9044,0.1424,0.9562,1.659,1000
Dense-4obs,4,WDRO-inject-K3,0.311000,0.283078,0.340368,0.000000,0.000000,0.000019,0.000000,0.000000,0.000041,0.9090,0.1255,0.9564,1.692,1000
Dense-4obs,4,TopRisk-K1,0.314000,0.285992,0.343432,0.000000,0.000000,0.000019,0.000000,0.000000,0.000041,0.9093,0.1489,0.9569,1.626,1000
Dense-4obs,4,TopRisk-K2,0.302000,0.274345,0.331170,0.000000,0.000000,0.000019,0.000000,0.000000,0.000040,0.9345,0.1622,0.9561,1.581,1000
Dense-4obs,4,TopRisk-K3,0.327000,0.298634,0.356690,0.000000,0.000000,0.000019,0.000000,0.000000,0.000041,0.9063,0.1312,0.9565,1.588,1000
Dense-4obs,4,DiverseRisk-K1,0.308000,0.280166,0.337304,0.000000,0.000000,0.000019,0.000000,0.000000,0.000041,0.9258,0.1604,0.9566,1.627,1000
Dense-4obs,4,Softmax-tau5,0.304000,0.276285,0.333215,0.000000,0.000000,0.000019,0.000000,0.000000,0.000041,0.9416,0.1614,0.9567,1.582,1000
HighSpeed-Dense,3,Base,0.471000,0.440232,0.501990,0.737406,0.735224,0.739576,0.842556,0.839887,0.845188,0.9704,0.2070,0.9449,1.166,1000
HighSpeed-Dense,3,WDRO-sampling,0.234000,0.208808,0.261228,0.021452,0.020705,0.022226,0.017876,0.016886,0.018922,1.0375,0.3636,0.9586,1.285,1000
HighSpeed-Dense,3,WDRO-inject-K1,0.211000,0.186841,0.237371,0.000000,0.000000,0.000028,0.000000,0.000000,0.000061,1.0460,0.3853,0.9587,1.286,1000
HighSpeed-Dense,3,WDRO-inject-K2,0.234000,0.208808,0.261228,0.000000,0.000000,0.000028,0.000000,0.000000,0.000061,1.0270,0.3466,0.9589,1.300,1000
HighSpeed-Dense,3,WDRO-inject-K3,0.223000,0.198288,0.249832,0.000000,0.000000,0.000028,0.000000,0.000000,0.000061,1.0338,0.3306,0.9588,1.334,1000
HighSpeed-Dense,3,TopRisk-K1,0.250000,0.224153,0.277761,0.000000,0.000000,0.000028,0.000000,0.000000,0.000060,1.0117,0.3603,0.9587,1.321,1000
HighSpeed-Dense,3,TopRisk-K2,0.269000,0.242438,0.297330,0.000000,0.000000,0.000028,0.000000,0.000000,0.000060,1.0050,0.3183,0.9587,1.315,1000
HighSpeed-Dense,3,TopRisk-K3,0.253000,0.227035,0.280855,0.000000,0.000000,0.000028,0.000000,0.000000,0.000060,1.0237,0.3421,0.9587,1.292,1000
HighSpeed-Dense,3,DiverseRisk-K1,0.231000,0.205936,0.258123,0.000000,0.000000,0.000028,0.000000,0.000000,0.000061,1.0269,0.3513,0.9587,1.286,1000
HighSpeed-Dense,3,Softmax-tau5,0.252000,0.226074,0.279824,0.000000,0.000000,0.000028,0.000000,0.000000,0.000060,1.0234,0.3373,0.9586,1.296,1000
