step,attempt,success,dro_enabled,solve_ms,scenario_count,qp_calls
0,0,1,0,38.200137000000005,40,10
1,0,1,0,37.843909000000004,40,10
2,0,1,0,37.915312999999998,40,10
3,0,1,0,36.686412000000004,40,10
4,0,1,0,35.893388000000002,40,10
5,0,1,0,37.675935000000003,40,10
6,0,1,0,42.897109,40,10
7,0,1,0,40.098119000000004,40,10
8,0,1,0,37.157043999999999,40,10
9,0,1,0,38.523229999999998,40,10
10,0,1,0,39.125028,40,10
11,0,1,0,38.588574000000001,40,10
12,0,1,0,39.678013,40,10
13,0,1,0,37.598689999999998,40,10
14,0,1,0,37.490808000000001,40,10
15,0,1,0,36.538173999999998,40,10
16,0,1,0,36.941160000000004,40,10
17,0,1,0,38.902000000000001,40,10
18,0,1,0,38.340358999999999,40,10
19,0,1,0,41.525562000000001,40,10
20,0,1,0,36.766051000000004,40,10
21,0,1,0,40.890363000000001,40,10
22,0,1,0,43.805491000000004,40,10
23,0,1,0,36.367085000000003,40,10
24,0,1,0,39.411635000000004,40,10
25,0,1,0,52.200235999999997,40,10
26,0,1,0,37.031058000000002,40,10
27,0,1,0,48.331543999999994,40,10
28,0,1,0,54.692641999999999,40,10
29,0,1,0,47.059733000000001,40,10
30,0,1,0,38.347442000000001,40,10
31,0,1,0,35.288416000000005,40,10
32,0,1,0,38.470953000000002,40,10
33,0,1,0,35.613503999999999,40,10
34,0,1,0,38.364312999999996,40,10
35,0,1,0,35.775827,40,10
36,0,1,0,51.807220999999998,40,10
37,0,1,0,43.878807999999999,40,10
38,0,1,0,34.811973000000002,40,10
39,0,1,0,34.127191000000003,40,10
40,0,1,0,35.787610000000001,40,10
41,0,1,0,36.322271000000001,40,10
42,0,1,0,34.116061000000002,40,10
43,0,1,0,31.581524999999999,40,10
44,0,1,0,33.813483999999995,40,10
45,0,1,0,32.769880000000001,40,10
46,0,1,0,32.971997999999999,40,10
47,0,1,0,40.247258000000002,40,10
48,0,1,0,30.832532999999998,40,10
49,0,1,0,30.261774000000003,40,10
50,0,1,0,32.132106,40,10
51,0,1,0,30.119368000000001,40,10
52,0,1,0,30.505860999999999,40,10
53,0,1,0,30.270340000000001,40,10
54,0,1,0,28.761816,40,10
55,0,1,0,29.390905,40,10
56,0,1,0,30.105572000000002,40,10
57,0,1,0,28.900715999999999,40,10
58,0,1,0,28.863597000000002,40,10
59,0,1,0,28.971067999999999,40,10
