step,attempt,success,dro_enabled,solve_ms,scenario_count,qp_calls
0,0,1,0,37.143842000000006,40,10
1,0,1,0,36.982679999999995,40,10
2,0,1,0,36.798405000000002,40,10
3,0,1,0,38.040430000000001,40,10
4,0,1,0,37.068579999999997,40,10
5,0,1,0,37.376466999999998,40,10
6,0,1,0,38.485883999999999,40,10
7,0,1,0,40.556490000000004,40,10
8,0,1,0,39.998846999999998,40,10
9,0,1,0,41.316274,40,10
10,0,1,0,40.406901000000005,40,10
11,0,1,0,38.815251000000004,40,10
12,0,1,0,41.783829000000004,40,10
13,0,1,0,38.102866999999996,40,10
14,0,1,0,37.797354999999996,40,10
15,0,1,0,40.878784000000003,40,10
16,0,1,0,37.26587,40,10
17,0,1,0,38.916820999999999,40,10
18,0,1,0,40.951961000000004,40,10
19,0,1,0,44.861761000000001,40,10
20,0,1,0,52.993946000000001,40,10
21,0,1,0,46.345008,40,10
22,0,1,0,43.931069000000001,40,10
23,0,1,0,41.671338000000006,40,10
24,0,1,0,37.554380999999999,40,10
25,0,1,0,38.406725999999999,40,10
26,0,1,0,37.108035000000001,40,10
27,0,1,0,36.968132000000004,40,10
28,0,1,0,34.831953999999996,40,10
29,0,1,0,39.206071999999999,40,10
30,0,1,0,35.483734000000005,40,10
31,0,1,0,37.425589000000002,40,10
32,0,1,0,42.303210999999997,40,10
33,0,1,0,36.945340000000002,40,10
34,0,1,0,35.781571,40,10
35,0,1,0,36.060863999999995,40,10
36,0,1,0,35.522006000000005,40,10
37,0,1,0,35.276976000000005,40,10
38,0,1,0,42.824227,40,10
39,0,1,0,35.351195000000004,40,10
40,0,1,0,33.372050000000002,40,10
41,0,1,0,33.451217999999997,40,10
42,0,1,0,32.665787999999999,40,10
43,0,1,0,32.730078000000006,40,10
44,0,1,0,31.325778,40,10
45,0,1,0,31.806329000000002,40,10
46,0,1,0,31.444620999999998,40,10
47,0,1,0,30.639073,40,10
48,0,1,0,30.842213999999998,40,10
49,0,1,0,30.973349000000002,40,10
50,0,1,0,30.653729999999999,40,10
51,0,1,0,30.799584000000003,40,10
52,0,1,0,28.712066,40,10
53,0,1,0,29.176835000000001,40,10
54,0,1,0,29.890552,40,10
55,0,1,0,29.000584999999997,40,10
56,0,1,0,28.944410999999999,40,10
57,0,1,0,28.452819999999999,40,10
58,0,1,0,29.040851,40,10
59,0,1,0,28.739146000000002,40,10
