environment,method,seed,collision,min_clearance,progress
Oncoming,Base,3738707164,1,0.698866,0.9611
Oncoming,Base,3738707165,1,0.185620,0.9611
Oncoming,Base,3738707166,1,0.566091,0.9611
Oncoming,Base,3738707167,1,0.628965,0.9611
Oncoming,Base,3738707168,1,0.563745,0.9556
Oncoming,Base,3738707169,1,0.768722,0.9611
Oncoming,Base,3738707170,0,1.443222,0.9501
Oncoming,Base,3738707171,1,0.393663,0.9611
Oncoming,Base,3738707172,1,0.415270,0.9611
Oncoming,Base,3738707173,1,0.449831,0.9611
Oncoming,Base,3738707174,1,0.655295,0.9611
Oncoming,Base,3738707175,0,1.102137,0.5416
Oncoming,Base,3738707176,1,0.236737,0.9611
Oncoming,Base,3738707177,0,2.149618,0.9501
Oncoming,Base,3738707178,1,0.666296,0.9611
Oncoming,Base,3738707179,0,1.288947,0.9666
Oncoming,Base,3738707180,1,0.486487,0.9611
Oncoming,Base,3738707181,0,1.606935,0.9501
Oncoming,Base,3738707182,1,0.751316,0.9611
Oncoming,Base,3738707183,1,0.761768,0.9611
Oncoming,Base,3738707184,1,0.367853,0.9611
Oncoming,Base,3738707185,1,0.329237,0.9611
Oncoming,Base,3738707186,1,0.383358,0.9611
Oncoming,Base,3738707187,1,0.488214,0.9611
Oncoming,Base,3738707188,1,0.646168,0.9556
Oncoming,Base,3738707189,0,1.635563,0.9666
Oncoming,Base,3738707190,0,0.944273,0.9611
Oncoming,Base,3738707191,1,0.837844,0.9611
Oncoming,Base,3738707192,0,1.256761,0.5416
Oncoming,Base,3738707193,0,1.427115,0.9666
Oncoming,Base,3738707194,1,0.590039,0.9611
Oncoming,Base,3738707195,0,2.268383,0.5744
Oncoming,Base,3738707196,1,0.602305,0.9611
Oncoming,Base,3738707197,1,0.839866,0.9611
Oncoming,Base,3738707198,1,0.261626,0.9611
Oncoming,Base,3738707199,1,0.307762,0.9611
Oncoming,Base,3738707200,1,0.435447,0.9611
Oncoming,Base,3738707201,1,0.468993,0.5361
Oncoming,Base,3738707202,1,0.171699,0.9611
Oncoming,Base,3738707203,1,0.180158,0.9611
Oncoming,Base,3738707204,1,0.688483,0.9611
Oncoming,Base,3738707205,1,0.589758,0.9611
Oncoming,Base,3738707206,1,0.054033,0.9611
Oncoming,Base,3738707207,1,0.308680,0.9611
Oncoming,Base,3738707208,0,1.239055,0.5416
Oncoming,Base,3738707209,1,0.746466,0.5361
Oncoming,Base,3738707210,1,0.807787,0.9556
Oncoming,Base,3738707211,1,0.230293,0.9611
Oncoming,Base,3738707212,1,0.562932,0.9611
Oncoming,Base,3738707213,1,0.732671,0.9611
Oncoming,Base,3738707214,1,0.671046,0.9611
Oncoming,Base,3738707215,1,0.683516,0.9611
Oncoming,Base,3738707216,1,0.569803,0.9611
Oncoming,Base,3738707217,1,0.584459,0.9611
Oncoming,Base,3738707218,0,1.137116,0.9611
Oncoming,Base,3738707219,1,0.124767,0.9611
Oncoming,Base,3738707220,0,0.909356,0.9611
Oncoming,Base,3738707221,1,0.817937,0.9611
Oncoming,Base,3738707222,1,0.239559,0.9611
Oncoming,Base,3738707223,1,0.395137,0.9611
Oncoming,Base,3738707224,0,1.480087,0.9666
Oncoming,Base,3738707225,1,0.420220,0.9501
Oncoming,Base,3738707226,1,0.810605,0.9611
Oncoming,Base,3738707227,1,0.620550,0.9611
Oncoming,Base,3738707228,1,0.427607,0.9611
Oncoming,Base,3738707229,0,1.519115,0.9501
Oncoming,Base,3738707230,0,1.582394,0.9501
Oncoming,Base,3738707231,1,0.533441,0.9611
Oncoming,Base,3738707232,1,0.236364,0.9611
Oncoming,Base,3738707233,0,2.454979,0.9501
Oncoming,Base,3738707234,0,1.902702,0.9556
Oncoming,Base,3738707235,1,0.406130,0.9611
Oncoming,Base,3738707236,1,0.215969,0.9501
Oncoming,Base,3738707237,1,0.585059,0.9611
Oncoming,Base,3738707238,1,0.355613,0.9611
Oncoming,Base,3738707239,1,0.460630,0.9611
Oncoming,Base,3738707240,1,0.191335,0.9611
Oncoming,Base,3738707241,0,1.641422,0.9666
Oncoming,Base,3738707242,1,0.344824,0.9556
Oncoming,Base,3738707243,1,0.127328,0.9611
Oncoming,Base,3738707244,1,0.774689,0.9611
Oncoming,Base,3738707245,1,0.291841,0.9611
Oncoming,Base,3738707246,1,0.680583,0.9611
Oncoming,Base,3738707247,0,1.874121,0.5744
Oncoming,Base,3738707248,1,0.767305,0.9611
Oncoming,Base,3738707249,1,0.370894,0.9611
Oncoming,Base,3738707250,1,0.511180,0.9611
Oncoming,Base,3738707251,0,2.290881,0.9611
Oncoming,Base,3738707252,0,1.869628,0.9501
Oncoming,Base,3738707253,1,0.224203,0.9611
Oncoming,Base,3738707254,0,1.118271,0.5416
Oncoming,Base,3738707255,1,0.217651,0.9611
Oncoming,Base,3738707256,0,1.650059,0.9611
Oncoming,Base,3738707257,0,0.997779,0.9666
Oncoming,Base,3738707258,1,0.317152,0.9611
Oncoming,Base,3738707259,1,0.513131,0.9611
Oncoming,Base,3738707260,0,0.905287,0.5690
Oncoming,Base,3738707261,0,2.146079,0.9611
Oncoming,Base,3738707262,1,0.410589,0.9611
Oncoming,Base,3738707263,1,0.710520,0.9611
Oncoming,Base,3738707264,0,1.072084,0.9556
Oncoming,Base,3738707265,0,2.328636,0.9666
Oncoming,Base,3738707266,1,0.536347,0.9611
Oncoming,Base,3738707267,0,1.163840,0.9666
Oncoming,Base,3738707268,1,0.453598,0.9611
Oncoming,Base,3738707269,1,0.544733,0.9501
Oncoming,Base,3738707270,1,0.806938,0.9611
Oncoming,Base,3738707271,0,1.227867,0.5306
Oncoming,Base,3738707272,1,0.280728,0.9611
Oncoming,Base,3738707273,1,0.458634,0.9611
Oncoming,Base,3738707274,0,0.937992,0.9611
Oncoming,Base,3738707275,0,1.000508,0.5690
Oncoming,Base,3738707276,1,0.603685,0.9611
Oncoming,Base,3738707277,0,1.189111,0.9611
Oncoming,Base,3738707278,1,0.383258,0.9611
Oncoming,Base,3738707279,1,0.461120,0.9611
Oncoming,Base,3738707280,1,0.406081,0.9611
Oncoming,Base,3738707281,1,0.473966,0.9611
Oncoming,Base,3738707282,1,0.440124,0.9611
Oncoming,Base,3738707283,1,0.442475,0.9611
Oncoming,Base,3738707284,1,0.738835,0.9611
Oncoming,Base,3738707285,1,0.498384,0.5798
Oncoming,Base,3738707286,0,0.992079,0.9556
Oncoming,Base,3738707287,0,1.220166,0.9611
Oncoming,Base,3738707288,1,0.424556,0.9611
Oncoming,Base,3738707289,1,0.639917,0.5416
Oncoming,Base,3738707290,1,0.239628,0.9611
Oncoming,Base,3738707291,1,0.202117,0.9611
Oncoming,Base,3738707292,0,1.118165,0.9611
Oncoming,Base,3738707293,1,0.613521,0.9611
Oncoming,Base,3738707294,1,0.329481,0.9611
Oncoming,Base,3738707295,0,2.106110,0.5744
Oncoming,Base,3738707296,1,0.334499,0.9556
Oncoming,Base,3738707297,0,1.363990,0.5471
Oncoming,Base,3738707298,1,0.437352,0.9611
Oncoming,Base,3738707299,1,0.421505,0.9611
Oncoming,Base,3738707300,1,0.160493,0.9611
Oncoming,Base,3738707301,1,0.484251,0.9611
Oncoming,Base,3738707302,0,1.690926,0.9556
Oncoming,Base,3738707303,1,0.448758,0.9611
Oncoming,Base,3738707304,1,0.342312,0.9611
Oncoming,Base,3738707305,1,0.484579,0.9501
Oncoming,Base,3738707306,1,0.172588,0.9611
Oncoming,Base,3738707307,1,0.666901,0.9611
Oncoming,Base,3738707308,1,0.429984,0.9611
Oncoming,Base,3738707309,1,0.515256,0.9501
Oncoming,Base,3738707310,1,0.428835,0.9501
Oncoming,Base,3738707311,1,0.211894,0.9611
Oncoming,Base,3738707312,1,0.847982,0.9611
Oncoming,Base,3738707313,1,0.826754,0.9611
Oncoming,Base,3738707314,1,0.505407,0.9611
Oncoming,Base,3738707315,1,0.561678,0.9611
Oncoming,Base,3738707316,1,0.450009,0.9611
Oncoming,Base,3738707317,1,0.354887,0.9611
Oncoming,Base,3738707318,1,0.526196,0.9611
Oncoming,Base,3738707319,1,0.720083,0.9611
Oncoming,Base,3738707320,0,1.026105,0.9611
Oncoming,Base,3738707321,1,0.402278,0.9611
Oncoming,Base,3738707322,0,1.430134,0.5471
Oncoming,Base,3738707323,1,0.383776,0.9611
Oncoming,Base,3738707324,1,0.671168,0.9611
Oncoming,Base,3738707325,1,0.260943,0.9611
Oncoming,Base,3738707326,1,0.574232,0.9611
Oncoming,Base,3738707327,1,0.405664,0.9611
Oncoming,Base,3738707328,1,0.548154,0.9611
Oncoming,Base,3738707329,1,0.347661,0.9611
Oncoming,Base,3738707330,0,2.094891,0.9666
Oncoming,Base,3738707331,1,0.727048,0.9611
Oncoming,Base,3738707332,1,0.521364,0.9611
Oncoming,Base,3738707333,1,0.262797,0.9611
Oncoming,Base,3738707334,1,0.398965,0.9611
Oncoming,Base,3738707335,0,0.972726,0.9666
Oncoming,Base,3738707336,1,0.085722,0.9611
Oncoming,Base,3738707337,0,1.053416,0.9611
Oncoming,Base,3738707338,1,0.416215,0.9611
Oncoming,Base,3738707339,1,0.586201,0.9611
Oncoming,Base,3738707340,1,0.357414,0.9611
Oncoming,Base,3738707341,1,0.642139,0.9611
Oncoming,Base,3738707342,1,0.723873,0.9611
Oncoming,Base,3738707343,1,0.415461,0.9611
Oncoming,Base,3738707344,0,0.963822,0.9611
Oncoming,Base,3738707345,1,0.522271,0.9611
Oncoming,Base,3738707346,1,0.238146,0.9611
Oncoming,Base,3738707347,1,0.797467,0.9556
Oncoming,Base,3738707348,1,0.839664,0.5361
Oncoming,Base,3738707349,1,0.426093,0.9611
Oncoming,Base,3738707350,1,0.209199,0.9611
Oncoming,Base,3738707351,1,0.330301,0.9611
Oncoming,Base,3738707352,1,0.545034,0.9611
Oncoming,Base,3738707353,0,0.967843,0.9611
Oncoming,Base,3738707354,1,0.521214,0.9611
Oncoming,Base,3738707355,1,0.270833,0.9611
Oncoming,Base,3738707356,1,0.048995,0.9611
Oncoming,Base,3738707357,0,0.909020,0.9611
Oncoming,Base,3738707358,1,0.323865,0.9611
Oncoming,Base,3738707359,0,1.710198,0.5471
Oncoming,Base,3738707360,1,0.129137,0.9611
Oncoming,Base,3738707361,1,0.549290,0.9501
Oncoming,Base,3738707362,0,1.749550,0.9666
Oncoming,Base,3738707363,0,1.200979,0.9611
Oncoming,Base,3738707364,1,0.286200,0.9611
Oncoming,Base,3738707365,1,0.198328,0.9611
Oncoming,Base,3738707366,1,0.417340,0.9611
Oncoming,Base,3738707367,1,0.648163,0.9611
Oncoming,Base,3738707368,1,0.604592,0.9611
Oncoming,Base,3738707369,1,0.240020,0.9611
Oncoming,Base,3738707370,1,0.496560,0.9666
Oncoming,Base,3738707371,0,1.318815,0.9666
Oncoming,Base,3738707372,1,0.350297,0.9611
Oncoming,Base,3738707373,1,0.253177,0.9611
Oncoming,Base,3738707374,1,0.392172,0.9611
Oncoming,Base,3738707375,0,1.802324,0.9666
Oncoming,Base,3738707376,0,1.879484,0.9666
Oncoming,Base,3738707377,1,0.105049,0.9611
Oncoming,Base,3738707378,1,0.407087,0.9611
Oncoming,Base,3738707379,1,0.456356,0.9611
Oncoming,Base,3738707380,1,0.649359,0.9611
Oncoming,Base,3738707381,1,0.182729,0.9611
Oncoming,Base,3738707382,1,0.792061,0.9611
Oncoming,Base,3738707383,1,0.671645,0.9611
Oncoming,Base,3738707384,0,1.150693,0.9611
Oncoming,Base,3738707385,1,0.681657,0.9611
Oncoming,Base,3738707386,0,2.143799,0.5744
Oncoming,Base,3738707387,1,0.144593,0.9611
Oncoming,Base,3738707388,0,1.458854,0.5416
Oncoming,Base,3738707389,1,0.375505,0.9611
Oncoming,Base,3738707390,1,0.445149,0.9611
Oncoming,Base,3738707391,1,0.825125,0.9611
Oncoming,Base,3738707392,1,0.580306,0.9611
Oncoming,Base,3738707393,0,0.929844,0.9611
Oncoming,Base,3738707394,1,0.374616,0.9611
Oncoming,Base,3738707395,0,0.938750,0.9611
Oncoming,Base,3738707396,1,0.143745,0.9611
Oncoming,Base,3738707397,1,0.472929,0.9611
Oncoming,Base,3738707398,1,0.210480,0.9611
Oncoming,Base,3738707399,1,0.462628,0.9611
Oncoming,Base,3738707400,0,1.068418,0.9556
Oncoming,Base,3738707401,1,0.490256,0.9611
Oncoming,Base,3738707402,1,0.742044,0.5361
Oncoming,Base,3738707403,1,0.600577,0.9611
Oncoming,Base,3738707404,0,0.983604,0.9611
Oncoming,Base,3738707405,1,0.476165,0.9611
Oncoming,Base,3738707406,1,0.441644,0.9611
Oncoming,Base,3738707407,1,0.132509,0.9556
Oncoming,Base,3738707408,1,0.374763,0.9611
Oncoming,Base,3738707409,1,0.216183,0.9611
Oncoming,Base,3738707410,1,0.350375,0.9611
Oncoming,Base,3738707411,0,1.076808,0.9611
Oncoming,Base,3738707412,1,0.379996,0.9611
Oncoming,Base,3738707413,0,1.923940,0.9666
Oncoming,Base,3738707414,0,1.507904,0.5471
Oncoming,Base,3738707415,1,0.753206,0.9611
Oncoming,Base,3738707416,1,0.578924,0.9501
Oncoming,Base,3738707417,1,0.345100,0.9501
Oncoming,Base,3738707418,0,1.960217,0.9666
Oncoming,Base,3738707419,1,0.181835,0.9611
Oncoming,Base,3738707420,0,0.921677,0.9611
Oncoming,Base,3738707421,0,0.997011,0.9611
Oncoming,Base,3738707422,1,0.708574,0.9611
Oncoming,Base,3738707423,1,0.377425,0.9611
Oncoming,Base,3738707424,1,0.700801,0.9611
Oncoming,Base,3738707425,1,0.749674,0.9556
Oncoming,Base,3738707426,1,0.260544,0.9611
Oncoming,Base,3738707427,0,1.384262,0.5471
Oncoming,Base,3738707428,1,0.819523,0.9611
Oncoming,Base,3738707429,1,0.595761,0.9611
Oncoming,Base,3738707430,0,1.277150,0.5416
Oncoming,Base,3738707431,0,1.785269,0.5416
Oncoming,Base,3738707432,1,0.276549,0.9611
Oncoming,Base,3738707433,1,0.486713,0.9611
Oncoming,Base,3738707434,1,0.570275,0.9611
Oncoming,Base,3738707435,1,0.447434,0.9611
Oncoming,Base,3738707436,1,0.558454,0.9611
Oncoming,Base,3738707437,0,0.931211,0.9611
Oncoming,Base,3738707438,1,0.680888,0.5471
Oncoming,Base,3738707439,0,1.740036,0.5306
Oncoming,Base,3738707440,1,0.559484,0.9611
Oncoming,Base,3738707441,0,1.115489,0.9556
Oncoming,Base,3738707442,1,0.449662,0.9611
Oncoming,Base,3738707443,1,0.670232,0.9611
Oncoming,Base,3738707444,1,0.340582,0.9556
Oncoming,Base,3738707445,0,0.895341,0.9611
Oncoming,Base,3738707446,1,0.323413,0.9556
Oncoming,Base,3738707447,1,0.504728,0.9611
Oncoming,Base,3738707448,0,2.099697,0.9501
Oncoming,Base,3738707449,1,0.221743,0.9611
Oncoming,Base,3738707450,1,0.434766,0.9611
Oncoming,Base,3738707451,1,0.301413,0.9611
Oncoming,Base,3738707452,1,0.532323,0.9611
Oncoming,Base,3738707453,1,0.261013,0.9611
Oncoming,Base,3738707454,1,0.396863,0.9611
Oncoming,Base,3738707455,0,0.927395,0.9611
Oncoming,Base,3738707456,1,0.434973,0.9611
Oncoming,Base,3738707457,1,0.446918,0.9611
Oncoming,Base,3738707458,0,1.432160,0.5416
Oncoming,Base,3738707459,1,0.287676,0.9611
Oncoming,Base,3738707460,1,0.325546,0.9611
Oncoming,Base,3738707461,1,0.674232,0.9611
Oncoming,Base,3738707462,1,0.777330,0.9611
Oncoming,Base,3738707463,1,0.380452,0.9611
Oncoming,Base,3738707464,0,1.827434,0.9666
Oncoming,Base,3738707465,1,0.528638,0.9611
Oncoming,Base,3738707466,1,0.747589,0.9611
Oncoming,Base,3738707467,1,0.790531,0.9611
Oncoming,Base,3738707468,1,0.696167,0.9611
Oncoming,Base,3738707469,1,0.335861,0.9611
Oncoming,Base,3738707470,1,0.289540,0.9611
Oncoming,Base,3738707471,1,0.689678,0.9611
Oncoming,Base,3738707472,1,0.253802,0.9611
Oncoming,Base,3738707473,1,0.662795,0.9611
Oncoming,Base,3738707474,0,2.110209,0.9501
Oncoming,Base,3738707475,1,0.591140,0.9611
Oncoming,Base,3738707476,0,1.963477,0.9666
Oncoming,Base,3738707477,1,0.173568,0.9611
Oncoming,Base,3738707478,1,0.585446,0.9611
Oncoming,Base,3738707479,0,1.094998,0.9611
Oncoming,Base,3738707480,1,0.374975,0.9556
Oncoming,Base,3738707481,1,0.719046,0.9611
Oncoming,Base,3738707482,1,0.672931,0.9611
Oncoming,Base,3738707483,1,0.340175,0.9611
Oncoming,Base,3738707484,1,0.512814,0.9611
Oncoming,Base,3738707485,1,0.646940,0.9611
Oncoming,Base,3738707486,0,0.868601,0.9556
Oncoming,Base,3738707487,0,1.135046,0.9501
Oncoming,Base,3738707488,1,0.368162,0.9611
Oncoming,Base,3738707489,0,0.976411,0.9611
Oncoming,Base,3738707490,1,0.642341,0.9611
Oncoming,Base,3738707491,1,0.262232,0.9611
Oncoming,Base,3738707492,1,0.375462,0.9611
Oncoming,Base,3738707493,0,2.154423,0.9666
Oncoming,Base,3738707494,1,0.282595,0.9611
Oncoming,Base,3738707495,0,0.864924,0.9611
Oncoming,Base,3738707496,0,1.150180,0.5471
Oncoming,Base,3738707497,1,0.754595,0.9611
Oncoming,Base,3738707498,0,0.878780,0.9611
Oncoming,Base,3738707499,1,0.539535,0.9611
Oncoming,Base,3738707500,1,0.425243,0.9611
Oncoming,Base,3738707501,1,0.737896,0.9611
Oncoming,Base,3738707502,1,0.695145,0.9556
Oncoming,Base,3738707503,0,0.891697,0.5471
Oncoming,Base,3738707504,1,0.660943,0.9611
Oncoming,Base,3738707505,1,0.347408,0.9556
Oncoming,Base,3738707506,1,0.280620,0.9611
Oncoming,Base,3738707507,0,1.323918,0.5361
Oncoming,Base,3738707508,1,0.620322,0.9611
Oncoming,Base,3738707509,0,1.570572,0.5416
Oncoming,Base,3738707510,1,0.226496,0.9611
Oncoming,Base,3738707511,0,1.474311,0.9611
Oncoming,Base,3738707512,0,1.184958,0.5690
Oncoming,Base,3738707513,0,1.836650,0.9666
Oncoming,Base,3738707514,1,0.210090,0.9611
Oncoming,Base,3738707515,1,0.610482,0.9611
Oncoming,Base,3738707516,1,0.521398,0.9611
Oncoming,Base,3738707517,1,0.267484,0.9611
Oncoming,Base,3738707518,1,0.411735,0.9501
Oncoming,Base,3738707519,1,0.325703,0.9611
Oncoming,Base,3738707520,0,1.745822,0.9666
Oncoming,Base,3738707521,0,0.875835,0.9611
Oncoming,Base,3738707522,1,0.463013,0.9611
Oncoming,Base,3738707523,0,0.978642,0.9611
Oncoming,Base,3738707524,1,0.385709,0.9611
Oncoming,Base,3738707525,0,1.580765,0.9501
Oncoming,Base,3738707526,0,2.013504,0.5798
Oncoming,Base,3738707527,1,0.262051,0.9611
Oncoming,Base,3738707528,0,1.616653,0.9666
Oncoming,Base,3738707529,1,0.357682,0.5690
Oncoming,Base,3738707530,0,0.914622,0.9611
Oncoming,Base,3738707531,1,0.449658,0.9611
Oncoming,Base,3738707532,1,0.594192,0.9611
Oncoming,Base,3738707533,0,1.009793,0.9611
Oncoming,Base,3738707534,0,0.939996,0.9611
Oncoming,Base,3738707535,0,1.724473,0.9666
Oncoming,Base,3738707536,1,0.521482,0.9611
Oncoming,Base,3738707537,0,2.036251,0.9556
Oncoming,Base,3738707538,1,0.834757,0.9611
Oncoming,Base,3738707539,1,0.549503,0.9501
Oncoming,Base,3738707540,1,0.267806,0.9611
Oncoming,Base,3738707541,1,0.615396,0.9611
Oncoming,Base,3738707542,1,0.431345,0.9611
Oncoming,Base,3738707543,1,0.741409,0.9611
Oncoming,Base,3738707544,0,1.424587,0.9611
Oncoming,Base,3738707545,0,2.068254,0.9501
Oncoming,Base,3738707546,1,0.286655,0.9611
Oncoming,Base,3738707547,1,0.558495,0.9611
Oncoming,Base,3738707548,0,1.007232,0.9611
Oncoming,Base,3738707549,1,0.614634,0.9611
Oncoming,Base,3738707550,1,0.113057,0.9611
Oncoming,Base,3738707551,1,0.572355,0.9611
Oncoming,Base,3738707552,1,0.289443,0.9611
Oncoming,Base,3738707553,1,0.506862,0.9611
Oncoming,Base,3738707554,1,0.789095,0.9611
Oncoming,Base,3738707555,0,1.021484,0.9611
Oncoming,Base,3738707556,1,0.776195,0.9611
Oncoming,Base,3738707557,1,0.471039,0.9611
Oncoming,Base,3738707558,1,0.455819,0.9611
Oncoming,Base,3738707559,1,0.256110,0.9611
Oncoming,Base,3738707560,0,0.976624,0.9611
Oncoming,Base,3738707561,1,0.613540,0.9611
Oncoming,Base,3738707562,1,0.208675,0.9611
Oncoming,Base,3738707563,0,2.103083,0.9666
Oncoming,Base,3738707564,1,0.800688,0.9611
Oncoming,Base,3738707565,1,0.568840,0.9611
Oncoming,Base,3738707566,1,0.152024,0.9611
Oncoming,Base,3738707567,1,0.581243,0.9556
Oncoming,Base,3738707568,1,0.569919,0.9611
Oncoming,Base,3738707569,0,0.898313,0.9611
Oncoming,Base,3738707570,1,0.304352,0.9611
Oncoming,Base,3738707571,1,0.355304,0.9611
Oncoming,Base,3738707572,1,0.191357,0.9556
Oncoming,Base,3738707573,1,0.065194,0.9611
Oncoming,Base,3738707574,0,1.252802,0.9501
Oncoming,Base,3738707575,1,0.432991,0.9611
Oncoming,Base,3738707576,1,0.297590,0.9611
Oncoming,Base,3738707577,1,0.387638,0.9611
