method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
Base,0.930500,0.918510,0.940840,0.727938,0.724804,0.731050,0.853101,0.849375,0.856749,0.5217,0.2641,0.9611,0.831,2000
WDRO-sampling,0.167000,0.151295,0.183982,0.043205,0.041970,0.044475,0.040217,0.038464,0.042047,1.0577,0.4353,0.9562,1.041,2000
WDRO-inject-K1,0.149500,0.134545,0.165799,0.000000,0.000000,0.000039,0.000000,0.000000,0.000085,1.0448,0.4873,0.9564,1.067,2000
WDRO-inject-K2,0.142000,0.127388,0.157985,0.000000,0.000000,0.000039,0.000000,0.000000,0.000086,1.0586,0.5013,0.9563,1.057,2000
TopRisk-K1,0.140500,0.125958,0.156420,0.000000,0.000000,0.000039,0.000000,0.000000,0.000086,1.0651,0.5663,0.9565,1.048,2000
DiverseRisk-K1,0.141500,0.126911,0.157463,0.000000,0.000000,0.000039,0.000000,0.000000,0.000085,1.0633,0.5576,0.9563,1.036,2000
Softmax-tau5,0.189500,0.172925,0.207265,0.000000,0.000000,0.000038,0.000000,0.000000,0.000082,1.0475,0.4342,0.9563,0.998,2000
