test_suite,test_name,test_root,matrix_identity,pair_case,case,seed,step,applied,success,fallback,nominal_fallback_attempted,used_nominal_fallback,a,omega,control_cost_unweighted,control_cost_weighted,mpc_cost,solve_time,qp_solve_time,constraint_time,dro_risk_time,ambiguity_radius,certificate,acceleration_weight,automatically_compute_sample_size,certification_status,classes,dt,environment,log_file,nominal_resampling_baseline,num_scenarios,obstacles,profile,repeat,repeatable,run_id,safe_horizon_enabled,scenario_budget,solver_style,steering_weight,trial_error,trial_status
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,77,0,1,1,0,0,0,2.99925,4.79088e-09,8.99548,0.899548,-15.9486,0.0464973,0.0301874,0.00970956,0,0,not_requested,0.1,false,not_requested,1,0.1,four_way_intersection,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0.log,false,40,1,boost_0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,false,40,sh_mpcc,0.1,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,77,1,1,1,0,0,0,2.7531,-5.86861e-09,7.57957,0.757957,-16.8719,0.0376165,0.02582,0.00650021,0,0,not_requested,0.1,false,not_requested,1,0.1,four_way_intersection,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0.log,false,40,1,boost_0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,false,40,sh_mpcc,0.1,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,77,2,1,1,0,0,0,-0.0204096,-0.00400308,0.000432575,4.32575e-05,-17.5619,0.0376961,0.0258096,0.00656754,0,0,not_requested,0.1,false,not_requested,1,0.1,four_way_intersection,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0.log,false,40,1,boost_0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,false,40,sh_mpcc,0.1,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,77,3,1,1,0,0,0,-0.0611454,-0.0470372,0.00595126,0.000595126,-17.3715,0.0396315,0.0272159,0.0071537,0,0,not_requested,0.1,false,not_requested,1,0.1,four_way_intersection,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0.log,false,40,1,boost_0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,false,40,sh_mpcc,0.1,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,77,4,1,1,0,0,0,0.0946586,-0.0590039,0.0124417,0.00124417,-17.1717,0.0379391,0.0259285,0.006769,0,0,not_requested,0.1,false,not_requested,1,0.1,four_way_intersection,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0.log,false,40,1,boost_0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,false,40,sh_mpcc,0.1,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,77,5,1,1,0,0,0,-0.0133018,-0.0224549,0.00068116,6.8116e-05,-17.0308,0.0385633,0.0264029,0.0068097,0,0,not_requested,0.1,false,not_requested,1,0.1,four_way_intersection,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0.log,false,40,1,boost_0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,false,40,sh_mpcc,0.1,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,77,6,1,1,0,0,0,-0.0385389,0.0336176,0.00261539,0.000261539,-16.8099,0.0390574,0.0267854,0.00710347,0,0,not_requested,0.1,false,not_requested,1,0.1,four_way_intersection,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0.log,false,40,1,boost_0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,false,40,sh_mpcc,0.1,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,77,7,1,1,0,0,0,-0.0331485,0.141595,0.0211479,0.00211479,-16.6987,0.0410996,0.0291979,0.00674738,0,0,not_requested,0.1,false,not_requested,1,0.1,four_way_intersection,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0.log,false,40,1,boost_0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,false,40,sh_mpcc,0.1,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,77,8,1,1,0,0,0,-0.0772852,-0.0824874,0.0127772,0.00127772,-16.4335,0.0388899,0.0268082,0.00693871,0,0,not_requested,0.1,false,not_requested,1,0.1,four_way_intersection,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0.log,false,40,1,boost_0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,false,40,sh_mpcc,0.1,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,77,9,1,1,0,0,0,-0.0465846,-0.644977,0.418166,0.0418166,-16.2383,0.0406471,0.0280231,0.00746021,0,0,not_requested,0.1,false,not_requested,1,0.1,four_way_intersection,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0.log,false,40,1,boost_0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc/repeat_0,false,40,sh_mpcc,0.1,,OK
