test_suite,test_name,test_root,matrix_identity,source_artifact,arm,automatic_sample_sizing,case,certificate_requested_decisions,certification_status,certified_decisions,classes,collision,controller,cycle_total_ms,decisions,environment,executed_steps,failed_outer_attempts,fallback_invocations,final_inadmissible,first_attempt_inadmissible,focus_checks,focus_mode,focus_realized,focus_represented,mean_focus_scenarios,mean_nominal_probability,mean_sampling_probability,minimum_safety_margin_m,no_admissible_control,nominal_probability_sum,obstacles,outer_attempts,pair,profile,qp_calls,safe_completion,safe_horizon_enabled,sampling_probability_sum,scenario_budget,seed,total_scenario_draws
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,C,False,sh_mpcc_dro_straight_o1_c1_m3_boost_15_s40,0,not_requested,0,1,0,sh_mpcc_dro,2351.917117,60,straight,60,0,0,0,0,60,turn_right,28,60,27.433333333333334,0.492220270104124,0.6750918481228944,0.002363477324565877,0,29.53321620624744,1,60,straight_o1_c1_m3_boost_15_s40,boost_15,600,0,False,40.50551088737366,40,77,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,C,False,sh_mpcc_dro_straight_o1_c1_m3_boost_15_s40,0,not_requested,0,1,0,sh_mpcc_dro,2329.750723,60,straight,60,0,0,0,0,60,turn_right,21,55,12.883333333333333,0.4552528304898015,0.3170044949589751,0.004056035908985067,0,27.315169829388086,1,60,straight_o1_c1_m3_boost_15_s40,boost_15,600,0,False,19.020269697538502,40,78,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,C,False,sh_mpcc_dro_straight_o1_c1_m3_boost_30_s40,0,not_requested,0,1,0,sh_mpcc_dro,2296.566692,60,straight,60,0,0,0,0,60,turn_right,33,60,29.55,0.5550572062608885,0.7247879792058556,0.002361930346085228,0,33.303432375653315,1,60,straight_o1_c1_m3_boost_30_s40,boost_30,600,0,False,43.48727875235134,40,77,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,C,False,sh_mpcc_dro_straight_o1_c1_m3_boost_30_s40,0,not_requested,0,1,0,sh_mpcc_dro,2203.683578,60,straight,60,0,0,0,0,60,turn_right,29,59,15.8,0.5340770345683086,0.39176221813904616,0.004549215242722671,0,32.04462207409851,1,60,straight_o1_c1_m3_boost_30_s40,boost_30,600,0,False,23.50573308834277,40,78,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,C,False,sh_mpcc_dro_straight_o1_c1_m3_boost_5_s40,0,not_requested,0,1,0,sh_mpcc_dro,2254.65484,60,straight,60,0,0,0,0,60,turn_right,21,60,23.966666666666665,0.40714493215242875,0.586000424996973,0.002497244826278222,0,24.428695929145725,1,60,straight_o1_c1_m3_boost_5_s40,boost_5,600,0,False,35.16002549981838,40,77,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,C,False,sh_mpcc_dro_straight_o1_c1_m3_boost_5_s40,0,not_requested,0,1,0,sh_mpcc_dro,2340.982371,60,straight,60,0,0,0,0,60,turn_right,18,51,10.166666666666666,0.3869780703705897,0.24873990935466428,0.004512599307072485,0,23.21868422223538,1,60,straight_o1_c1_m3_boost_5_s40,boost_5,600,0,False,14.924394561279856,40,78,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,0,not_requested,0,1,0,sh_mpcc,2195.369528,60,four_way_intersection,60,0,0,0,0,60,turn_right,18,60,11.6,0.27835111229460713,0.27835111229460713,0.0042196872207930225,0,16.701066737676427,1,60,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,600,0,False,16.701066737676427,40,77,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_four_way_intersection_o1_c1_m3_boost_0_s40,0,not_requested,0,1,0,sh_mpcc,2191.247781,60,four_way_intersection,60,0,0,0,0,60,turn_right,24,60,15.466666666666667,0.384947030677644,0.384947030677644,0.004259970988166328,0,23.09682184065864,1,60,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,600,0,False,23.09682184065864,40,78,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_four_way_intersection_o1_c1_m3_boost_15_s40,0,not_requested,0,1,0,sh_mpcc,2264.226905,60,four_way_intersection,60,0,0,0,0,60,turn_right,27,60,20.716666666666665,0.5056515592088626,0.5056515592088626,0.00455795917004076,0,30.339093552531757,1,60,four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,600,0,False,30.339093552531757,40,77,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_four_way_intersection_o1_c1_m3_boost_15_s40,0,not_requested,0,1,0,sh_mpcc,2184.921449,60,four_way_intersection,60,0,0,0,0,60,turn_right,21,60,19.433333333333334,0.48202330194310855,0.48202330194310855,0.0030835500867287813,0,28.921398116586513,1,60,four_way_intersection_o1_c1_m3_boost_15_s40,boost_15,600,0,False,28.921398116586513,40,78,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_four_way_intersection_o1_c1_m3_boost_30_s40,0,not_requested,0,1,0,sh_mpcc,2243.955268,60,four_way_intersection,60,0,0,0,0,60,turn_right,33,60,23.416666666666668,0.5761359883228431,0.5761359883228431,0.004362589308114728,0,34.568159299370585,1,60,four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,600,0,False,34.568159299370585,40,77,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_four_way_intersection_o1_c1_m3_boost_30_s40,0,not_requested,0,1,0,sh_mpcc,2128.324242,60,four_way_intersection,60,0,0,0,0,60,turn_right,30,60,22.716666666666665,0.5695179799100086,0.5695179799100086,0.003047962031878071,0,34.17107879460052,1,60,four_way_intersection_o1_c1_m3_boost_30_s40,boost_30,600,0,False,34.17107879460052,40,78,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_four_way_intersection_o1_c1_m3_boost_5_s40,0,not_requested,0,1,0,sh_mpcc,2178.677522,60,four_way_intersection,60,0,0,0,0,60,turn_right,20,60,16.816666666666666,0.41147288413790883,0.41147288413790883,0.004576785134004613,0,24.688373048274528,1,60,four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,600,0,False,24.688373048274528,40,77,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_four_way_intersection_o1_c1_m3_boost_5_s40,0,not_requested,0,1,0,sh_mpcc,2240.278149,60,four_way_intersection,60,0,0,0,0,60,turn_right,17,60,14.8,0.3631408651278918,0.3631408651278918,0.0030094789439489844,0,21.788451907673508,1,60,four_way_intersection_o1_c1_m3_boost_5_s40,boost_5,600,0,False,21.788451907673508,40,78,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_straight_o1_c1_m3_boost_0_s40,0,not_requested,0,1,0,sh_mpcc,2360.204627,60,straight,60,0,0,0,0,60,turn_right,20,60,13.5,0.3251251231806469,0.3251251231806469,0.0024621280354512054,0,19.507507390838814,1,60,straight_o1_c1_m3_boost_0_s40,boost_0,600,0,False,19.507507390838814,40,77,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_straight_o1_c1_m3_boost_0_s40,0,not_requested,0,1,0,sh_mpcc,2238.376448,60,straight,60,0,0,0,0,60,turn_right,26,60,17.616666666666667,0.43930026946740164,0.43930026946740164,0.004772350695149252,0,26.3580161680441,1,60,straight_o1_c1_m3_boost_0_s40,boost_0,600,0,False,26.3580161680441,40,78,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_straight_o1_c1_m3_boost_15_s40,0,not_requested,0,1,0,sh_mpcc,2322.82357,60,straight,60,0,0,0,0,60,turn_right,28,60,20.183333333333334,0.492220270104124,0.492220270104124,0.0019073339377004839,0,29.53321620624744,1,60,straight_o1_c1_m3_boost_15_s40,boost_15,600,0,False,29.53321620624744,40,77,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_straight_o1_c1_m3_boost_15_s40,0,not_requested,0,1,0,sh_mpcc,2243.499792,60,straight,60,0,0,0,0,60,turn_right,21,60,18.483333333333334,0.4552528304898015,0.4552528304898015,0.00400476058638799,0,27.315169829388086,1,60,straight_o1_c1_m3_boost_15_s40,boost_15,600,0,False,27.315169829388086,40,78,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_straight_o1_c1_m3_boost_30_s40,0,not_requested,0,1,0,sh_mpcc,2304.123801,60,straight,60,0,0,0,0,60,turn_right,33,60,22.65,0.5550572062608885,0.5550572062608885,0.0018743573923042378,0,33.303432375653315,1,60,straight_o1_c1_m3_boost_30_s40,boost_30,600,0,False,33.303432375653315,40,77,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_straight_o1_c1_m3_boost_30_s40,0,not_requested,0,1,0,sh_mpcc,2230.280305,60,straight,60,0,0,0,0,60,turn_right,29,60,21.466666666666665,0.5340770345683086,0.5340770345683086,0.004349629341161565,0,32.04462207409851,1,60,straight_o1_c1_m3_boost_30_s40,boost_30,600,0,False,32.04462207409851,40,78,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_straight_o1_c1_m3_boost_5_s40,0,not_requested,0,1,0,sh_mpcc,2200.449407,60,straight,60,0,0,0,0,60,turn_right,21,60,16.816666666666666,0.40714493215242875,0.40714493215242875,0.0023537018011279276,0,24.428695929145725,1,60,straight_o1_c1_m3_boost_5_s40,boost_5,600,0,False,24.428695929145725,40,77,2400
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon/mechanism_per_seed.csv,A,False,sh_mpcc_straight_o1_c1_m3_boost_5_s40,0,not_requested,0,1,0,sh_mpcc,2171.425287,60,straight,60,0,0,0,0,60,turn_right,18,60,15.883333333333333,0.3869780703705897,0.3869780703705897,0.004086596246295926,0,23.21868422223538,1,60,straight_o1_c1_m3_boost_5_s40,boost_5,600,0,False,23.21868422223538,40,78,2400
