profile,controller,measured_rollouts,collision_rate,safe_completion_rate,no_admissible_control_rate,first_attempt_inadmissibility,fallback_rate,mean_draws_per_cycle,mean_cycle_ms,focus_inclusion_rate,focus_realized_frequency,mean_nominal_probability,mean_sampling_probability
boost_0,sh_mpcc,2,0.0,1.0,0.0,0.0,0.0,20.0,109.78541116319444,1.0,0.34375,0.36510085299724704,0.36510085299724704
boost_0,sh_mpcc_dro,2,0.0,1.0,0.0,0.0,0.0,20.0,111.91311561111111,0.9236111111111112,0.34375,0.36510085299724704,0.360330818985982
boost_0,sh_mpcc_dro_fallback,2,0.0,1.0,0.0,0.0,0.0,20.0,112.20827411805556,0.9236111111111112,0.34375,0.36510085299724704,0.360330818985982
boost_0,sh_mpcc_extra,2,0.0,1.0,0.0,0.0,0.0,40.0,129.1428905103448,1.0,0.3482758620689655,0.36498307193430085,0.36498307193430085
boost_0,sh_mpcc_resample,2,0.0,1.0,0.0,0.0,0.0,20.0,110.36502669791668,1.0,0.34375,0.36510085299724704,0.36510085299724704
boost_15,sh_mpcc,2,0.0,1.0,0.0,0.0,0.0,20.0,117.95079941100323,1.0,0.43042071197411,0.43604340373665557,0.43604340373665557
boost_15,sh_mpcc_dro,2,0.0,1.0,0.0,0.0,0.0,20.0,115.90153856478405,0.9136212624584718,0.4219269102990033,0.4348747029322317,0.3806058676531817
boost_15,sh_mpcc_dro_fallback,2,0.0,1.0,0.0,0.0,0.0,20.0,116.99849475415283,0.9136212624584718,0.4219269102990033,0.4348747029322317,0.3806058676531817
boost_15,sh_mpcc_extra,2,0.0,1.0,0.0,0.0,0.0,40.0,130.13685841034481,1.0,0.42758620689655175,0.43560084052471104,0.43560084052471104
boost_15,sh_mpcc_resample,2,0.0,1.0,0.0,0.0,0.0,20.0,114.7865137313916,1.0,0.43042071197411,0.43604340373665557,0.43604340373665557
boost_30,sh_mpcc,2,0.0,1.0,0.0,0.0,0.0,20.0,113.62893787220447,1.0,0.5239616613418531,0.528311113726763,0.528311113726763
boost_30,sh_mpcc_dro,2,0.0,1.0,0.0,0.0,0.0,20.0,113.36060344186048,0.9634551495016611,0.5149501661129569,0.5284562665647429,0.5075879095506621
boost_30,sh_mpcc_dro_fallback,2,0.0,1.0,0.0,0.0,0.0,20.0,113.37649535880398,0.9634551495016611,0.5149501661129569,0.5284562665647429,0.5075879095506621
boost_30,sh_mpcc_extra,2,0.0,1.0,0.0,0.0,0.0,40.0,129.81491681972787,1.0,0.5204081632653061,0.5288345809954836,0.5288345809954836
boost_30,sh_mpcc_resample,2,0.0,1.0,0.0,0.0,0.0,20.0,112.64109734504792,1.0,0.5239616613418531,0.528311113726763,0.528311113726763
boost_5,sh_mpcc,2,0.0,1.0,0.0,0.0,0.0,20.0,113.70531832142859,1.0,0.3474025974025974,0.3595383338544692,0.3595383338544692
boost_5,sh_mpcc_dro,2,0.0,1.0,0.0,0.0,0.0,20.0,116.14938521548821,0.8518518518518519,0.35353535353535354,0.35988305836852347,0.3031711295895874
boost_5,sh_mpcc_dro_fallback,2,0.0,1.0,0.0,0.0,0.0,20.0,116.31457475420876,0.8518518518518519,0.35353535353535354,0.35988305836852347,0.3031711295895874
boost_5,sh_mpcc_extra,2,0.0,1.0,0.0,0.0,0.0,40.0,131.17185681911263,1.0,0.3515358361774744,0.3600810392283954,0.3600810392283954
boost_5,sh_mpcc_resample,2,0.0,1.0,0.0,0.0,0.0,20.0,114.12726910064937,1.0,0.3474025974025974,0.3595383338544692,0.3595383338544692
