case,pair,profile,controller,seed,focus_mode,collision,safe_completion,no_admissible_control,minimum_safety_margin_m,executed_steps,decisions,first_attempt_inadmissible,fallback_invocations,failed_outer_attempts,total_scenario_draws,outer_attempts,qp_calls,cycle_total_ms,focus_checks,focus_represented,focus_realized,mean_nominal_probability,mean_sampling_probability,mean_focus_scenarios,nominal_probability_sum,sampling_probability_sum
sh_mpcc_extra_straight_o1_c1_m3_boost_15_s20,straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_extra,77,turn_right,0,1,0,0.0033674623194012154,146,146,0,0,0,5840,146,1633,19306.880941,146,146,66,0.45390312474459654,0.45390312474459654,18.486301369863014,66.26985621271109,66.26985621271109
sh_mpcc_extra_straight_o1_c1_m3_boost_15_s20,straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_extra,78,turn_right,0,1,0,0.004159261484540933,144,144,0,0,0,5760,144,1773,18432.807998,144,144,58,0.4170443579128827,0.4170443579128827,16.5625,60.05438753945511,60.05438753945511
sh_mpcc_extra_straight_o1_c1_m3_boost_30_s20,straight_o1_c1_m3_boost_30_s20,boost_30,sh_mpcc_extra,77,turn_right,0,1,0,0.0029213723666204894,146,146,0,0,0,5840,146,1611,18959.703926,146,146,76,0.5308327044188634,0.5308327044188634,21.486301369863014,77.50157484515407,77.50157484515407
sh_mpcc_extra_straight_o1_c1_m3_boost_30_s20,straight_o1_c1_m3_boost_30_s20,boost_30,sh_mpcc_extra,78,turn_right,0,1,0,0.004106008775845549,148,148,0,0,0,5920,148,1845,19205.881619,148,148,77,0.5268634592399875,0.5268634592399875,21.155405405405407,77.97579196751813,77.97579196751813
sh_mpcc_extra_straight_o1_c1_m3_boost_5_s20,straight_o1_c1_m3_boost_5_s20,boost_5,sh_mpcc_extra,77,turn_right,0,1,0,0.0030893379549127298,148,148,0,0,0,5920,148,1648,19525.536407,148,148,51,0.36150735882258744,0.36150735882258744,14.58108108108108,53.50308910574294,53.50308910574294
sh_mpcc_extra_straight_o1_c1_m3_boost_5_s20,straight_o1_c1_m3_boost_5_s20,boost_5,sh_mpcc_extra,78,turn_right,0,1,0,0.004069445908738811,145,145,0,0,0,5800,145,1798,18907.817641,145,145,52,0.3586252095736339,0.3586252095736339,14.406896551724138,52.00065538817692,52.00065538817692
sh_mpcc_resample_straight_o1_c1_m3_boost_0_s20,straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_resample,77,turn_right,0,1,0,0.003361825895360271,143,143,0,0,0,2860,143,1752,15503.448252,143,143,47,0.32029125077495824,0.32029125077495824,6.419580419580419,45.80164886081903,45.80164886081903
sh_mpcc_resample_straight_o1_c1_m3_boost_0_s20,straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc_resample,78,turn_right,0,1,0,0.0031573806866657117,145,145,0,0,0,2900,145,1903,16281.679437,145,145,52,0.40929239174060766,0.40929239174060766,8.062068965517241,59.34739680238811,59.34739680238811
sh_mpcc_resample_straight_o1_c1_m3_boost_15_s20,straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_resample,77,turn_right,0,1,0,0.003488458676717654,162,162,0,0,0,3240,162,2021,18931.776807,162,162,74,0.45353591135357835,0.45353591135357835,8.993827160493828,73.4728176392797,73.4728176392797
sh_mpcc_resample_straight_o1_c1_m3_boost_15_s20,straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc_resample,78,turn_right,0,1,0,0.003653894266660629,147,147,0,0,0,2940,147,1725,16537.255936,147,147,59,0.416765946362904,0.416765946362904,8.183673469387756,61.26459411534688,61.26459411534688
sh_mpcc_resample_straight_o1_c1_m3_boost_30_s20,straight_o1_c1_m3_boost_30_s20,boost_30,sh_mpcc_resample,77,turn_right,0,1,0,0.003444951192086876,162,162,0,0,0,3240,162,2036,18844.6216,162,162,86,0.5299032790701823,0.5299032790701823,10.432098765432098,85.84433120936953,85.84433120936953
sh_mpcc_resample_straight_o1_c1_m3_boost_30_s20,straight_o1_c1_m3_boost_30_s20,boost_30,sh_mpcc_resample,78,turn_right,0,1,0,0.0036582138058235403,151,151,0,0,0,3020,151,1744,16412.041869,151,151,78,0.5266029628285249,0.5266029628285249,10.536423841059603,79.51704738710727,79.51704738710727
sh_mpcc_resample_straight_o1_c1_m3_boost_5_s20,straight_o1_c1_m3_boost_5_s20,boost_5,sh_mpcc_resample,77,turn_right,0,1,0,0.002988459745395411,156,156,0,0,0,3120,156,2032,17998.729173,156,156,55,0.36086448469031385,0.36086448469031385,7.185897435897436,56.294859611688956,56.294859611688956
sh_mpcc_resample_straight_o1_c1_m3_boost_5_s20,straight_o1_c1_m3_boost_5_s20,boost_5,sh_mpcc_resample,78,turn_right,0,1,0,0.004253035800227067,152,152,0,0,0,3040,152,1789,17152.46971,152,152,52,0.35817728431241813,0.35817728431241813,6.901315789473684,54.44294721548755,54.44294721548755
sh_mpcc_straight_o1_c1_m3_boost_0_s20,straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc,77,turn_right,0,1,0,0.003361825895360271,143,143,0,0,0,2860,143,1752,15550.67227,143,143,47,0.32029125077495824,0.32029125077495824,6.419580419580419,45.80164886081903,45.80164886081903
sh_mpcc_straight_o1_c1_m3_boost_0_s20,straight_o1_c1_m3_boost_0_s20,boost_0,sh_mpcc,78,turn_right,0,1,0,0.0031573806866657117,145,145,0,0,0,2900,145,1903,16067.526145,145,145,52,0.40929239174060766,0.40929239174060766,8.062068965517241,59.34739680238811,59.34739680238811
sh_mpcc_straight_o1_c1_m3_boost_15_s20,straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc,77,turn_right,0,1,0,0.003488458676717654,162,162,0,0,0,3240,162,2021,19488.809806,162,162,74,0.45353591135357835,0.45353591135357835,8.993827160493828,73.4728176392797,73.4728176392797
sh_mpcc_straight_o1_c1_m3_boost_15_s20,straight_o1_c1_m3_boost_15_s20,boost_15,sh_mpcc,78,turn_right,0,1,0,0.003653894266660629,147,147,0,0,0,2940,147,1725,16957.987212,147,147,59,0.416765946362904,0.416765946362904,8.183673469387756,61.26459411534688,61.26459411534688
sh_mpcc_straight_o1_c1_m3_boost_30_s20,straight_o1_c1_m3_boost_30_s20,boost_30,sh_mpcc,77,turn_right,0,1,0,0.003444951192086876,162,162,0,0,0,3240,162,2036,19057.154901,162,162,86,0.5299032790701823,0.5299032790701823,10.432098765432098,85.84433120936953,85.84433120936953
sh_mpcc_straight_o1_c1_m3_boost_30_s20,straight_o1_c1_m3_boost_30_s20,boost_30,sh_mpcc,78,turn_right,0,1,0,0.0036582138058235403,151,151,0,0,0,3020,151,1744,16508.702653,151,151,78,0.5266029628285249,0.5266029628285249,10.536423841059603,79.51704738710727,79.51704738710727
sh_mpcc_straight_o1_c1_m3_boost_5_s20,straight_o1_c1_m3_boost_5_s20,boost_5,sh_mpcc,77,turn_right,0,1,0,0.002988459745395411,156,156,0,0,0,3120,156,2032,18081.867296,156,156,55,0.36086448469031385,0.36086448469031385,7.185897435897436,56.294859611688956,56.294859611688956
sh_mpcc_straight_o1_c1_m3_boost_5_s20,straight_o1_c1_m3_boost_5_s20,boost_5,sh_mpcc,78,turn_right,0,1,0,0.004253035800227067,152,152,0,0,0,3040,152,1789,16939.370747,152,152,52,0.35817728431241813,0.35817728431241813,6.901315789473684,54.44294721548755,54.44294721548755
