step,time_s,obstacle_id,distance_m,combined_radius_m,margin_m
0,0.0,0,3.000949542872045,0.95,2.0509495428720452
1,0.1,0,2.8546684666343256,0.95,1.9046684666343257
2,0.2,0,2.696640182676185,0.95,1.7466401826761853
3,0.30000000000000004,0,2.540030863829957,0.95,1.5900308638299572
4,0.4,0,2.3866057996693333,0.95,1.4366057996693333
5,0.5,0,2.241591331517558,0.95,1.291591331517558
6,0.6000000000000001,0,2.1050068518412357,0.95,1.1550068518412357
7,0.7000000000000001,0,1.9646222309664185,0.95,1.0146222309664186
8,0.8,0,1.8568356719692372,0.95,0.9068356719692372
9,0.9,0,1.6787337461792935,0.95,0.7287337461792935
10,1.0,0,1.53333185668714,0.95,0.5833318566871399
11,1.1,0,1.3811592013085197,0.95,0.4311592013085197
12,1.2000000000000002,0,1.277382318573066,0.95,0.327382318573066
13,1.3,0,1.1916470013105784,0.95,0.24164700131057848
14,1.4000000000000001,0,1.1286987009860865,0.95,0.17869870098608653
15,1.5,0,1.050255404616484,0.95,0.10025540461648408
16,1.6,0,0.9884546628181369,0.95,0.03845466281813692
17,1.7000000000000002,0,0.9551561552800963,0.95,0.005156155280096386
18,1.8,0,0.9569756894051746,0.95,0.006975689405174679
19,1.9000000000000001,0,0.9546020185355764,0.95,0.004602018535576402
20,2.0,0,0.9535555320748903,0.95,0.003555532074890344
21,2.1,0,0.9531573806866657,0.95,0.0031573806866657117
22,2.2,0,0.9550193475907757,0.95,0.0050193475907757135
23,2.3000000000000003,0,0.9573364994864806,0.95,0.00733649948648063
24,2.4000000000000004,0,0.9567577588506874,0.95,0.006757758850687412
25,2.5,0,0.9542211014853278,0.95,0.004221101485327838
26,2.6,0,0.9572256031648105,0.95,0.007225603164810579
27,2.7,0,0.957875296815042,0.95,0.007875296815042065
28,2.8000000000000003,0,1.1800583678408818,0.95,0.23005836784088185
29,2.9000000000000004,0,1.4088266575285235,0.95,0.4588266575285236
30,3.0,0,1.342455188643014,0.95,0.3924551886430141
31,3.1,0,1.2609655150839068,0.95,0.3109655150839068
32,3.2,0,1.200382029191465,0.95,0.2503820291914651
33,3.3000000000000003,0,1.1638556384417562,0.95,0.21385563844175626
34,3.4000000000000004,0,1.1327244402307648,0.95,0.18272444023076484
35,3.5,0,1.0893951850460748,0.95,0.13939518504607484
36,3.6,0,1.0438262097292947,0.95,0.09382620972929478
37,3.7,0,1.0073831621453786,0.95,0.05738316214537864
38,3.8000000000000003,0,0.9814125955300775,0.95,0.03141259553007758
39,3.9000000000000004,0,0.9706057786767681,0.95,0.02060577867676816
40,4.0,0,0.9748484965531765,0.95,0.024848496553176558
41,4.1000000000000005,0,0.9931882613931751,0.95,0.04318826139317511
42,4.2,0,1.0253471553817977,0.95,0.0753471553817977
43,4.3,0,1.070722048101338,0.95,0.12072204810133802
44,4.4,0,1.1270467077160748,0.95,0.1770467077160749
45,4.5,0,1.1965749126648875,0.95,0.2465749126648875
46,4.6000000000000005,0,1.2866135744598874,0.95,0.3366135744598875
47,4.7,0,1.3788365010557158,0.95,0.4288365010557158
48,4.800000000000001,0,1.2188502410835504,0.95,0.2688502410835505
49,4.9,0,0.9917202724528823,0.95,0.041720272452882345
50,5.0,0,0.954517581403553,0.95,0.004517581403553073
51,5.1000000000000005,0,0.9679409873627952,0.95,0.017940987362795258
52,5.2,0,0.9582966167537349,0.95,0.008296616753734942
53,5.300000000000001,0,0.962064831435165,0.95,0.012064831435165013
54,5.4,0,0.9638760848331623,0.95,0.013876084833162383
55,5.5,0,0.9546297199427382,0.95,0.004629719942738197
56,5.6000000000000005,0,0.9551950860859757,0.95,0.005195086085975742
57,5.7,0,0.9649876229533781,0.95,0.014987622953378188
58,5.800000000000001,0,1.0550817143825983,0.95,0.10508171438259839
59,5.9,0,1.1925647959682961,0.95,0.24256479596829617
60,6.0,0,1.3444035453585557,0.95,0.3944035453585557
61,6.1000000000000005,0,1.4978998788536746,0.95,0.5478998788536746
62,6.2,0,1.654870247578393,0.95,0.704870247578393
63,6.300000000000001,0,1.8100741123764421,0.95,0.8600741123764422
64,6.4,0,1.968768567538427,0.95,1.018768567538427
65,6.5,0,2.127290234697073,0.95,1.1772902346970728
66,6.6000000000000005,0,2.286525807651422,0.95,1.336525807651422
67,6.7,0,2.4459466735035136,0.95,1.4959466735035136
68,6.800000000000001,0,2.605706828085113,0.95,1.655706828085113
69,6.9,0,2.7655181907091215,0.95,1.8155181907091216
70,7.0,0,2.9256523785844375,0.95,1.9756523785844375
71,7.1000000000000005,0,3.086029371108033,0.95,2.136029371108033
72,7.2,0,3.2467059394486646,0.95,2.296705939448665
73,7.300000000000001,0,3.407245407587536,0.95,2.4572454075875356
74,7.4,0,3.567806905549388,0.95,2.617806905549388
75,7.5,0,3.7284150302550314,0.95,2.7784150302550312
76,7.6000000000000005,0,3.888861695554701,0.95,2.938861695554701
77,7.7,0,4.04952082917431,0.95,3.0995208291743097
78,7.800000000000001,0,4.21020001187593,0.95,3.26020001187593
79,7.9,0,4.370709494417379,0.95,3.4207094944173786
80,8.0,0,4.531420099446086,0.95,3.5814200994460856
81,8.1,0,4.69234037169636,0.95,3.7423403716963595
82,8.200000000000001,0,4.853073099836464,0.95,3.9030730998364636
83,8.3,0,5.014011595143033,0.95,4.0640115951430325
84,8.4,0,5.174957335429913,0.95,4.224957335429913
85,8.5,0,5.335713851102829,0.95,4.385713851102829
