step,attempt,obstacle_id,source_mode,target_mode,cost,radius_observation_count
11,0,0,turn_right,turn_left,0.025678114876868035,12
11,0,0,turn_right,turn_right,0,12
12,0,0,constant_velocity,constant_velocity,0,13
12,0,0,constant_velocity,turn_left,0.012870269107659258,13
12,0,0,constant_velocity,turn_right,0.012870269107658608,13
12,0,0,turn_left,constant_velocity,0.012870269107659258,13
12,0,0,turn_left,turn_left,0,13
12,0,0,turn_left,turn_right,0.025678114876868035,13
12,0,0,turn_right,constant_velocity,0.012870269107658608,13
12,0,0,turn_right,turn_left,0.025678114876868035,13
12,0,0,turn_right,turn_right,0,13
13,0,0,constant_velocity,constant_velocity,0,14
13,0,0,constant_velocity,turn_left,0.012870269107658674,14
13,0,0,constant_velocity,turn_right,0.0128702691076587,14
13,0,0,turn_left,constant_velocity,0.012870269107658674,14
13,0,0,turn_left,turn_left,0,14
13,0,0,turn_left,turn_right,0.025678114876867768,14
13,0,0,turn_right,constant_velocity,0.0128702691076587,14
13,0,0,turn_right,turn_left,0.025678114876867768,14
13,0,0,turn_right,turn_right,0,14
14,0,0,constant_velocity,constant_velocity,0,15
14,0,0,constant_velocity,turn_left,0.012870269107659258,15
14,0,0,constant_velocity,turn_right,0.012870269107658608,15
14,0,0,turn_left,constant_velocity,0.012870269107659258,15
14,0,0,turn_left,turn_left,0,15
14,0,0,turn_left,turn_right,0.025678114876868035,15
14,0,0,turn_right,constant_velocity,0.012870269107658608,15
14,0,0,turn_right,turn_left,0.025678114876868035,15
14,0,0,turn_right,turn_right,0,15
15,0,0,constant_velocity,constant_velocity,0,16
15,0,0,constant_velocity,turn_left,0.012870269107659258,16
15,0,0,constant_velocity,turn_right,0.012870269107658608,16
15,0,0,turn_left,constant_velocity,0.012870269107659258,16
15,0,0,turn_left,turn_left,0,16
15,0,0,turn_left,turn_right,0.025678114876868035,16
15,0,0,turn_right,constant_velocity,0.012870269107658608,16
15,0,0,turn_right,turn_left,0.025678114876868035,16
15,0,0,turn_right,turn_right,0,16
16,0,0,constant_velocity,constant_velocity,0,17
16,0,0,constant_velocity,turn_left,0.012870269107659258,17
16,0,0,constant_velocity,turn_right,0.012870269107658608,17
16,0,0,turn_left,constant_velocity,0.012870269107659258,17
16,0,0,turn_left,turn_left,0,17
16,0,0,turn_left,turn_right,0.025678114876868035,17
16,0,0,turn_right,constant_velocity,0.012870269107658608,17
16,0,0,turn_right,turn_left,0.025678114876868035,17
16,0,0,turn_right,turn_right,0,17
17,0,0,constant_velocity,constant_velocity,0,18
17,0,0,constant_velocity,turn_left,0.012870269107658908,18
17,0,0,constant_velocity,turn_right,0.012870269107658908,18
17,0,0,turn_left,constant_velocity,0.012870269107658908,18
17,0,0,turn_left,turn_left,0,18
17,0,0,turn_left,turn_right,0.025678114876868108,18
17,0,0,turn_right,constant_velocity,0.012870269107658908,18
17,0,0,turn_right,turn_left,0.025678114876868108,18
17,0,0,turn_right,turn_right,0,18
18,0,0,constant_velocity,constant_velocity,0,19
18,0,0,constant_velocity,turn_left,0.012870269107659258,19
18,0,0,constant_velocity,turn_right,0.012870269107658608,19
18,0,0,turn_left,constant_velocity,0.012870269107659258,19
18,0,0,turn_left,turn_left,0,19
18,0,0,turn_left,turn_right,0.025678114876868035,19
18,0,0,turn_right,constant_velocity,0.012870269107658608,19
18,0,0,turn_right,turn_left,0.025678114876868035,19
18,0,0,turn_right,turn_right,0,19
19,0,0,constant_velocity,constant_velocity,0,20
19,0,0,constant_velocity,turn_left,0.012870269107658674,20
19,0,0,constant_velocity,turn_right,0.0128702691076587,20
19,0,0,turn_left,constant_velocity,0.012870269107658674,20
19,0,0,turn_left,turn_left,0,20
19,0,0,turn_left,turn_right,0.025678114876867768,20
19,0,0,turn_right,constant_velocity,0.0128702691076587,20
19,0,0,turn_right,turn_left,0.025678114876867768,20
19,0,0,turn_right,turn_right,0,20
20,0,0,constant_velocity,constant_velocity,0,21
20,0,0,constant_velocity,turn_left,0.01287026910765883,21
20,0,0,constant_velocity,turn_right,0.012870269107658807,21
20,0,0,turn_left,constant_velocity,0.01287026910765883,21
20,0,0,turn_left,turn_left,0,21
20,0,0,turn_left,turn_right,0.025678114876867823,21
20,0,0,turn_right,constant_velocity,0.012870269107658807,21
20,0,0,turn_right,turn_left,0.025678114876867823,21
20,0,0,turn_right,turn_right,0,21
21,0,0,constant_velocity,constant_velocity,0,22
21,0,0,constant_velocity,turn_left,0.01287026910765883,22
21,0,0,constant_velocity,turn_right,0.012870269107658807,22
21,0,0,turn_left,constant_velocity,0.01287026910765883,22
21,0,0,turn_left,turn_left,0,22
21,0,0,turn_left,turn_right,0.025678114876867823,22
21,0,0,turn_right,constant_velocity,0.012870269107658807,22
21,0,0,turn_right,turn_left,0.025678114876867823,22
21,0,0,turn_right,turn_right,0,22
22,0,0,constant_velocity,constant_velocity,0,23
22,0,0,constant_velocity,turn_left,0.012870269107658674,23
22,0,0,constant_velocity,turn_right,0.0128702691076587,23
22,0,0,turn_left,constant_velocity,0.012870269107658674,23
22,0,0,turn_left,turn_left,0,23
22,0,0,turn_left,turn_right,0.025678114876867768,23
22,0,0,turn_right,constant_velocity,0.0128702691076587,23
22,0,0,turn_right,turn_left,0.025678114876867768,23
22,0,0,turn_right,turn_right,0,23
23,0,0,constant_velocity,constant_velocity,0,24
23,0,0,constant_velocity,turn_left,0.01287026910765883,24
23,0,0,constant_velocity,turn_right,0.012870269107658807,24
23,0,0,turn_left,constant_velocity,0.01287026910765883,24
23,0,0,turn_left,turn_left,0,24
23,0,0,turn_left,turn_right,0.025678114876867823,24
23,0,0,turn_right,constant_velocity,0.012870269107658807,24
23,0,0,turn_right,turn_left,0.025678114876867823,24
23,0,0,turn_right,turn_right,0,24
24,0,0,constant_velocity,constant_velocity,0,25
24,0,0,constant_velocity,turn_left,0.01287026910765883,25
24,0,0,constant_velocity,turn_right,0.012870269107658807,25
24,0,0,turn_left,constant_velocity,0.01287026910765883,25
24,0,0,turn_left,turn_left,0,25
24,0,0,turn_left,turn_right,0.025678114876867823,25
24,0,0,turn_right,constant_velocity,0.012870269107658807,25
24,0,0,turn_right,turn_left,0.025678114876867823,25
24,0,0,turn_right,turn_right,0,25
25,0,0,constant_velocity,constant_velocity,0,26
25,0,0,constant_velocity,turn_left,0.01287026910765883,26
25,0,0,constant_velocity,turn_right,0.012870269107658807,26
25,0,0,turn_left,constant_velocity,0.01287026910765883,26
25,0,0,turn_left,turn_left,0,26
25,0,0,turn_left,turn_right,0.025678114876867823,26
25,0,0,turn_right,constant_velocity,0.012870269107658807,26
25,0,0,turn_right,turn_left,0.025678114876867823,26
25,0,0,turn_right,turn_right,0,26
26,0,0,constant_velocity,constant_velocity,0,27
26,0,0,constant_velocity,turn_left,0.01287026910765883,27
26,0,0,constant_velocity,turn_right,0.012870269107658807,27
26,0,0,turn_left,constant_velocity,0.01287026910765883,27
26,0,0,turn_left,turn_left,0,27
26,0,0,turn_left,turn_right,0.025678114876867823,27
26,0,0,turn_right,constant_velocity,0.012870269107658807,27
26,0,0,turn_right,turn_left,0.025678114876867823,27
26,0,0,turn_right,turn_right,0,27
27,0,0,constant_velocity,constant_velocity,0,28
27,0,0,constant_velocity,turn_left,0.012870269107658674,28
27,0,0,constant_velocity,turn_right,0.0128702691076587,28
27,0,0,turn_left,constant_velocity,0.012870269107658674,28
27,0,0,turn_left,turn_left,0,28
