num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
1,Base,0.068000,0.049066,0.093521,0.770711,0.766378,0.774987,0.884366,0.879486,0.889073,1.9898,0.6199,0.9013,0.872,500
1,WDRO-sampling,0.106000,0.081957,0.136052,0.041431,0.038849,0.044175,0.034368,0.030965,0.038131,1.2278,0.4089,0.9588,0.958,500
1,WDRO-inject-K1,0.120000,0.094374,0.151420,0.000000,0.000000,0.000177,0.000000,0.000000,0.000390,1.1785,0.4080,0.9589,1.014,500
1,WDRO-inject-K2,0.142000,0.114129,0.175330,0.000000,0.000000,0.000176,0.000000,0.000000,0.000387,1.1594,0.3625,0.9588,1.060,500
1,TopRisk-K1,0.130000,0.103320,0.162322,0.000000,0.000000,0.000177,0.000000,0.000000,0.000391,1.2016,0.3375,0.9587,0.990,500
1,DiverseRisk-K1,0.150000,0.121375,0.183962,0.000000,0.000000,0.000176,0.000000,0.000000,0.000390,1.1758,0.3294,0.9585,1.026,500
1,Softmax-tau5,0.118000,0.092593,0.149233,0.000000,0.000000,0.000178,0.000000,0.000000,0.000390,1.2339,0.3629,0.9588,1.215,500
2,Base,0.694000,0.652254,0.732787,0.731421,0.727357,0.735447,0.848842,0.843927,0.853629,0.6959,0.1628,0.9482,1.014,500
