mode_set,num_modes,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
3-modes,4,Base,0.408000,0.365782,0.451621,0.706646,0.701026,0.712204,0.845643,0.839245,0.851832,0.9659,0.2644,0.9441,0.889,500
3-modes,4,WDRO-sampling,0.070000,0.050759,0.095798,0.037786,0.035407,0.040318,0.017194,0.014954,0.019762,1.1102,0.7766,0.9590,0.958,500
3-modes,4,WDRO-inject-K1,0.074000,0.054161,0.100335,0.000000,0.000000,0.000169,0.000000,0.000000,0.000349,1.0941,0.7808,0.9593,0.996,500
3-modes,4,WDRO-inject-K2,0.080000,0.059298,0.107107,0.000000,0.000000,0.000168,0.000000,0.000000,0.000347,1.0968,0.7520,0.9591,1.016,500
3-modes,4,TopRisk-K1,0.074000,0.054161,0.100335,0.000000,0.000000,0.000167,0.000000,0.000000,0.000344,1.1007,0.7360,0.9593,1.040,500
3-modes,4,DiverseRisk-K1,0.094000,0.071426,0.122765,0.000000,0.000000,0.000166,0.000000,0.000000,0.000344,1.0897,0.6950,0.9593,1.013,500
4-modes,5,Base,0.798000,0.760596,0.830859,0.751443,0.746271,0.756544,0.851629,0.845239,0.857800,0.6223,0.1579,0.9358,0.881,500
4-modes,5,WDRO-sampling,0.152000,0.123192,0.186115,0.042912,0.040435,0.045535,0.042808,0.039247,0.046677,1.1028,0.4690,0.9585,1.031,500
