step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
50,33.413492000000005,1,0,0,0.0077223808103707436,40,1,-1,-1,-1,-1,1,-1,-1,0,0
51,33.402820999999996,1,0,0,0.0056120497850101229,40,1,-1,-1,-1,-1,1,-1,-1,0,0
52,34.027822,1,0,0,0.0040748452416061957,40,1,-1,-1,-1,-1,1,-1,-1,0,0
53,40.397898000000005,1,0,0,0.0029602216462512551,40,1,-1,-1,-1,-1,1,-1,-1,0,0
54,32.818588000000005,1,0,0,0.0021496632326220909,40,1,-1,-1,-1,-1,1,-1,-1,0,0
55,31.091694,1,0,0,0.0015606932899601424,40,1,-1,-1,-1,-1,1,-1,-1,0,0
56,31.028134999999999,1,0,0,0.0011329150528195983,40,1,-1,-1,-1,-1,1,-1,-1,0,0
57,30.427610999999999,1,0,0,0.00082234379578112005,40,1,-1,-1,-1,-1,1,-1,-1,0,0
58,30.244026999999999,1,0,0,0.00059686537705454722,40,1,-1,-1,-1,-1,1,-1,-1,0,0
59,29.789085,1,0,0,0.00043318210078174813,40,1,-1,-1,-1,-1,1,-1,-1,0,0
