step,time_s,actor,obstacle_id,mode,x,y,theta,v,vx,vy,path_progress,minimum_clearance,ambiguity_radius,solve_time_ms,collision
0,0,ego,-1,,-1.8,-12.5,1.5707963267948966,1.5,,,0,2.050645137356911,0,0,0
0,0,obstacle,0,turn_right,-1.862219292375539,-7.5000000000000062,,,7.8764342536206048e-18,0.12863193304558482,0,2.050645137356911,0,0,0
1,0.10000000000000001,ego,-1,,-1.8000000000407212,-12.335003766990177,1.5707963272739844,1.7999246601964498,,,0.16499623300982333,1.8985323646773395,0.0079812682583925518,41.341157000000003,0
1,0.10000000000000001,obstacle,0,turn_right,-1.8618334544581674,-7.487142594698315,,,0.0038583791737162552,0.1285740530169118,0.16499623300982333,1.8985323646773395,0.0079812682583925518,41.341157000000003,0
2,0.20000000000000001,ego,-1,,-1.8000000000752703,-12.141245793080824,1.5707963266863456,2.0752348179906122,,,0.35875420691917626,1.7176830978390416,0.0057214037314584658,37.769619999999996,0
2,0.20000000000000001,obstacle,0,turn_left,-1.8618334544581674,-7.4742794013937566,,,7.8062556418956319e-18,0.12863193304558482,0.35875420691917626,1.7176830978390416,0.0057214037314584658,37.769619999999996,0
3,0.30000000000000004,ego,-1,,-1.799940820358485,-11.933740365863278,1.5702259183958887,2.0748739514010848,,,0.56625963413672231,1.5231123010749081,0.0064316646995283191,37.365773999999995,0
3,0.30000000000000004,obstacle,0,turn_right,-1.8614476165407958,-7.4614219960920654,,,0.0038583791737162552,0.1285740530169118,0.56625963413672231,1.5231123010749081,0.0064316646995283191,37.365773999999995,0
4,0.40000000000000002,ego,-1,,-1.7993841474157357,-11.726703638694893,1.5659861495966345,2.0658786609179018,,,0.77329636130510693,1.329277592056987,0.0058354417402505486,45.018052000000004,0
4,0.40000000000000002,obstacle,0,constant_velocity,-1.8610617786234243,-7.4485645907903741,,,0.0038583791737162552,0.1285740530169118,0.77329636130510693,1.329277592056987,0.0058354417402505486,45.018052000000004,0
5,0.5,ego,-1,,-1.7977237843933707,-11.519601957911103,1.5595779405897729,2.0762951536708627,,,0.98039804208889691,1.1357908123374136,0.0050269408370672494,43.242798000000001,0
5,0.5,obstacle,0,turn_left,-1.8610617786234243,-7.4357013974858157,,,7.8062556418956319e-18,0.12863193304558482,0.98039804208889691,1.1357908123374136,0.0050269408370672494,43.242798000000001,0
6,0.60000000000000009,ego,-1,,-1.795262841188066,-11.311906372765351,1.5583183873022168,2.07790840582576,,,1.1880936272346485,0.94137816940880925,0.005130175796328496,44.211691999999999,0
6,0.60000000000000009,obstacle,0,turn_right,-1.8606759407060527,-7.4228439921841245,,,0.0038583791737162552,0.1285740530169118,1.1880936272346485,0.94137816940880925,0.005130175796328496,44.211691999999999,0
7,0.70000000000000007,ego,-1,,-1.793067483409251,-11.104412820106569,1.5621160653737061,2.0721974116704041,,,1.3955871798934307,0.74657477956489049,0.0050362739115980201,39.563518999999999,0
7,0.70000000000000007,obstacle,0,turn_right,-1.8599046120993918,-7.4100039456822238,,,0.0077132860666089395,0.12840046501901178,1.3955871798934307,0.74657477956489049,0.0050362739115980201,39.563518999999999,0
8,0.80000000000000004,ego,-1,,-1.7927104854454137,-10.897395032070827,1.5760321131515704,2.0681979141683531,,,1.6026049679291727,0.55130151890828816,0.0046855178033351564,49.841774000000001,0
8,0.80000000000000004,obstacle,0,constant_velocity,-1.859133283492731,-7.397163899180323,,,0.0077132860666089395,0.12840046501901178,1.6026049679291727,0.55130151890828816,0.0046855178033351564,49.841774000000001,0
9,0.90000000000000002,ego,-1,,-1.7926621653909092,-10.690903471626859,1.5650867493758576,2.0616540227279274,,,1.8090965283731411,0.35883461545863238,0.0045462338981982365,41.100867000000001,0
9,0.90000000000000002,obstacle,0,turn_right,-1.8579771583404638,-7.3843527666533868,,,0.011561251522672865,0.12811132526936606,1.8090965283731411,0.35883461545863238,0.0045462338981982365,41.100867000000001,0
10,1,ego,-1,,-1.7844995154575733,-10.485177106131825,1.4971669496592512,2.0569022873913387,,,2.0148228938681747,0.19025472869427373,0.0043776428407261252,39.384703999999999,0
10,1,obstacle,0,turn_right,-1.8564372770771911,-7.3715820772559635,,,0.015398812632727453,0.12770689397423293,2.0148228938681747,0.19025472869427373,0.0043776428407261252,39.384703999999999,0
11,1.1000000000000001,ego,-1,,-1.7627767514935655,-10.280886171621377,1.4325346205303831,2.0526650657457584,,,2.2191138283786227,0.060274609193883499,0.0041996418695619811,40.763675999999997,0
