step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
50,32.178388000000005,1,0,0,0.0048187843270781046,40,1,-1,-1,-1,-1,1,-1,-1,0,0
51,30.423030999999998,1,0,0,0.003496575312175143,40,1,-1,-1,-1,-1,1,-1,-1,0,0
52,30.218478000000001,1,0,0,0.002540625753759258,40,1,-1,-1,-1,-1,1,-1,-1,0,0
53,30.080309999999997,1,0,0,0.0018438647009067558,40,1,-1,-1,-1,-1,1,-1,-1,0,0
54,30.560779,1,0,0,0.0013389936036921509,40,1,-1,-1,-1,-1,1,-1,-1,0,0
55,29.453125,1,0,0,0.00097186483014266394,40,1,-1,-1,-1,-1,1,-1,-1,0,0
56,28.714091,1,0,0,0.00070540476771312156,40,1,-1,-1,-1,-1,1,-1,-1,0,0
57,29.616882,1,0,0,0.00051198396980933129,40,1,-1,-1,-1,-1,1,-1,-1,0,0
58,29.044180000000001,1,0,0,0.00037157378091341026,40,1,-1,-1,-1,-1,1,-1,-1,0,0
59,28.473941999999997,1,0,0,0.00026966283277842987,40,1,-1,-1,-1,-1,1,-1,-1,0,0
