step,attempt,success,dro_enabled,solve_ms,scenario_count,qp_calls
0,0,1,1,42.875871000000004,40,10
1,0,1,1,37.357069000000003,40,10
2,0,1,1,37.074959999999997,40,10
3,0,1,1,40.011417999999999,40,10
4,0,1,1,38.756007000000004,40,10
5,0,1,1,44.861557000000005,40,10
6,0,1,1,39.278596,40,10
7,0,1,1,48.973005000000001,40,10
8,0,1,1,41.269683999999998,40,10
9,0,1,1,39.53181,40,10
10,0,1,1,40.463414,40,10
11,0,1,1,39.964350000000003,40,10
12,0,1,1,42.655788000000001,40,10
13,0,1,1,40.597414999999998,40,10
14,0,1,1,40.905932,40,10
15,0,1,1,38.569267999999994,40,10
16,0,1,1,38.115088,40,10
17,0,1,1,43.687390000000001,40,10
18,0,1,1,39.668635000000002,40,10
19,0,1,1,44.096747000000001,40,10
20,0,1,1,42.439202000000002,40,10
21,0,1,1,47.623197999999995,40,10
22,0,1,1,45.762253999999999,40,10
23,0,1,1,44.966084000000002,40,10
24,0,1,1,38.602519999999998,40,10
25,0,1,1,40.539245999999999,40,10
26,0,1,1,38.323317000000003,40,10
27,0,1,1,38.340409999999999,40,10
28,0,1,1,37.903100999999999,40,10
29,0,1,1,42.697435999999996,40,10
30,0,1,1,39.063944000000006,40,10
31,0,1,1,37.820304999999998,40,10
32,0,1,1,38.847759000000003,40,10
33,0,1,1,39.025852999999998,40,10
34,0,1,1,38.995626000000001,40,10
35,0,1,1,36.620439999999995,40,10
36,0,1,1,35.740813000000003,40,10
37,0,1,1,36.268611,40,10
38,0,1,1,34.992702000000001,40,10
39,0,1,1,34.747261999999999,40,10
40,0,1,1,35.442253000000001,40,10
41,0,1,1,35.286181999999997,40,10
42,0,1,1,34.468510000000002,40,10
43,0,1,1,34.510950000000001,40,10
44,0,1,1,32.800358000000003,40,10
45,0,1,1,33.541114,40,10
46,0,1,1,32.996654999999997,40,10
47,0,1,1,33.000261999999999,40,10
48,0,1,1,33.082476,40,10
49,0,1,1,33.252524000000001,40,10
50,0,1,1,32.713455000000003,40,10
51,0,1,1,32.601945999999998,40,10
52,0,1,1,30.282513999999999,40,10
53,0,1,1,31.481989000000002,40,10
54,0,1,1,31.583990999999997,40,10
55,0,1,1,30.933862999999999,40,10
56,0,1,1,33.495529000000005,40,10
57,0,1,1,35.010554999999997,40,10
58,0,1,1,30.526430999999999,40,10
59,0,1,1,29.954629999999998,40,10
