step,attempt,success,dro_enabled,solve_ms,scenario_count,qp_calls
0,0,1,1,40.162590999999999,40,10
1,0,1,1,56.984172999999998,40,10
2,0,1,1,39.649871000000005,40,10
3,0,1,1,39.559321000000004,40,10
4,0,1,1,37.843598999999998,40,10
5,0,1,1,39.378734000000001,40,10
6,0,1,1,40.271315000000001,40,10
7,0,1,1,41.700651000000001,40,10
8,0,1,1,37.519122000000003,40,10
9,0,1,1,40.075588000000003,40,10
10,0,1,1,40.574111000000002,40,10
11,0,1,1,39.583686999999998,40,10
12,0,1,1,44.035831999999999,40,10
13,0,1,1,42.264496000000001,40,10
14,0,1,1,39.417465999999997,40,10
15,0,1,1,38.544712000000004,40,10
16,0,1,1,41.136484000000003,40,10
17,0,1,1,38.288583000000003,40,10
18,0,1,1,38.570569999999996,40,10
19,0,1,1,41.408483000000004,40,10
20,0,1,1,37.358660999999998,40,10
21,0,1,1,39.670829999999995,40,10
22,0,1,1,43.839424999999999,40,10
23,0,1,1,41.993278000000004,40,10
24,0,1,1,43.226045999999997,40,10
25,0,1,1,43.227127999999993,40,10
26,0,1,1,37.364843,40,10
27,0,1,1,37.423482999999997,40,10
28,0,1,1,38.021481999999999,40,10
29,0,1,1,38.663514000000006,40,10
30,0,1,1,40.932833000000002,40,10
31,0,1,1,35.963861000000001,40,10
32,0,1,1,45.755471999999997,40,10
33,0,1,1,37.223399000000001,40,10
34,0,1,1,37.076573000000003,40,10
35,0,1,1,38.350088,40,10
36,0,1,1,36.115153999999997,40,10
37,0,1,1,34.657194000000004,40,10
38,0,1,1,35.290359000000002,40,10
39,0,1,1,42.025338000000005,40,10
40,0,1,1,36.570515999999998,40,10
41,0,1,1,33.673772999999997,40,10
42,0,1,1,35.329332999999998,40,10
43,0,1,1,32.240879999999997,40,10
44,0,1,1,35.214546999999996,40,10
45,0,1,1,33.729738000000005,40,10
46,0,1,1,33.955118999999996,40,10
47,0,1,1,33.050777000000004,40,10
48,0,1,1,32.385790999999998,40,10
49,0,1,1,31.576395999999999,40,10
50,0,1,1,33.699120999999998,40,10
51,0,1,1,32.326639999999998,40,10
52,0,1,1,32.150580999999995,40,10
53,0,1,1,32.123159999999999,40,10
54,0,1,1,30.610238000000003,40,10
55,0,1,1,31.613705999999997,40,10
56,0,1,1,31.335145000000001,40,10
57,0,1,1,30.203657,40,10
58,0,1,1,30.186574,40,10
59,0,1,1,30.333529000000002,40,10
