switch_prob,challenge,num_obstacles,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.3,Diagonal,1,TopRisk-K2,0.168000,0.137788,0.203275,0.000000,0.000000,0.000158,0.000000,0.000000,0.000404,1.0549,0.3339,0.9582,0.952,500
0.3,Diagonal,1,DiverseRisk-K1,0.172000,0.141454,0.207548,0.000000,0.000000,0.000159,0.000000,0.000000,0.000395,1.0507,0.3251,0.9579,0.952,500
0.3,Diagonal,1,Softmax-tau5,0.190000,0.158027,0.226700,0.000000,0.000000,0.000157,0.000000,0.000000,0.000379,1.0655,0.2623,0.9583,0.949,500
0.3,Mixed-2obs,2,Base,0.658000,0.615355,0.698235,0.734283,0.730598,0.737936,0.828637,0.823665,0.833497,0.7806,0.1849,0.9281,0.915,500
0.3,Mixed-2obs,2,WDRO-sampling,0.172000,0.141454,0.207548,0.030789,0.029294,0.032357,0.018930,0.017139,0.020903,1.1207,0.1697,0.9564,1.128,500
0.3,Mixed-2obs,2,WDRO-inject-K1,0.176000,0.145126,0.211815,0.000000,0.000000,0.000078,0.000000,0.000000,0.000193,1.1124,0.1900,0.9565,1.121,500
0.3,Mixed-2obs,2,WDRO-inject-K2,0.150000,0.121375,0.183962,0.000000,0.000000,0.000079,0.000000,0.000000,0.000193,1.1428,0.2589,0.9566,1.131,500
0.3,Mixed-2obs,2,TopRisk-K1,0.148000,0.119561,0.181807,0.000000,0.000000,0.000080,0.000000,0.000000,0.000197,1.1834,0.2546,0.9564,1.127,500
0.3,Mixed-2obs,2,TopRisk-K2,0.128000,0.101526,0.160146,0.000000,0.000000,0.000079,0.000000,0.000000,0.000197,1.1860,0.2409,0.9567,1.116,500
0.3,Mixed-2obs,2,DiverseRisk-K1,0.156000,0.126830,0.190415,0.000000,0.000000,0.000079,0.000000,0.000000,0.000197,1.1282,0.2864,0.9568,1.125,500
0.3,Mixed-2obs,2,Softmax-tau5,0.146000,0.117748,0.179650,0.000000,0.000000,0.000080,0.000000,0.000000,0.000201,1.1207,0.2588,0.9574,1.134,500
0.3,Mixed-3obs,3,Base,0.826000,0.790318,0.856711,0.745066,0.742544,0.747572,0.839473,0.836115,0.842775,0.5732,0.1353,0.8886,1.027,500
0.3,Mixed-3obs,3,WDRO-sampling,0.286000,0.248139,0.327124,0.030927,0.029728,0.032174,0.024893,0.023227,0.026674,0.9371,0.2475,0.9564,1.348,500
0.3,Mixed-3obs,3,WDRO-inject-K1,0.282000,0.244336,0.322989,0.000000,0.000000,0.000050,0.000000,0.000000,0.000126,0.9336,0.2699,0.9564,1.354,500
0.3,Mixed-3obs,3,WDRO-inject-K2,0.300000,0.261481,0.341569,0.000000,0.000000,0.000050,0.000000,0.000000,0.000125,0.9141,0.1924,0.9570,1.355,500
0.3,Mixed-3obs,3,TopRisk-K1,0.262000,0.225376,0.302254,0.000000,0.000000,0.000051,0.000000,0.000000,0.000128,0.9496,0.3335,0.9566,1.346,500
0.3,Mixed-3obs,3,TopRisk-K2,0.298000,0.259573,0.339508,0.000000,0.000000,0.000051,0.000000,0.000000,0.000127,0.9177,0.2437,0.9564,1.357,500
0.3,Mixed-3obs,3,DiverseRisk-K1,0.300000,0.261481,0.341569,0.000000,0.000000,0.000051,0.000000,0.000000,0.000126,0.9339,0.2826,0.9567,1.351,500
0.3,Mixed-3obs,3,Softmax-tau5,0.288000,0.250043,0.329190,0.000000,0.000000,0.000050,0.000000,0.000000,0.000124,0.9310,0.3074,0.9562,1.365,500
0.3,Dense-4obs,4,Base,0.750000,0.710236,0.785952,0.738191,0.736012,0.740358,0.843521,0.840679,0.846322,0.6778,0.1323,0.8804,1.238,500
0.3,Dense-4obs,4,WDRO-sampling,0.342000,0.301765,0.384645,0.031857,0.030809,0.032940,0.031547,0.029915,0.033266,0.8953,0.1333,0.9565,1.528,500
0.3,Dense-4obs,4,WDRO-inject-K1,0.344000,0.303692,0.386687,0.000000,0.000000,0.000037,0.000000,0.000000,0.000092,0.8788,0.1254,0.9565,1.536,500
0.3,Dense-4obs,4,WDRO-inject-K2,0.338000,0.297912,0.380558,0.000000,0.000000,0.000037,0.000000,0.000000,0.000090,0.8957,0.1336,0.9568,1.541,500
0.3,Dense-4obs,4,TopRisk-K1,0.340000,0.299838,0.382602,0.000000,0.000000,0.000037,0.000000,0.000000,0.000091,0.8968,0.1956,0.9561,1.528,500
0.3,Dense-4obs,4,TopRisk-K2,0.328000,0.288295,0.370327,0.000000,0.000000,0.000037,0.000000,0.000000,0.000092,0.9128,0.1866,0.9568,1.533,500
0.3,Dense-4obs,4,DiverseRisk-K1,0.366000,0.324947,0.409097,0.000000,0.000000,0.000037,0.000000,0.000000,0.000092,0.8947,0.1244,0.9566,1.532,500
0.3,Dense-4obs,4,Softmax-tau5,0.354000,0.313342,0.396885,0.000000,0.000000,0.000037,0.000000,0.000000,0.000093,0.8908,0.1253,0.9567,1.523,500
0.3,HighSpeed-Dense,3,Base,0.598000,0.554434,0.640072,0.724975,0.721893,0.728036,0.824393,0.820248,0.828463,0.8419,0.1950,0.9424,1.165,500
0.3,HighSpeed-Dense,3,WDRO-sampling,0.260000,0.223485,0.300175,0.024315,0.023193,0.025490,0.018090,0.016581,0.019735,1.0332,0.4211,0.9589,1.279,500
0.3,HighSpeed-Dense,3,WDRO-inject-K1,0.220000,0.185900,0.258369,0.000000,0.000000,0.000056,0.000000,0.000000,0.000142,1.0562,0.3967,0.9588,1.276,500
0.3,HighSpeed-Dense,3,WDRO-inject-K2,0.222000,0.187769,0.260471,0.000000,0.000000,0.000056,0.000000,0.000000,0.000142,1.0444,0.3848,0.9592,1.283,500
0.3,HighSpeed-Dense,3,TopRisk-K1,0.224000,0.189638,0.262570,0.000000,0.000000,0.000056,0.000000,0.000000,0.000138,1.0265,0.3622,0.9589,1.288,500
0.3,HighSpeed-Dense,3,TopRisk-K2,0.228000,0.193381,0.266767,0.000000,0.000000,0.000056,0.000000,0.000000,0.000138,1.0251,0.3970,0.9589,1.282,500
0.3,HighSpeed-Dense,3,DiverseRisk-K1,0.250000,0.214048,0.289764,0.000000,0.000000,0.000056,0.000000,0.000000,0.000142,1.0217,0.3670,0.9587,1.283,500
0.3,HighSpeed-Dense,3,Softmax-tau5,0.280000,0.242435,0.320919,0.000000,0.000000,0.000055,0.000000,0.000000,0.000137,1.0040,0.3429,0.9586,1.291,500
