test_suite,test_name,test_root,matrix_identity,source_artifact,attempt,case,controller,mode,nominal_probability,obstacle_id,pair,profile,radius_observation_count,rho,rho_over_vertex_distance,risk_score,sampling_probability,scenario_budget,seed,step,vertex_distance,vertex_reachable,zero_vertex_distance
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/vertex_reachability.csv,0,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_30_s20,sh_mpcc_dro_fallback,turn_right,0.3333333333333333,0,straight_o1_c1_m3_boost_30_s20,boost_30,3,0.004093854020725526,1.3068272893010469,0.0,0.3333333333333333,20,77,2,0.0031326664619278906,1,0
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/vertex_reachability.csv,0,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_5_s20,sh_mpcc_dro_fallback,constant_velocity,0.6,0,straight_o1_c1_m3_boost_5_s20,boost_5,1,0.003993800556272961,2.4784237243658005,0.0,0.6,20,77,0,0.0016114276654993398,1,0
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/vertex_reachability.csv,0,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_5_s20,sh_mpcc_dro_fallback,turn_left,0.2,0,straight_o1_c1_m3_boost_5_s20,boost_5,1,0.003993800556272961,0.9916641894561606,0.0,0.2,20,77,0,0.004027371965970864,0,0
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/vertex_reachability.csv,0,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_5_s20,sh_mpcc_dro_fallback,turn_right,0.2,0,straight_o1_c1_m3_boost_5_s20,boost_5,1,0.003993800556272961,0.9916641894561606,0.0,0.2,20,77,0,0.004027371965970864,0,0
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/vertex_reachability.csv,0,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_5_s20,sh_mpcc_dro_fallback,constant_velocity,0.7142857142857143,0,straight_o1_c1_m3_boost_5_s20,boost_5,2,0.003659957654902934,3.179752232487787,0.0,0.7142857142857143,20,77,1,0.0011510197610709568,1,0
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/vertex_reachability.csv,0,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_5_s20,sh_mpcc_dro_fallback,turn_left,0.14285714285714285,0,straight_o1_c1_m3_boost_5_s20,boost_5,2,0.003659957654902934,0.9086935255275498,0.0,0.14285714285714285,20,77,1,0.004027714022478717,0,0
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/vertex_reachability.csv,0,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_5_s20,sh_mpcc_dro_fallback,turn_right,0.14285714285714285,0,straight_o1_c1_m3_boost_5_s20,boost_5,2,0.003659957654902934,0.9086935255275498,0.0,0.14285714285714285,20,77,1,0.004027714022478717,0,0
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/vertex_reachability.csv,0,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_5_s20,sh_mpcc_dro_fallback,constant_velocity,0.5555555555555556,0,straight_o1_c1_m3_boost_5_s20,boost_5,3,0.004093854020725526,2.286462307640258,0.0,0.5555555555555556,20,77,2,0.001790475183888155,1,0
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/vertex_reachability.csv,0,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_5_s20,sh_mpcc_dro_fallback,turn_left,0.1111111111111111,0,straight_o1_c1_m3_boost_5_s20,boost_5,3,0.004093854020725526,0.8317779098660022,0.0,0.1111111111111111,20,77,2,0.004921811426063284,0,0
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/vertex_reachability.csv,0,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_5_s20,sh_mpcc_dro_fallback,turn_right,0.3333333333333333,0,straight_o1_c1_m3_boost_5_s20,boost_5,3,0.004093854020725526,1.3068272893010469,0.0,0.3333333333333333,20,77,2,0.0031326664619278906,1,0
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke/vertex_reachability.csv,0,sh_mpcc_dro_straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro,constant_velocity,0.6,0,straight_o1_c1_m3_boost_0_s20,boost_0,1,0.003993800556272961,2.4784237243658005,0.0,0.6,20,77,0,0.0016114276654993398,1,0
