test_suite,test_name,test_root,matrix_identity,pair_case,case,seed,step,applied,success,fallback,nominal_fallback_attempted,used_nominal_fallback,a,omega,control_cost_unweighted,control_cost_weighted,mpc_cost,solve_time,qp_solve_time,constraint_time,dro_risk_time,ambiguity_radius,certificate,acceleration_weight,automatically_compute_sample_size,certification_status,classes,dt,environment,log_file,nominal_resampling_baseline,num_scenarios,obstacles,profile,repeat,repeatable,run_id,safe_horizon_enabled,scenario_budget,solver_style,steering_weight,trial_error,trial_status
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_straight_o1_c1_m3_boost_0_s20,77,1,1,1,0,0,0,2.99998,-1.62685e-08,8.99988,0.899988,-17.2991,0.0165116,0.0122641,0.00191126,0.000222425,0.00479247,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_1.log,false,20,1,boost_0,1,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_1,true,20,sh_mpcc_dro,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_straight_o1_c1_m3_boost_0_s20,77,2,1,1,0,0,0,2.99953,-7.13639e-08,8.99718,0.899718,-17.2201,0.0188331,0.0123179,0.00313541,0.000206485,0.00478306,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_1.log,false,20,1,boost_0,1,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_1,true,20,sh_mpcc_dro,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_0_s20,77,0,1,1,0,0,0,3,5.77253e-09,9,0.9,-15.7811,0.0246159,0.0170327,0.00325431,0.000323488,0.0039938,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_0.log,false,20,1,boost_0,0,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_0,true,20,sh_mpcc_dro_fallback,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_0_s20,77,1,1,1,0,0,0,2.99998,-1.62685e-08,8.99988,0.899988,-17.2991,0.0170527,0.0126351,0.00204385,0.000221583,0.00479247,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_0.log,false,20,1,boost_0,0,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_0,true,20,sh_mpcc_dro_fallback,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_0_s20,77,2,1,1,0,0,0,2.99953,-7.13639e-08,8.99718,0.899718,-17.2201,0.0199052,0.0155989,0.00186501,0.000206144,0.00478306,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_0.log,false,20,1,boost_0,0,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_0,true,20,sh_mpcc_dro_fallback,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_0_s20,77,0,1,1,0,0,0,3,5.77253e-09,9,0.9,-15.7811,0.0257992,0.0182392,0.00325773,0.000320813,0.0039938,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_1.log,false,20,1,boost_0,1,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_1,true,20,sh_mpcc_dro_fallback,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_0_s20,77,1,1,1,0,0,0,2.99998,-1.62685e-08,8.99988,0.899988,-17.2991,0.0244746,0.0181215,0.0029147,0.000309661,0.00479247,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_1.log,false,20,1,boost_0,1,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_1,true,20,sh_mpcc_dro_fallback,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_dro_fallback_straight_o1_c1_m3_boost_0_s20,77,2,1,1,0,0,0,2.99953,-7.13639e-08,8.99718,0.899718,-17.2201,0.017291,0.0121451,0.00186046,0.00030911,0.00478306,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_1.log,false,20,1,boost_0,1,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_1,true,20,sh_mpcc_dro_fallback,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_extra_straight_o1_c1_m3_boost_0_s20,77,0,1,1,0,0,0,3,7.20729e-09,9,0.9,-15.7811,0.0282094,0.0171291,0.00615861,0,0,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_extra/repeat_0.log,false,40,1,boost_0,0,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_extra/repeat_0,true,20,sh_mpcc_extra,0.1,,OK
sample_efficiency,concentration-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/concentration-smoke,77fedeb464320f1c31023e1c91faa0f70f67d43348e258d4e36e08d7c03c0529,straight_o1_c1_m3_boost_0_s20,sh_mpcc_extra_straight_o1_c1_m3_boost_0_s20,77,1,1,1,0,0,0,2.99998,-2.2438e-08,8.99988,0.899988,-17.2991,0.0188601,0.0124246,0.0037115,0,0,insufficient_scenarios,0.1,false,see_decisions,1,0.1,straight,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_extra/repeat_0.log,false,40,1,boost_0,0,True,straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_extra/repeat_0,true,20,sh_mpcc_extra,0.1,,OK
