step,time_s,actor,obstacle_id,mode,x,y,theta,v,vx,vy,path_progress,minimum_clearance,ambiguity_radius,solve_time_ms,collision
0,0,ego,-1,,0,0,0,1.5,,,0,2.0542434376742857,0,0,0
0,0,obstacle,0,constant_velocity,5,0.15962027693564573,,,0.26866578771266175,0,0,2.0542434376742857,0,0,0
1,0.10000000000000001,ego,-1,,0.15992081425322666,0.00019238414514041432,0.0023572461583386147,1.6984193390030522,,,0.15992081425322666,1.9211227969797939,0.060819616480126126,150.14423399999998,0
1,0.10000000000000001,obstacle,0,constant_velocity,5.0268665787712665,0.15962027693564573,,,0.26866578771266175,0,0.15992081425322666,1.9211227969797939,0.060819616480126126,150.14423399999998,0
2,0.20000000000000001,ego,-1,,0.33116760347654522,0.0012551948035240488,0.010034166319925489,1.726590816507487,,,0.33116760347654522,1.7761763563751181,0.055797997529532364,138.921595,0
2,0.20000000000000001,obstacle,0,constant_velocity,5.053733157542533,0.15962027693564573,,,0.26866578771266175,0,0.33116760347654522,1.7761763563751181,0.055797997529532364,138.921595,0
3,0.30000000000000004,ego,-1,,0.50279972766708336,0.0056255884571353937,0.040940157180010539,1.707301014014833,,,0.50279972766708336,1.6304498768004569,0.062149781250773813,298.05791999999997,0
3,0.30000000000000004,obstacle,0,turn_right,5.0805876472600717,0.15881440046667186,,,0.26854489717538937,-0.008058764689738802,0.50279972766708336,1.6304498768004569,0.062149781250773813,298.05791999999997,0
4,0.40000000000000002,ego,-1,,0.67205847475324332,0.010967664764052996,0.02211077249454349,1.6796095850736337,,,0.67205847475324332,1.4879716917943571,0.06241429726946339,128.05296899999999,0
4,0.40000000000000002,obstacle,0,turn_right,5.1074058806957616,0.15720337276315113,,,0.26818233435689592,-0.016110277035207135,0.67205847475324332,1.4879716917943571,0.06241429726946339,128.05296899999999,0
5,0.5,ego,-1,,0.83931800075592955,0.019035471866193754,0.074335758610206859,1.6698508243980015,,,0.83931800075592955,1.3504044917525102,0.059624656724220265,245.40216800000002,0
5,0.5,obstacle,0,turn_right,5.134163723249686,0.15478864364127565,,,0.26757842553924577,-0.024147291218754863,0.83931800075592955,1.3504044917525102,0.059624656724220265,245.40216800000002,0
6,0.60000000000000009,ego,-1,,1.0056228729420671,0.033010964330222298,0.09334450026410554,1.6680205683307574,,,1.0056228729420671,1.2150442168649749,0.053032507898096763,132.383825,0
6,0.60000000000000009,obstacle,0,constant_velocity,5.1609215658036103,0.15237391451940016,,,0.26757842553924577,-0.024147291218754863,1.0056228729420671,1.2150442168649749,0.053032507898096763,132.383825,0
7,0.70000000000000007,ego,-1,,1.1718966677750118,0.051016878645031405,0.12237028788569251,1.6770146580684084,,,1.1718966677750118,1.0859251321118413,0.050232997759160847,228.03107199999999,0
7,0.70000000000000007,obstacle,0,turn_left,5.1877397992393002,0.15076288681587946,,,0.26818233435689592,-0.016110277035207135,1.1718966677750118,1.0859251321118413,0.050232997759160847,228.03107199999999,0
8,0.80000000000000004,ego,-1,,1.3376389478278197,0.073401849121726231,0.14614420627281077,1.6680059869031569,,,1.3376389478278197,0.96046323612778384,0.048877640862845177,133.50282300000001,0
8,0.80000000000000004,obstacle,0,turn_right,5.2144976417932245,0.14834815769400397,,,0.26757842553924577,-0.024147291218754863,1.3376389478278197,0.96046323612778384,0.048877640862845177,133.50282300000001,0
9,0.90000000000000002,ego,-1,,1.5019106852309334,0.10000894017801115,0.17502887537045986,1.6603609693521362,,,1.5019106852309334,0.84559275171207093,0.047027333812881461,125.653711,0
9,0.90000000000000002,obstacle,0,turn_right,5.2411710132131857,0.14513190024699407,,,0.26673371419961217,-0.032162574470098973,1.5019106852309334,0.84559275171207093,0.047027333812881461,125.653711,0
10,1,ego,-1,,1.6611010740848313,0.12637544409283205,0.1530360622268577,1.5668868750894109,,,1.6611010740848313,0.70559671106794797,0.043778659463403341,283.55773299999998,0
10,1,obstacle,0,constant_velocity,5.2678443846331469,0.14191564279998417,,,0.26673371419961217,-0.032162574470098973,1.6611010740848313,0.70559671106794797,0.043778659463403341,283.55773299999998,0
11,1.1000000000000001,ego,-1,,1.8159619480690663,0.14818459257609348,0.12676835938650488,1.5609836835844841,,,1.8159619480690663,0.56739886669310158,0.042249635814248988,122.24212700000001,0
11,1.1000000000000001,obstacle,0,turn_left,5.2946022271870721,0.13950091367810868,,,0.26757842553924577,-0.024147291218754863,1.8159619480690663,0.56739886669310158,0.042249635814248988,122.24212700000001,0
12,1.2000000000000002,ego,-1,,1.9717305507074969,0.1648887138311983,0.086937286820974263,1.5724572517529378,,,1.9717305507074969,0.4220878235706107,0.041109961568104494,126.66722,0
12,1.2000000000000002,obstacle,0,turn_right,5.3212755986070333,0.13628465623109878,,,0.26673371419961217,-0.032162574470098973,1.9717305507074969,0.4220878235706107,0.041109961568104494,126.66722,0
13,1.3,ego,-1,,2.1037797694146345,0.17142491431343002,0.0069373013244606874,1.0724572622663517,,,2.1037797694146345,0.29523852190676125,0.039838314690974812,214.70534000000001,0
13,1.3,obstacle,0,turn_right,5.3478404946591516,0.1322697648735659,,,0.26564896052118453,-0.04014891357532864,2.1037797694146345,0.29523852190676125,0.039838314690974812,214.70534000000001,0
14,1.4000000000000001,ego,-1,,2.1859696740596322,0.16903993045579888,-0.073062684876793918,0.57245783825026098,,,2.1859696740596322,0.24857719582018767,0.038678126596977815,118.719759,0
14,1.4000000000000001,obstacle,0,turn_left,5.3745138660791127,0.129053507426556,,,0.26673371419961217,-0.032162574470098973,2.1859696740596322,0.24857719582018767,0.038678126596977815,118.719759,0
15,1.5,ego,-1,,2.2229186670787047,0.16511391809849496,-0.15305926901874872,0.17086079057219894,,,2.2229186670787047,0.28038500399385002,0.037632174959860001,309.89803999999998,0
15,1.5,obstacle,0,turn_right,5.4010787621312311,0.12503861606902311,,,0.26564896052118453,-0.04014891357532864,2.2229186670787047,0.28038500399385002,0.037632174959860001,309.89803999999998,0
16,1.6000000000000001,ego,-1,,2.2548138508212001,0.16169358143441262,-0.0730633979861533,0.47085888154857325,,,2.2548138508212001,0.23304381095354088,0.03654903042470007,213.86630300000002,0
16,1.6000000000000001,obstacle,0,turn_left,5.4277521335511922,0.12182235862201322,,,0.26673371419961217,-0.032162574470098973,2.2548138508212001,0.23304381095354088,0.03654903042470007,213.86630300000002,0
17,1.7000000000000002,ego,-1,,2.3168542234897904,0.15983463133448275,0.0067287795415019169,0.77082840280765197,,,2.3168542234897904,0.18886047468415557,0.035671883141653156,128.26997800000001,0
17,1.7000000000000002,obstacle,0,turn_right,5.4543170296033106,0.11780746726448037,,,0.26564896052118453,-0.04014891357532864,2.3168542234897904,0.18886047468415557,0.035671883141653156,128.26997800000001,0
18,1.8,ego,-1,,2.3836874201955665,0.15774645444165686,-0.073263794192671122,0.56684164925019742,,,2.3836874201955665,0.15730861357944192,0.034339080542872873,231.959632,0
18,1.8,obstacle,0,constant_velocity,5.4808819256554289,0.1137925759069475,,,0.26564896052118453,-0.04014891357532864,2.3836874201955665,0.15730861357944192,0.034339080542872873,231.959632,0
19,1.9000000000000001,ego,-1,,2.4552887647727064,0.15447493370912921,-0.021653987217966436,0.86683602790839842,,,2.4552887647727064,0.10249682541107896,0.033542285133377023,124.951717,0
19,1.9000000000000001,obstacle,0,turn_right,5.5073144397263345,0.10898266377011641,,,0.26432514070905472,-0.048099121368310876,2.4552887647727064,0.10249682541107896,0.033542285133377023,124.951717,0
20,2,ego,-1,,2.5546050013931372,0.15613447019666477,0.05194195367755336,1.1202119473190746,,,2.5546050013931372,0.04409360712274224,0.032731767894994983,123.791899,0
20,2,obstacle,0,turn_right,5.5335907843375036,0.10338205945025092,,,0.2627634461116985,-0.056006043198654931,2.5546050013931372,0.04409360712274224,0.032731767894994983,123.791899,0
21,2.1000000000000001,ego,-1,,2.6714680446215189,0.16630480840450212,0.12064056559971723,1.2263443274734582,,,2.6714680446215189,0.0043076728640453199,0.032133769850680692,125.45191899999999,0
21,2.1000000000000001,obstacle,0,turn_left,5.5600232984084084,0.098572147313419831,,,0.26432514070905472,-0.048099121368310883,2.6714680446215189,0.0043076728640453199,0.032133769850680692,125.45191899999999,0
22,2.2000000000000002,ego,-1,,2.796394384455609,0.18622230940853948,0.19480433594686208,1.3043181776682828,,,2.796394384455609,0.0070412069579958159,0.031432089129179788,212.29174599999999,0
22,2.2000000000000002,obstacle,0,turn_right,5.5862996430195775,0.09297154299355434,,,0.2627634461116985,-0.056006043198654938,2.796394384455609,0.0070412069579958159,0.031432089129179788,212.29174599999999,0
