step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
53,137.10762600000001,1,1,0,9.1290113935486321,20,1,0,-1,-1,-1,1,-1,-1,0,0
54,121.985074,1,1,0,9.0764022928765904,20,1,0,-1,-1,-1,1,-1,-1,0,0
55,225.90428200000002,1,1,0,7.257937276727878,20,1,1,-1,0,1,1,-1,-1,0,0
56,119.13921500000001,1,1,0,7.2669494897684181,20,1,0,-1,-1,-1,1,-1,-1,0,0
57,117.39037400000001,1,1,0,7.9409175020172214,20,1,0,-1,-1,-1,1,-1,-1,0,0
58,199.41842700000001,1,1,0,0.70132652243025395,20,1,1,-1,0,1,1,-1,-1,0,0
59,118.507204,1,1,0,2.3100822627720352,20,1,0,-1,-1,-1,1,-1,-1,0,0
60,213.44702500000002,1,1,0,2.2736307044027622,20,1,1,-1,0,1,1,-1,-1,0,0
61,113.484607,1,1,0,2.1479374861987104,20,1,0,-1,-1,-1,1,-1,-1,0,0
62,111.74557300000001,1,1,0,2.2796288495437094,20,1,0,-1,-1,-1,1,-1,-1,0,0
63,111.371668,1,1,0,1.4485007461888253,20,1,0,-1,-1,-1,1,-1,-1,0,0
64,109.651186,1,1,0,0.98038356069704913,20,1,0,-1,-1,-1,1,-1,-1,0,0
65,120.515091,1,1,0,0.29146456123815101,20,1,1,-1,0,1,1,-1,-1,0,0
66,112.71829799999999,1,1,0,0.64238817538146953,20,1,0,-1,-1,-1,1,-1,-1,0,0
67,213.26009000000002,1,1,0,0.69888471700395227,20,1,1,-1,0,1,1,-1,-1,0,0
68,119.772401,1,1,0,0.66016171711676019,20,1,0,-1,-1,-1,1,-1,-1,0,0
69,118.58999300000001,1,1,0,0.67425213138089402,20,1,0,-1,-1,-1,1,-1,-1,0,0
70,106.154504,1,1,0,0.76650664663077861,20,1,0,-1,-1,-1,1,-1,-1,0,0
71,197.77014400000002,1,1,0,1.8914258592252997,20,1,1,-1,0,1,1,-1,-1,0,0
72,105.77309699999999,1,1,0,0.17443135764165649,20,1,0,-1,-1,-1,1,-1,-1,0,0
73,103.32991199999999,1,1,0,0.078068178097780022,20,1,0,-1,-1,-1,1,-1,-1,0,0
74,99.072579999999988,1,1,0,0.079378814556956584,20,1,0,-1,-1,-1,1,-1,-1,0,0
75,99.983270000000005,1,1,0,0.043830298686050921,20,1,0,-1,-1,-1,1,-1,-1,0,0
76,110.21486,1,1,0,0.041956037288423273,20,1,0,-1,-1,-1,1,-1,-1,0,0
77,95.653126999999998,1,1,0,0.063140896181305375,20,1,0,-1,-1,-1,1,-1,-1,0,0
78,100.90503000000001,1,1,0,0.18894028173254784,20,1,0,-1,-1,-1,1,-1,-1,0,0
79,98.922651000000002,1,1,0,0.63447701168086423,20,1,0,-1,-1,-1,1,-1,-1,0,0
80,104.60113699999999,1,1,0,0.62816498814282451,20,1,0,-1,-1,-1,1,-1,-1,0,0
81,100.00822299999999,1,1,0,0.5646933606116179,20,1,0,-1,-1,-1,1,-1,-1,0,0
82,96.417524999999998,1,1,0,0.18498532818052904,20,1,0,-1,-1,-1,1,-1,-1,0,0
83,96.194636000000003,1,1,0,0.038776910120758366,20,1,0,-1,-1,-1,1,-1,-1,0,0
84,96.258709999999994,1,1,0,0.0099922448126005588,20,1,0,-1,-1,-1,1,-1,-1,0,0
85,100.96173,1,1,0,0.01081053644174648,20,1,0,-1,-1,-1,1,-1,-1,0,0
86,100.53002799999999,1,1,0,0.006203311179475637,20,1,0,-1,-1,-1,1,-1,-1,0,0
87,95.430578999999994,1,1,0,0.0085391291506493119,20,1,0,-1,-1,-1,1,-1,-1,0,0
88,91.592096999999995,1,1,0,0.0008033132928400088,20,1,0,-1,-1,-1,1,-1,-1,0,0
89,93.342751000000007,1,1,0,0.0019237753729075277,20,1,0,-1,-1,-1,1,-1,-1,0,0
90,92.763674000000009,1,1,0,0.000570409352815703,20,1,0,-1,-1,-1,1,-1,-1,0,0
91,90.428895999999995,1,1,0,0.00088935040672454067,20,1,0,-1,-1,-1,1,-1,-1,0,0
92,98.501875999999996,1,1,0,0.00013685408836989896,20,1,0,-1,-1,-1,1,-1,-1,0,0
93,99.312607,1,1,0,0.00021107471985142359,20,1,0,-1,-1,-1,1,-1,-1,0,0
94,89.486078999999989,1,1,0,0.00010566749765227718,20,1,0,-1,-1,-1,1,-1,-1,0,0
95,88.767132000000004,1,1,0,5.6700738635455374e-05,20,1,0,-1,-1,-1,1,-1,-1,0,0
96,94.031874999999999,1,1,0,3.4339896566372851e-05,20,1,0,-1,-1,-1,1,-1,-1,0,0
97,95.176324000000008,1,1,0,2.1066415875204477e-05,20,1,0,-1,-1,-1,1,-1,-1,0,0
98,92.588330999999997,1,1,0,1.2152646884149591e-05,20,1,0,-1,-1,-1,1,-1,-1,0,0
99,90.176033000000004,1,1,0,7.1345420403311214e-06,20,1,0,-1,-1,-1,1,-1,-1,0,0
100,91.210554999999999,1,1,0,4.20919016935559e-06,20,1,0,-1,-1,-1,1,-1,-1,0,0
101,90.383117999999996,1,1,0,2.4871725382382333e-06,20,1,0,-1,-1,-1,1,-1,-1,0,0
102,89.232367000000011,1,1,0,1.4642392428337893e-06,20,1,0,-1,-1,-1,1,-1,-1,0,0
103,89.586341000000004,1,1,0,8.6264967656055889e-07,20,1,0,-1,-1,-1,1,-1,-1,0,0
104,87.512128999999987,1,1,0,5.0753510293219446e-07,20,1,0,-1,-1,-1,1,-1,-1,0,0
105,90.113894999999999,1,1,0,2.9931244647077041e-07,20,1,0,-1,-1,-1,1,-1,-1,0,0
106,91.192695999999998,1,1,0,1.763820009720548e-07,20,1,0,-1,-1,-1,1,-1,-1,0,0
107,91.770560000000003,1,1,0,1.038724871835032e-07,20,1,0,-1,-1,-1,1,-1,-1,0,0
108,117.823443,1,1,0,6.1188657068711597e-08,20,1,0,-1,-1,-1,1,-1,-1,0,0
109,102.564847,1,1,0,3.6061231392135007e-08,20,1,0,-1,-1,-1,1,-1,-1,0,0
110,87.579257999999996,1,1,0,2.1239766628171742e-08,20,1,0,-1,-1,-1,1,-1,-1,0,0
111,96.068291000000002,1,1,0,1.251412574515041e-08,20,1,0,-1,-1,-1,1,-1,-1,0,0
112,84.605090999999987,1,1,0,7.3734225719990528e-09,20,1,0,-1,-1,-1,1,-1,-1,0,0
113,88.194073000000003,1,1,0,4.3429720034452219e-09,20,1,0,-1,-1,-1,1,-1,-1,0,0
114,83.947864999999993,1,1,0,2.5598948732542281e-09,20,1,0,-1,-1,-1,1,-1,-1,0,0
115,83.374189000000001,1,1,0,1.5067605881998193e-09,20,1,0,-1,-1,-1,1,-1,-1,0,0
116,85.686956999999992,1,1,0,8.886751055110119e-10,20,1,0,-1,-1,-1,1,-1,-1,0,0
117,83.356267000000003,1,1,0,5.2312470467997418e-10,20,1,0,-1,-1,-1,1,-1,-1,0,0
118,80.085615000000004,1,1,0,3.0838620319797908e-10,20,1,0,-1,-1,-1,1,-1,-1,0,0
119,88.485133999999988,1,1,0,1.8150559545911163e-10,20,1,0,-1,-1,-1,1,-1,-1,0,0
120,86.839157999999998,1,1,0,1.0708249953164616e-10,20,1,0,-1,-1,-1,1,-1,-1,0,0
121,82.232185000000001,1,1,0,6.305123018419118e-11,20,1,0,-1,-1,-1,1,-1,-1,0,0
122,81.463850000000008,1,1,0,3.7101244967337017e-11,20,1,0,-1,-1,-1,1,-1,-1,0,0
123,77.719387999999995,1,1,0,2.190195094805082e-11,20,1,0,-1,-1,-1,1,-1,-1,0,0
124,77.950461000000004,1,1,0,1.2896684953165006e-11,20,1,0,-1,-1,-1,1,-1,-1,0,0
125,81.050937000000005,1,1,0,7.5706356989228538e-12,20,1,0,-1,-1,-1,1,-1,-1,0,0
126,78.109575000000007,1,1,0,4.4928903316002955e-12,20,1,0,-1,-1,-1,1,-1,-1,0,0
127,77.698669999999993,1,1,0,2.6371614266941221e-12,20,1,0,-1,-1,-1,1,-1,-1,0,0
128,76.630038999999996,1,1,0,1.5413993971775979e-12,20,1,0,-1,-1,-1,1,-1,-1,0,0
129,77.947925999999995,1,1,0,9.2318330405616798e-13,20,1,0,-1,-1,-1,1,-1,-1,0,0
130,78.804929999999999,1,1,0,5.3725960015385281e-13,20,1,0,-1,-1,-1,1,-1,-1,0,0
131,78.452468999999994,1,1,0,3.1630123448355729e-13,20,1,0,-1,-1,-1,1,-1,-1,0,0
132,79.486659000000003,1,1,0,1.873452829037412e-13,20,1,0,-1,-1,-1,1,-1,-1,0,0
