case,pair,profile,controller,seed,scenario_budget,step,attempt,obstacle_id,radius_observation_count,rho,min_vertex_distance,rho_over_min_vertex_distance,zero_min_vertex_distance,any_vertex_reachable,max_q,q_gt_0_9,q_near_one,q_exactly_one
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,26,0,0,27,0.002616734012347108,0.003854457822016254,0.6788851073685646,0,0,0.43859649122807015,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,27,0,0,28,0.0025480111415265684,0.00372379823482912,0.6842505906186652,0,0,0.423728813559322,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,28,0,0,29,0.0025126113816878416,0.003791269988868296,0.6627360723623543,0,0,0.6026471280328557,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,29,0,0,30,0.0024759337008004325,0.0038544578220163746,0.6423558941696247,0,0,0.5872508357073055,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,3,0,0,4,0.004997360498511917,0.0031536473089223125,1.5846288468508711,0,1,0.9326738251707231,1,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,30,0,0,31,0.002438486989511702,0.003913757173124274,0.6230552590888275,0,0,0.4113972269378531,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,31,0,0,32,0.0023826346412965447,0.003796928600792282,0.6275163143176764,0,0,0.5718061289386391,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,32,0,0,33,0.0023619422561021006,0.0038544578220164015,0.612781969648454,0,0,0.7418546464322959,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,33,0,0,34,0.002337443462574552,0.0039087459603545874,0.5980034226533636,0,0,0.7282276660191753,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,34,0,0,35,0.002308582294892412,0.003960059406181192,0.5829665815843529,0,0,0.7143606723180338,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,35,0,0,36,0.002279094166132512,0.004008636134896983,0.5685460314773823,0,0,0.7008585818243184,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,36,0,0,37,0.002234298527258172,0.003904515715808822,0.5722344817852363,0,0,0.5764146307906222,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,37,0,0,38,0.00220648692524297,0.003952039032700363,0.5583160760776479,0,0,0.46835443037974683,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,38,0,0,39,0.0021887293713675417,0.0039972155191278815,0.5475635128738522,0,0,0.4567901234567901,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,39,0,0,40,0.0021487991613456338,0.0039008970728840664,0.5508474387295108,0,0,0.4457831325301205,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,4,0,0,5,0.00526551045094771,0.003557961066476421,1.4799235721155144,0,1,1.0,1,1,1
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,40,0,0,41,0.0021303219132561917,0.003945150947240309,0.5399848932894147,0,0,0.43529411764705883,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,41,0,0,42,0.002093020939052859,0.0038544578220163295,0.5430130606431091,0,0,0.42528735632183906,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,42,0,0,43,0.0020720088256497636,0.003897766336870446,0.5315887733058414,0,0,0.43820224719101125,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,43,0,0,44,0.0020505728087339406,0.003939171180742034,0.5205594564559308,0,0,0.45054945054945056,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,44,0,0,45,0.0020350483045052077,0.0039787951711134865,0.5114735031548983,0,0,0.44086021505376344,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,45,0,0,46,0.002018122074031308,0.004016750782943397,0.502426509157849,0,0,0.43157894736842106,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,46,0,0,47,0.0019993008291688975,0.00405314121490377,0.4932719397531194,0,0,0.44329896907216493,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,47,0,0,48,0.001982665752644143,0.00408806132638102,0.48498923923905746,0,0,0.43434343434343436,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,48,0,0,49,0.0019651590224870788,0.004121598463146174,0.47679535987282895,0,0,0.42574257425742573,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,49,0,0,50,0.0019469907198324202,0.004153833186833126,0.46872145131008547,0,0,0.4174757281553398,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,5,0,0,6,0.004679756718854426,0.00385445782201616,1.214115430742105,0,1,0.9052887090030786,1,0,0
