case,pair,profile,controller,seed,scenario_budget,step,attempt,obstacle_id,radius_observation_count,rho,mode,vertex_distance,rho_over_vertex_distance,zero_vertex_distance,vertex_reachable,nominal_probability,sampling_probability,risk_score
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,14,0,0,15,0.00332039813235342,constant_velocity,0.003504052565469252,0.9475879914229433,0,0,0.3939393939393939,0.0,0.09504283091713353
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,14,0,0,15,0.00332039813235342,turn_left,0.005423569030863161,0.6122164415089926,0,0,0.3333333333333333,0.24293407696769703,0.08827485893387316
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,14,0,0,15,0.00332039813235342,turn_right,0.006122665667153635,0.5423125012633655,0,0,0.2727272727272727,0.7570659230323029,0.10312631919630794
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,15,0,0,16,0.0032944824167668897,constant_velocity,0.0036342030893295523,0.9065212746199786,0,0,0.37142857142857144,0.0,0.12045381646567846
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,15,0,0,16,0.0032944824167668897,turn_left,0.005113650800528123,0.644252520415873,0,0,0.37142857142857144,0.27199299478964845,0.11346024807761268
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,15,0,0,16,0.0032944824167668897,turn_right,0.006431947314676068,0.5122060638229605,0,0,0.2571428571428571,0.7280070052103516,0.12873915684046794
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,16,0,0,17,0.0032507389959771206,constant_velocity,0.0037502832862859265,0.8667982517119321,0,0,0.35135135135135137,0.0,0.17150314317679818
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,16,0,0,17,0.0032507389959771206,turn_left,0.004837237243742713,0.6720238913611623,0,0,0.40540540540540543,0.2996988115525194,0.1631796335876095
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,16,0,0,17,0.0032507389959771206,turn_right,0.006707793108412368,0.4846212373336781,0,0,0.24324324324324326,0.7003011884474806,0.18097287219398878
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,17,0,0,18,0.0031545561485274544,constant_velocity,0.003854457822016066,0.8184176074022963,0,0,0.3333333333333333,0.0,0.07391276438639274
