pair,controller,wdro_obstacle_solves,q_gt_0_9_fraction,q_near_one_fraction,q_exactly_one_fraction,any_vertex_reachable_fraction,min_max_q,median_max_q,max_max_q,min_observation_count,max_observation_count,min_rho,max_rho
four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro,120,0.05,0.016666666666666666,0.016666666666666666,0.19166666666666668,0.3333333333333333,0.4733076499724821,1.0,1,60,0.001753115634076764,0.01529236887253553
four_way_intersection_o1_c1_m3_boost_15_s40,sh_mpcc_dro,120,0.10833333333333334,0.041666666666666664,0.03333333333333333,0.19166666666666668,0.36134453781512604,0.5466523607151754,1.0,1,60,0.0017820842251104973,0.01529236887253553
four_way_intersection_o1_c1_m3_boost_30_s40,sh_mpcc_dro,120,0.16666666666666666,0.10833333333333334,0.09166666666666666,0.275,0.42857142857142855,0.5657412257726558,1.0,1,60,0.0017770691637315139,0.01529236887253553
four_way_intersection_o1_c1_m3_boost_5_s40,sh_mpcc_dro,120,0.06666666666666667,0.041666666666666664,0.03333333333333333,0.11666666666666667,0.3333333333333333,0.5051805906024277,1.0,1,60,0.001727409084851087,0.01529236887253553
straight_o1_c1_m3_boost_0_s40,sh_mpcc_dro,120,0.041666666666666664,0.025,0.025,0.15833333333333333,0.3763440860215054,0.5689024026090439,1.0,1,60,0.0020588629581437382,0.014348167654968179
straight_o1_c1_m3_boost_15_s40,sh_mpcc_dro,120,0.15,0.058333333333333334,0.03333333333333333,0.20833333333333334,0.34959349593495936,0.6037256640798563,1.0000000000000002,1,60,0.0020429111803952514,0.012332083864118512
straight_o1_c1_m3_boost_30_s40,sh_mpcc_dro,120,0.19166666666666668,0.13333333333333333,0.09166666666666666,0.275,0.42857142857142855,0.6032786885245902,1.0000000000000002,1,60,0.002083269287762398,0.012332083864118512
straight_o1_c1_m3_boost_5_s40,sh_mpcc_dro,120,0.1,0.058333333333333334,0.03333333333333333,0.16666666666666666,0.34513274336283184,0.5129772063742362,1.0000000000000002,1,60,0.0020264470181602023,0.012332083864118512
