budget,seed,scheme,draws,cut_in_count,represented,expected_inclusion
16,10025,wdro_single,16,1,1,0.38456636485253137
16,10025,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10026,nominal_single,16,0,0,0.15518189268716742
16,10026,nominal_split,16,0,0,0.15518189268716753
16,10026,wdro_single,16,0,0,0.38456636485253137
16,10026,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10027,nominal_single,16,0,0,0.15518189268716742
16,10027,nominal_split,16,0,0,0.15518189268716753
16,10027,wdro_single,16,0,0,0.38456636485253137
16,10027,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10028,nominal_single,16,0,0,0.15518189268716742
16,10028,nominal_split,16,0,0,0.15518189268716753
16,10028,wdro_single,16,0,0,0.38456636485253137
16,10028,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10029,nominal_single,16,0,0,0.15518189268716742
16,10029,nominal_split,16,0,0,0.15518189268716753
16,10029,wdro_single,16,0,0,0.38456636485253137
16,10029,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10030,nominal_single,16,0,0,0.15518189268716742
16,10030,nominal_split,16,0,0,0.15518189268716753
16,10030,wdro_single,16,1,1,0.38456636485253137
16,10030,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10031,nominal_single,16,0,0,0.15518189268716742
16,10031,nominal_split,16,0,0,0.15518189268716753
16,10031,wdro_single,16,1,1,0.38456636485253137
16,10031,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10032,nominal_single,16,1,1,0.15518189268716742
16,10032,nominal_split,16,1,1,0.15518189268716753
16,10032,wdro_single,16,2,1,0.38456636485253137
16,10032,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10033,nominal_single,16,0,0,0.15518189268716742
16,10033,nominal_split,16,0,0,0.15518189268716753
16,10033,wdro_single,16,0,0,0.38456636485253137
16,10033,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10034,nominal_single,16,0,0,0.15518189268716742
16,10034,nominal_split,16,0,0,0.15518189268716753
16,10034,wdro_single,16,0,0,0.38456636485253137
16,10034,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10035,nominal_single,16,0,0,0.15518189268716742
16,10035,nominal_split,16,0,0,0.15518189268716753
16,10035,wdro_single,16,0,0,0.38456636485253137
16,10035,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10036,nominal_single,16,0,0,0.15518189268716742
16,10036,nominal_split,16,0,0,0.15518189268716753
16,10036,wdro_single,16,0,0,0.38456636485253137
16,10036,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10037,nominal_single,16,0,0,0.15518189268716742
16,10037,nominal_split,16,0,0,0.15518189268716753
16,10037,wdro_single,16,0,0,0.38456636485253137
16,10037,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10038,nominal_single,16,0,0,0.15518189268716742
16,10038,nominal_split,16,0,0,0.15518189268716753
16,10038,wdro_single,16,0,0,0.38456636485253137
16,10038,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10039,nominal_single,16,0,0,0.15518189268716742
16,10039,nominal_split,16,0,0,0.15518189268716753
16,10039,wdro_single,16,0,0,0.38456636485253137
16,10039,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10040,nominal_single,16,0,0,0.15518189268716742
16,10040,nominal_split,16,0,0,0.15518189268716753
16,10040,wdro_single,16,1,1,0.38456636485253137
16,10040,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10041,nominal_single,16,0,0,0.15518189268716742
16,10041,nominal_split,16,0,0,0.15518189268716753
16,10041,wdro_single,16,0,0,0.38456636485253137
16,10041,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10042,nominal_single,16,0,0,0.15518189268716742
16,10042,nominal_split,16,0,0,0.15518189268716753
16,10042,wdro_single,16,0,0,0.38456636485253137
16,10042,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10043,nominal_single,16,0,0,0.15518189268716742
16,10043,nominal_split,16,0,0,0.15518189268716753
16,10043,wdro_single,16,0,0,0.38456636485253137
16,10043,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10044,nominal_single,16,1,1,0.15518189268716742
16,10044,nominal_split,16,1,1,0.15518189268716753
16,10044,wdro_single,16,1,1,0.38456636485253137
16,10044,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10045,nominal_single,16,0,0,0.15518189268716742
16,10045,nominal_split,16,0,0,0.15518189268716753
16,10045,wdro_single,16,0,0,0.38456636485253137
16,10045,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10046,nominal_single,16,0,0,0.15518189268716742
16,10046,nominal_split,16,0,0,0.15518189268716753
16,10046,wdro_single,16,1,1,0.38456636485253137
16,10046,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10047,nominal_single,16,0,0,0.15518189268716742
16,10047,nominal_split,16,0,0,0.15518189268716753
16,10047,wdro_single,16,2,1,0.38456636485253137
16,10047,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10048,nominal_single,16,0,0,0.15518189268716742
16,10048,nominal_split,16,0,0,0.15518189268716753
16,10048,wdro_single,16,0,0,0.38456636485253137
16,10048,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10049,nominal_single,16,0,0,0.15518189268716742
16,10049,nominal_split,16,0,0,0.15518189268716753
16,10049,wdro_single,16,0,0,0.38456636485253137
16,10049,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10050,nominal_single,16,0,0,0.15518189268716742
16,10050,nominal_split,16,0,0,0.15518189268716753
16,10050,wdro_single,16,1,1,0.38456636485253137
16,10050,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10051,nominal_single,16,0,0,0.15518189268716742
16,10051,nominal_split,16,0,0,0.15518189268716753
16,10051,wdro_single,16,1,1,0.38456636485253137
16,10051,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10052,nominal_single,16,0,0,0.15518189268716742
16,10052,nominal_split,16,0,0,0.15518189268716753
16,10052,wdro_single,16,0,0,0.38456636485253137
16,10052,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10053,nominal_single,16,0,0,0.15518189268716742
16,10053,nominal_split,16,0,0,0.15518189268716753
16,10053,wdro_single,16,1,1,0.38456636485253137
16,10053,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10054,nominal_single,16,0,0,0.15518189268716742
16,10054,nominal_split,16,0,0,0.15518189268716753
16,10054,wdro_single,16,0,0,0.38456636485253137
16,10054,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10055,nominal_single,16,2,1,0.15518189268716742
16,10055,nominal_split,16,2,1,0.15518189268716753
16,10055,wdro_single,16,2,1,0.38456636485253137
16,10055,wdro_nominal_split_unconditional,16,2,1,0.27893864420429471
16,10056,nominal_single,16,1,1,0.15518189268716742
16,10056,nominal_split,16,1,1,0.15518189268716753
16,10056,wdro_single,16,3,1,0.38456636485253137
16,10056,wdro_nominal_split_unconditional,16,2,1,0.27893864420429471
16,10057,nominal_single,16,0,0,0.15518189268716742
16,10057,nominal_split,16,0,0,0.15518189268716753
16,10057,wdro_single,16,0,0,0.38456636485253137
16,10057,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10058,nominal_single,16,0,0,0.15518189268716742
16,10058,nominal_split,16,0,0,0.15518189268716753
16,10058,wdro_single,16,0,0,0.38456636485253137
16,10058,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10059,nominal_single,16,1,1,0.15518189268716742
16,10059,nominal_split,16,1,1,0.15518189268716753
16,10059,wdro_single,16,1,1,0.38456636485253137
16,10059,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10060,nominal_single,16,1,1,0.15518189268716742
16,10060,nominal_split,16,1,1,0.15518189268716753
16,10060,wdro_single,16,2,1,0.38456636485253137
16,10060,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10061,nominal_single,16,0,0,0.15518189268716742
16,10061,nominal_split,16,0,0,0.15518189268716753
16,10061,wdro_single,16,0,0,0.38456636485253137
16,10061,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10062,nominal_single,16,0,0,0.15518189268716742
16,10062,nominal_split,16,0,0,0.15518189268716753
16,10062,wdro_single,16,0,0,0.38456636485253137
16,10062,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10063,nominal_single,16,0,0,0.15518189268716742
16,10063,nominal_split,16,0,0,0.15518189268716753
16,10063,wdro_single,16,0,0,0.38456636485253137
16,10063,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10064,nominal_single,16,0,0,0.15518189268716742
16,10064,nominal_split,16,0,0,0.15518189268716753
16,10064,wdro_single,16,0,0,0.38456636485253137
16,10064,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10065,nominal_single,16,0,0,0.15518189268716742
16,10065,nominal_split,16,0,0,0.15518189268716753
16,10065,wdro_single,16,0,0,0.38456636485253137
16,10065,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10066,nominal_single,16,0,0,0.15518189268716742
16,10066,nominal_split,16,0,0,0.15518189268716753
16,10066,wdro_single,16,1,1,0.38456636485253137
16,10066,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10067,nominal_single,16,0,0,0.15518189268716742
16,10067,nominal_split,16,0,0,0.15518189268716753
16,10067,wdro_single,16,0,0,0.38456636485253137
16,10067,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10068,nominal_single,16,0,0,0.15518189268716742
16,10068,nominal_split,16,0,0,0.15518189268716753
16,10068,wdro_single,16,0,0,0.38456636485253137
16,10068,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10069,nominal_single,16,0,0,0.15518189268716742
16,10069,nominal_split,16,0,0,0.15518189268716753
16,10069,wdro_single,16,0,0,0.38456636485253137
16,10069,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10070,nominal_single,16,0,0,0.15518189268716742
16,10070,nominal_split,16,0,0,0.15518189268716753
16,10070,wdro_single,16,0,0,0.38456636485253137
16,10070,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10071,nominal_single,16,0,0,0.15518189268716742
16,10071,nominal_split,16,0,0,0.15518189268716753
16,10071,wdro_single,16,1,1,0.38456636485253137
16,10071,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10072,nominal_single,16,0,0,0.15518189268716742
16,10072,nominal_split,16,0,0,0.15518189268716753
16,10072,wdro_single,16,0,0,0.38456636485253137
16,10072,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10073,nominal_single,16,0,0,0.15518189268716742
16,10073,nominal_split,16,0,0,0.15518189268716753
16,10073,wdro_single,16,1,1,0.38456636485253137
16,10073,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10074,nominal_single,16,0,0,0.15518189268716742
16,10074,nominal_split,16,0,0,0.15518189268716753
16,10074,wdro_single,16,0,0,0.38456636485253137
16,10074,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10075,nominal_single,16,0,0,0.15518189268716742
16,10075,nominal_split,16,0,0,0.15518189268716753
16,10075,wdro_single,16,0,0,0.38456636485253137
16,10075,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10076,nominal_single,16,0,0,0.15518189268716742
16,10076,nominal_split,16,0,0,0.15518189268716753
16,10076,wdro_single,16,0,0,0.38456636485253137
16,10076,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10077,nominal_single,16,0,0,0.15518189268716742
16,10077,nominal_split,16,0,0,0.15518189268716753
16,10077,wdro_single,16,0,0,0.38456636485253137
16,10077,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10078,nominal_single,16,0,0,0.15518189268716742
16,10078,nominal_split,16,0,0,0.15518189268716753
16,10078,wdro_single,16,0,0,0.38456636485253137
16,10078,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10079,nominal_single,16,0,0,0.15518189268716742
16,10079,nominal_split,16,0,0,0.15518189268716753
16,10079,wdro_single,16,0,0,0.38456636485253137
16,10079,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10080,nominal_single,16,0,0,0.15518189268716742
16,10080,nominal_split,16,0,0,0.15518189268716753
16,10080,wdro_single,16,0,0,0.38456636485253137
16,10080,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10081,nominal_single,16,0,0,0.15518189268716742
16,10081,nominal_split,16,0,0,0.15518189268716753
16,10081,wdro_single,16,0,0,0.38456636485253137
16,10081,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10082,nominal_single,16,0,0,0.15518189268716742
16,10082,nominal_split,16,0,0,0.15518189268716753
16,10082,wdro_single,16,0,0,0.38456636485253137
16,10082,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10083,nominal_single,16,0,0,0.15518189268716742
16,10083,nominal_split,16,0,0,0.15518189268716753
16,10083,wdro_single,16,0,0,0.38456636485253137
16,10083,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10084,nominal_single,16,0,0,0.15518189268716742
16,10084,nominal_split,16,0,0,0.15518189268716753
16,10084,wdro_single,16,0,0,0.38456636485253137
16,10084,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10085,nominal_single,16,0,0,0.15518189268716742
16,10085,nominal_split,16,0,0,0.15518189268716753
16,10085,wdro_single,16,1,1,0.38456636485253137
16,10085,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10086,nominal_single,16,0,0,0.15518189268716742
16,10086,nominal_split,16,0,0,0.15518189268716753
16,10086,wdro_single,16,1,1,0.38456636485253137
16,10086,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10087,nominal_single,16,0,0,0.15518189268716742
16,10087,nominal_split,16,0,0,0.15518189268716753
16,10087,wdro_single,16,0,0,0.38456636485253137
16,10087,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10088,nominal_single,16,0,0,0.15518189268716742
16,10088,nominal_split,16,0,0,0.15518189268716753
16,10088,wdro_single,16,1,1,0.38456636485253137
16,10088,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10089,nominal_single,16,0,0,0.15518189268716742
16,10089,nominal_split,16,0,0,0.15518189268716753
16,10089,wdro_single,16,0,0,0.38456636485253137
16,10089,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10090,nominal_single,16,0,0,0.15518189268716742
16,10090,nominal_split,16,0,0,0.15518189268716753
16,10090,wdro_single,16,1,1,0.38456636485253137
16,10090,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10091,nominal_single,16,0,0,0.15518189268716742
16,10091,nominal_split,16,0,0,0.15518189268716753
16,10091,wdro_single,16,0,0,0.38456636485253137
16,10091,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10092,nominal_single,16,0,0,0.15518189268716742
16,10092,nominal_split,16,0,0,0.15518189268716753
16,10092,wdro_single,16,0,0,0.38456636485253137
16,10092,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10093,nominal_single,16,0,0,0.15518189268716742
16,10093,nominal_split,16,0,0,0.15518189268716753
16,10093,wdro_single,16,0,0,0.38456636485253137
16,10093,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10094,nominal_single,16,0,0,0.15518189268716742
16,10094,nominal_split,16,0,0,0.15518189268716753
16,10094,wdro_single,16,0,0,0.38456636485253137
16,10094,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10095,nominal_single,16,0,0,0.15518189268716742
16,10095,nominal_split,16,0,0,0.15518189268716753
16,10095,wdro_single,16,0,0,0.38456636485253137
16,10095,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10096,nominal_single,16,0,0,0.15518189268716742
16,10096,nominal_split,16,0,0,0.15518189268716753
16,10096,wdro_single,16,0,0,0.38456636485253137
16,10096,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10097,nominal_single,16,0,0,0.15518189268716742
16,10097,nominal_split,16,0,0,0.15518189268716753
16,10097,wdro_single,16,0,0,0.38456636485253137
16,10097,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10098,nominal_single,16,0,0,0.15518189268716742
16,10098,nominal_split,16,0,0,0.15518189268716753
16,10098,wdro_single,16,0,0,0.38456636485253137
16,10098,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10099,nominal_single,16,0,0,0.15518189268716742
16,10099,nominal_split,16,0,0,0.15518189268716753
16,10099,wdro_single,16,0,0,0.38456636485253137
16,10099,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10100,nominal_single,16,0,0,0.15518189268716742
16,10100,nominal_split,16,0,0,0.15518189268716753
16,10100,wdro_single,16,0,0,0.38456636485253137
16,10100,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10101,nominal_single,16,0,0,0.15518189268716742
16,10101,nominal_split,16,0,0,0.15518189268716753
16,10101,wdro_single,16,1,1,0.38456636485253137
16,10101,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
16,10102,nominal_single,16,0,0,0.15518189268716742
16,10102,nominal_split,16,0,0,0.15518189268716753
16,10102,wdro_single,16,0,0,0.38456636485253137
16,10102,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10103,nominal_single,16,0,0,0.15518189268716742
16,10103,nominal_split,16,0,0,0.15518189268716753
16,10103,wdro_single,16,0,0,0.38456636485253137
16,10103,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10104,nominal_single,16,0,0,0.15518189268716742
16,10104,nominal_split,16,0,0,0.15518189268716753
16,10104,wdro_single,16,0,0,0.38456636485253137
16,10104,wdro_nominal_split_unconditional,16,0,0,0.27893864420429471
16,10105,nominal_single,16,1,1,0.15518189268716742
16,10105,nominal_split,16,1,1,0.15518189268716753
16,10105,wdro_single,16,1,1,0.38456636485253137
16,10105,wdro_nominal_split_unconditional,16,1,1,0.27893864420429471
