budget_design,base_S,seed,method,status,first_success,final_success,fallback,outer_attempts,failed_attempts,qp_calls,total_draws,first_cut_in_count,any_cut_in,cycle_ms,sample_count_sufficient,error
equal_max_draws,8,80,wdro_nominal,OK,1,1,0,1,0,10,8,0,0,101.30852,0,
equal_max_draws,20,77,nominal,OK,1,1,0,1,0,10,40,0,0,126.101022,0,
equal_max_draws,20,77,nominal_nominal,OK,1,1,0,1,0,10,20,0,0,110.248313,0,
equal_max_draws,20,77,wdro,OK,1,1,0,1,0,10,40,0,0,127.15302000000001,0,
equal_max_draws,20,77,wdro_nominal,OK,1,1,0,1,0,10,20,0,0,110.62241300000001,0,
equal_max_draws,20,78,nominal,OK,1,1,0,1,0,10,40,0,0,126.038117,0,
equal_max_draws,20,78,nominal_nominal,OK,1,1,0,1,0,10,20,0,0,105.28279499999999,0,
equal_max_draws,20,78,wdro,OK,1,1,0,1,0,21,40,1,1,350.95585299999999,0,
equal_max_draws,20,78,wdro_nominal,OK,1,1,0,1,0,10,20,0,0,111.92564900000001,0,
equal_max_draws,20,79,nominal,OK,1,1,0,1,0,10,40,0,0,127.228161,0,
equal_max_draws,20,79,nominal_nominal,OK,1,1,0,1,0,10,20,0,0,110.910028,0,
equal_max_draws,20,79,wdro,OK,1,1,0,1,0,10,40,0,0,125.670012,0,
equal_max_draws,20,79,wdro_nominal,OK,1,1,0,1,0,10,20,0,0,114.70728600000001,0,
equal_max_draws,20,80,nominal,OK,1,1,0,1,0,10,40,0,0,124.12130399999999,0,
equal_max_draws,20,80,nominal_nominal,OK,1,1,0,1,0,10,20,0,0,108.75422499999999,0,
equal_max_draws,20,80,wdro,OK,1,1,0,1,0,21,40,1,1,350.49729099999996,0,
equal_max_draws,20,80,wdro_nominal,OK,1,1,0,1,0,10,20,0,0,112.186176,0,
equal_max_draws,40,77,nominal,OK,1,1,0,1,0,10,80,0,0,157.043027,0,
equal_max_draws,40,77,nominal_nominal,OK,1,1,0,1,0,10,40,0,0,123.496157,0,
equal_max_draws,40,77,wdro,OK,1,1,0,1,0,21,80,3,1,460.52765399999998,0,
equal_max_draws,40,77,wdro_nominal,OK,1,1,0,1,0,10,40,0,0,126.82532699999999,0,
equal_max_draws,40,78,nominal,OK,1,1,0,1,0,21,80,1,1,455.83839999999998,0,
equal_max_draws,40,78,nominal_nominal,OK,1,1,0,1,0,10,40,0,0,125.68531399999999,0,
equal_max_draws,40,78,wdro,OK,1,1,0,1,0,21,80,2,1,454.945582,0,
equal_max_draws,40,78,wdro_nominal,OK,1,1,0,1,0,21,40,1,1,354.72001899999998,0,
equal_max_draws,40,79,nominal,OK,1,1,0,1,0,10,80,0,0,152.25914500000002,0,
equal_max_draws,40,79,nominal_nominal,OK,1,1,0,1,0,10,40,0,0,121.75067800000001,0,
equal_max_draws,40,79,wdro,OK,1,1,0,1,0,21,80,1,1,454.58595299999996,0,
equal_max_draws,40,79,wdro_nominal,OK,1,1,0,1,0,10,40,0,0,125.06867499999998,0,
equal_max_draws,40,80,nominal,OK,1,1,0,1,0,10,80,0,0,151.84147000000002,0,
equal_max_draws,40,80,nominal_nominal,OK,1,1,0,1,0,10,40,0,0,121.803855,0,
equal_max_draws,40,80,wdro,OK,1,1,0,1,0,21,80,2,1,449.13621499999999,0,
equal_max_draws,40,80,wdro_nominal,OK,1,1,0,1,0,21,40,1,1,346.95140600000002,0,
