step,time_s,actor,obstacle_id,mode,x,y,theta,v,vx,vy,path_progress,minimum_clearance,ambiguity_radius,solve_time_ms,collision
0,0,ego,-1,,0,0,0,1.5,,,0,2.0542434376742857,0,0,0
0,0,obstacle,0,constant_velocity,5,0.15962027693564573,,,0.26866578771266175,0,0,2.0542434376742857,0,0,0
1,0.10000000000000001,ego,-1,,0.15967042802477746,0.0001039261408475601,0.0012759976239769028,1.6934094533063042,,,0.15967042802477746,1.921491060851775,0,151.07862699999998,0
1,0.10000000000000001,obstacle,0,constant_velocity,5.0268665787712665,0.15962027693564573,,,0.26866578771266175,0,0.15967042802477746,1.921491060851775,0,151.07862699999998,0
2,0.20000000000000001,ego,-1,,0.33032998228197508,0.00098331595322798983,0.0090097313288659761,1.719835451522278,,,0.33032998228197508,1.7771120904591975,0,139.36209199999999,0
2,0.20000000000000001,obstacle,0,constant_velocity,5.053733157542533,0.15962027693564573,,,0.26866578771266175,0,0.33032998228197508,1.7771120904591975,0,139.36209199999999,0
3,0.30000000000000004,ego,-1,,0.50197157277832782,0.0030274696100402766,0.014811717290032857,1.7132446121602773,,,0.50197157277832782,1.6319197930324061,0,291.28871699999996,0
3,0.30000000000000004,obstacle,0,turn_right,5.0805876472600717,0.15881440046667186,,,0.26854489717538937,-0.008058764689738802,0.50197157277832782,1.6319197930324061,0,291.28871699999996,0
4,0.40000000000000002,ego,-1,,0.67206038281108238,0.0056487757995171122,0.016011494458486722,1.6889357484671863,,,0.67206038281108238,1.488533279376355,0,135.55399300000002,0
4,0.40000000000000002,obstacle,0,turn_right,5.1074058806957616,0.15720337276315113,,,0.26818233435689592,-0.016110277035207135,0.67206038281108238,1.488533279376355,0,135.55399300000002,0
5,0.5,ego,-1,,0.84029204400313517,0.013453375325420989,0.076760693184180773,1.6798342100120283,,,0.84029204400313517,1.3497924830294232,0,213.576885,0
5,0.5,obstacle,0,turn_right,5.134163723249686,0.15478864364127565,,,0.26757842553924577,-0.024147291218754863,0.84029204400313517,1.3497924830294232,0,213.576885,0
6,0.60000000000000009,ego,-1,,1.0075177891925648,0.027822348863357313,0.094674398696130271,1.6770494998508589,,,1.0075177891925648,1.2133225134007402,0,137.48696699999999,0
6,0.60000000000000009,obstacle,0,constant_velocity,5.1609215658036103,0.15237391451940016,,,0.26757842553924577,-0.024147291218754863,1.0075177891925648,1.2133225134007402,0,137.48696699999999,0
7,0.70000000000000007,ego,-1,,1.1747083327186201,0.046067111465491195,0.12268967730415575,1.6867221492880566,,,1.1747083327186201,1.0828965133392716,0,249.16391900000002,0
7,0.70000000000000007,obstacle,0,turn_left,5.1877397992393002,0.15076288681587946,,,0.26818233435689592,-0.016110277035207135,1.1747083327186201,1.0828965133392716,0,249.16391900000002,0
8,0.80000000000000004,ego,-1,,1.3410239993582489,0.068639027397874058,0.14713678243286321,1.6701689964495814,,,1.3410239993582489,0.95707279587450644,0,126.07589899999999,0
8,0.80000000000000004,obstacle,0,turn_right,5.2144976417932245,0.14834815769400397,,,0.26757842553924577,-0.024147291218754863,1.3410239993582489,0.95707279587450644,0,126.07589899999999,0
9,0.90000000000000002,ego,-1,,1.503951273450963,0.094401987069090282,0.1665984121478773,1.6289148460379714,,,1.503951273450963,0.83712896594798147,0,120.50583300000001,0
9,0.90000000000000002,obstacle,0,turn_right,5.2411710132131857,0.14513190024699407,,,0.26673371419961217,-0.032162574470098973,1.503951273450963,0.83712896594798147,0,120.50583300000001,0
10,1,ego,-1,,1.6604705731735692,0.12034586043660363,0.16188286436227661,1.544185995933576,,,1.6604705731735692,0.71098381100328423,0,296.05264299999999,0
10,1,obstacle,0,constant_velocity,5.2678443846331469,0.14191564279998417,,,0.26673371419961217,-0.032162574470098973,1.6604705731735692,0.71098381100328423,0,296.05264299999999,0
11,1.1000000000000001,ego,-1,,1.813254941779578,0.14256245689779193,0.12691441007687693,1.54379519000332,,,1.813254941779578,0.56919344676366257,0,122.78390399999999,0
11,1.1000000000000001,obstacle,0,turn_left,5.2946022271870721,0.13950091367810868,,,0.26757842553924577,-0.024147291218754863,1.813254941779578,0.56919344676366257,0,122.78390399999999,0
12,1.2000000000000002,ego,-1,,1.9657057978552253,0.16027879034908532,0.10442404454691434,1.525805753441738,,,1.9657057978552253,0.43609653537205495,0,115.81666300000001,0
12,1.2000000000000002,obstacle,0,turn_right,5.3212755986070333,0.13628465623109878,,,0.26673371419961217,-0.032162574470098973,1.9657057978552253,0.43609653537205495,0,115.81666300000001,0
13,1.3,ego,-1,,2.0929663691929208,0.16882282705528673,0.024425687468840121,1.0258071352181131,,,2.0929663691929208,0.30837188140541683,0,235.49730399999999,0
13,1.3,obstacle,0,turn_right,5.3478404946591516,0.1322697648735659,,,0.26564896052118453,-0.04014891357532864,2.0929663691929208,0.30837188140541683,0,235.49730399999999,0
14,1.4000000000000001,ego,-1,,2.1705222107069657,0.16794813528073185,-0.055574302810579831,0.52580773220611099,,,2.1705222107069657,0.25923652121115492,0,132.28499499999998,0
14,1.4000000000000001,obstacle,0,turn_left,5.3745138660791127,0.129053507426556,,,0.26673371419961217,-0.032162574470098973,2.1705222107069657,0.25923652121115492,0,132.28499499999998,0
15,1.5,ego,-1,,2.2014708996110324,0.16528278576423153,-0.13444621441871421,0.095592564456956963,,,2.2014708996110324,0.28878883090181784,0,222.10800699999999,0
15,1.5,obstacle,0,turn_right,5.4010787621312311,0.12503861606902311,,,0.26564896052118453,-0.04014891357532864,2.2014708996110324,0.28878883090181784,0,222.10800699999999,0
16,1.6000000000000001,ego,-1,,2.2247694181758315,0.16098535273871112,-0.21444620954523047,0.3783495407871304,,,2.2247694181758315,0.35722211417930327,0,246.81888699999999,0
16,1.6000000000000001,obstacle,0,turn_left,5.4277521335511922,0.12182235862201322,,,0.26673371419961217,-0.032162574470098973,2.2247694181758315,0.35722211417930327,0,246.81888699999999,0
17,1.7000000000000002,ego,-1,,2.2768224573245024,0.15201459725529842,-0.13444862091895951,0.67833236955442677,,,2.2768224573245024,0.26820570900401819,0,131.654145,0
17,1.7000000000000002,obstacle,0,turn_right,5.4543170296033106,0.11780746726448037,,,0.26564896052118453,-0.04014891357532864,2.2768224573245024,0.26820570900401819,0,131.654145,0
18,1.8,ego,-1,,2.3592828556780816,0.14440384990683869,-0.054450204370073446,0.97832197160523415,,,2.3592828556780816,0.17728127501004587,0,133.833054,0
18,1.8,obstacle,0,constant_velocity,5.4808819256554289,0.1137925759069475,,,0.26564896052118453,-0.04014891357532864,2.3592828556780816,0.17728127501004587,0,133.833054,0
19,1.9000000000000001,ego,-1,,2.4318025306532332,0.13786866701411041,-0.13444960100124265,0.47832199436607437,,,2.4318025306532332,0.16941724566307248,0,278.54884499999997,0
19,1.9000000000000001,obstacle,0,turn_right,5.5073144397263345,0.10898266377011641,,,0.26432514070905472,-0.048099121368310876,2.4318025306532332,0.16941724566307248,0,278.54884499999997,0
20,2,ego,-1,,2.4564902833666169,0.13382644279641734,-0.21444717469970709,0.022104245528707711,,,2.4564902833666169,0.2404163702898976,0,118.333505,0
20,2,obstacle,0,turn_right,5.5335907843375036,0.10338205945025092,,,0.2627634461116985,-0.056006043198654931,2.4564902833666169,0.2404163702898976,0,118.333505,0
21,2.1000000000000001,ego,-1,,2.462460496955448,0.1322189510273655,-0.29444701209246854,0.10158094531604102,,,2.462460496955448,0.35382499995260597,0,129.53302500000001,0
21,2.1000000000000001,obstacle,0,turn_left,5.5600232984084084,0.098572147313419831,,,0.26432514070905472,-0.048099121368310883,2.462460496955448,0.35382499995260597,0,129.53302500000001,0
22,2.2000000000000002,ego,-1,,2.486851798753527,0.1260813602625897,-0.2144718957376979,0.40157029286396939,,,2.486851798753527,0.26067802299734755,0,289.86877800000002,0
22,2.2000000000000002,obstacle,0,turn_right,5.5862996430195775,0.09297154299355434,,,0.2627634461116985,-0.056006043198654938,2.486851798753527,0.26067802299734755,0,289.86877800000002,0
23,2.3000000000000003,ego,-1,,2.5411911132485754,0.11670519465549534,-0.13450862231760607,0.70156238379365754,,,2.5411911132485754,0.16565248000864252,0,130.29613000000001,0
23,2.3000000000000003,obstacle,0,turn_left,5.6127321570904822,0.088161630856723253,,,0.26432514070905472,-0.04809912136831089,2.5411911132485754,0.16565248000864252,0,130.29613000000001,0
24,2.4000000000000004,ego,-1,,2.6259204668755003,0.10836487489647598,-0.065765005529037746,1.0015465251083806,,,2.6259204668755003,0.072880331068595483,0,141.97098800000001,0
