step,attempt,obstacle_id,source_mode,target_mode,cost,radius_observation_count
11,0,0,turn_left,turn_right,0.013633479744650234,12
11,0,0,turn_right,constant_velocity,0.0068334016107186478,12
11,0,0,turn_right,turn_left,0.013633479744650234,12
11,0,0,turn_right,turn_right,0,12
12,0,0,constant_velocity,constant_velocity,0,13
12,0,0,constant_velocity,turn_left,0.0068334016107181031,13
12,0,0,constant_velocity,turn_right,0.0068334016107183945,13
12,0,0,turn_left,constant_velocity,0.0068334016107181031,13
12,0,0,turn_left,turn_left,0,13
12,0,0,turn_left,turn_right,0.013633479744650335,13
12,0,0,turn_right,constant_velocity,0.0068334016107183945,13
12,0,0,turn_right,turn_left,0.013633479744650335,13
12,0,0,turn_right,turn_right,0,13
13,0,0,constant_velocity,constant_velocity,0,14
13,0,0,constant_velocity,turn_left,0.0068334016107181031,14
13,0,0,constant_velocity,turn_right,0.0068334016107183858,14
13,0,0,turn_left,constant_velocity,0.0068334016107181031,14
13,0,0,turn_left,turn_left,0,14
13,0,0,turn_left,turn_right,0.013633479744650324,14
13,0,0,turn_right,constant_velocity,0.0068334016107183858,14
13,0,0,turn_right,turn_left,0.013633479744650324,14
13,0,0,turn_right,turn_right,0,14
14,0,0,constant_velocity,constant_velocity,0,15
14,0,0,constant_velocity,turn_left,0.0068334016107181031,15
14,0,0,constant_velocity,turn_right,0.0068334016107183962,15
14,0,0,turn_left,constant_velocity,0.0068334016107181031,15
14,0,0,turn_left,turn_left,0,15
14,0,0,turn_left,turn_right,0.013633479744650337,15
14,0,0,turn_right,constant_velocity,0.0068334016107183962,15
14,0,0,turn_right,turn_left,0.013633479744650337,15
14,0,0,turn_right,turn_right,0,15
15,0,0,constant_velocity,constant_velocity,0,16
15,0,0,constant_velocity,turn_left,0.0068334016107179374,16
15,0,0,constant_velocity,turn_right,0.0068334016107185879,16
15,0,0,turn_left,constant_velocity,0.0068334016107179374,16
15,0,0,turn_left,turn_left,0,16
15,0,0,turn_left,turn_right,0.013633479744650234,16
15,0,0,turn_right,constant_velocity,0.0068334016107185879,16
15,0,0,turn_right,turn_left,0.013633479744650234,16
15,0,0,turn_right,turn_right,0,16
16,0,0,constant_velocity,constant_velocity,0,17
16,0,0,constant_velocity,turn_left,0.0068334016107181031,17
16,0,0,constant_velocity,turn_right,0.006833401610718391,17
16,0,0,turn_left,constant_velocity,0.0068334016107181031,17
16,0,0,turn_left,turn_left,0,17
16,0,0,turn_left,turn_right,0.01363347974465033,17
16,0,0,turn_right,constant_velocity,0.006833401610718391,17
16,0,0,turn_right,turn_left,0.01363347974465033,17
16,0,0,turn_right,turn_right,0,17
17,0,0,constant_velocity,constant_velocity,0,18
17,0,0,constant_velocity,turn_left,0.0068334016107181031,18
17,0,0,constant_velocity,turn_right,0.0068334016107183945,18
17,0,0,turn_left,constant_velocity,0.0068334016107181031,18
17,0,0,turn_left,turn_left,0,18
17,0,0,turn_left,turn_right,0.013633479744650335,18
17,0,0,turn_right,constant_velocity,0.0068334016107183945,18
17,0,0,turn_right,turn_left,0.013633479744650335,18
17,0,0,turn_right,turn_right,0,18
18,0,0,constant_velocity,constant_velocity,0,19
18,0,0,constant_velocity,turn_left,0.0068334016107179357,19
18,0,0,constant_velocity,turn_right,0.0068334016107185862,19
18,0,0,turn_left,constant_velocity,0.0068334016107179357,19
18,0,0,turn_left,turn_left,0,19
18,0,0,turn_left,turn_right,0.013633479744650234,19
18,0,0,turn_right,constant_velocity,0.0068334016107185862,19
18,0,0,turn_right,turn_left,0.013633479744650234,19
18,0,0,turn_right,turn_right,0,19
