mode,count,p_hat,b,L,U
away,90,0.09036445332001997,0.0,0.06958756552600302,0.113917144089931
cut_in,10,0.010484273589615577,1.0,0.004025105770774712,0.02037248921162961
straight,900,0.8991512730903645,0.0,0.8750870368056473,0.9214982943772214
