step,attempt,success,dro_enabled,solve_ms,scenario_count,qp_calls
0,0,1,1,46.505932000000001,40,10
1,0,1,1,37.496715000000002,40,10
2,0,1,1,41.631656,40,10
3,0,1,1,43.613317000000002,40,10
4,0,1,1,46.340323000000005,40,10
5,0,1,1,55.153323,40,10
6,0,1,1,49.987991999999998,40,10
7,0,1,1,41.737153999999997,40,10
8,0,1,1,38.371392999999998,40,10
9,0,1,1,41.673645,40,10
10,0,1,1,42.256026000000006,40,10
11,0,1,1,42.574973,40,10
12,0,1,1,39.658943000000001,40,10
13,0,1,1,39.537185000000001,40,10
14,0,1,1,40.523070000000004,40,10
15,0,1,1,40.735619,40,10
16,0,1,1,46.369796999999998,40,10
17,0,1,1,42.217323,40,10
18,0,1,1,39.041527000000002,40,10
19,0,1,1,38.915761000000003,40,10
20,0,1,1,39.880928000000004,40,10
21,0,1,1,52.898952999999999,40,10
22,0,1,1,62.025058999999999,40,10
23,0,1,1,48.752088000000001,40,10
24,0,1,1,44.935041000000005,40,10
25,0,1,1,45.304352999999999,40,10
26,0,1,1,44.557444000000004,40,10
27,0,1,1,44.922829,40,10
28,0,1,1,36.791053999999995,40,10
29,0,1,1,37.588957000000001,40,10
30,0,1,1,37.557678999999993,40,10
31,0,1,1,38.376210999999998,40,10
32,0,1,1,38.006048999999997,40,10
33,0,1,1,39.556512000000005,40,10
34,0,1,1,40.184707000000003,40,10
35,0,1,1,35.982961000000003,40,10
36,0,1,1,35.352791000000003,40,10
37,0,1,1,36.517792,40,10
38,0,1,1,36.541576999999997,40,10
39,0,1,1,37.053936,40,10
40,0,1,1,34.235188000000001,40,10
41,0,1,1,35.309690999999994,40,10
42,0,1,1,35.756857000000004,40,10
43,0,1,1,33.463203,40,10
44,0,1,1,33.724421999999997,40,10
45,0,1,1,33.300888999999998,40,10
46,0,1,1,32.186021000000004,40,10
47,0,1,1,34.255445999999999,40,10
48,0,1,1,31.479549000000002,40,10
49,0,1,1,32.074582999999997,40,10
50,0,1,1,32.455224999999999,40,10
51,0,1,1,32.334710000000001,40,10
52,0,1,1,31.597889999999996,40,10
53,0,1,1,30.736927999999999,40,10
54,0,1,1,31.675145000000001,40,10
55,0,1,1,31.152025999999999,40,10
56,0,1,1,31.734667000000002,40,10
57,0,1,1,31.590266,40,10
58,0,1,1,34.391239999999996,40,10
59,0,1,1,40.628308000000004,40,10
