constraint_type,path_config,method,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
chance-z1.0,Tight-S-sp0.2,WDRO-sampling,0.231000,0.205936,0.258123,1.0314,0.2233,0.9576,0.948,1000
chance-z1.0,Tight-S-sp0.2,WDRO-inject-K1,0.190000,0.166889,0.215484,1.0373,0.2947,0.9579,0.947,1000
chance-z1.0,Tight-S-sp0.2,WDRO-inject-K2,0.197000,0.173528,0.222791,1.0322,0.2863,0.9577,0.950,1000
chance-z1.0,Tight-S-sp0.2,TopRisk-K1,0.198000,0.174477,0.223834,1.0348,0.2918,0.9576,0.953,1000
chance-z1.0,Tight-S-sp0.2,TopRisk-K2,0.191000,0.167837,0.216528,1.0492,0.2767,0.9580,0.948,1000
chance-z1.0,Tight-S-sp0.2,DiverseRisk-K1,0.194000,0.170681,0.219661,1.0295,0.2867,0.9578,0.950,1000
chance-z1.0,Tight-S-sp0.4,Base,0.994000,0.986972,0.997247,0.3100,0.0857,0.9567,0.794,1000
chance-z1.0,Tight-S-sp0.4,WDRO-sampling,0.218000,0.193514,0.244644,1.0221,0.3212,0.9578,0.953,1000
chance-z1.0,Tight-S-sp0.4,WDRO-inject-K1,0.192000,0.168784,0.217573,1.0303,0.3357,0.9579,0.951,1000
chance-z1.0,Tight-S-sp0.4,WDRO-inject-K2,0.218000,0.193514,0.244644,1.0111,0.2976,0.9578,0.956,1000
chance-z1.0,Tight-S-sp0.4,TopRisk-K1,0.181000,0.158372,0.206070,1.0400,0.3430,0.9579,0.950,1000
chance-z1.0,Tight-S-sp0.4,TopRisk-K2,0.195000,0.171630,0.220705,1.0233,0.3221,0.9581,0.956,1000
chance-z1.0,Tight-S-sp0.4,DiverseRisk-K1,0.203000,0.179228,0.229045,1.0242,0.3422,0.9580,0.953,1000
chance-z1.645,S-curve-sp0.2,Base,0.590000,0.559228,0.620083,0.8971,0.2067,0.9345,0.799,1000
chance-z1.645,S-curve-sp0.2,WDRO-sampling,0.175000,0.152705,0.199782,1.1206,0.3835,0.9559,0.914,1000
