mode,count,nominal_probability,wdro_probability,risk_score,rho,reference_safety_margin
away,90,0.090364453320019966,0.090364453320019966,0,0.04073867801552649,1.7332815729997468
cut_in,10,0.010484273589615577,0.029883644073199624,0.95000314398028707,0.04073867801552649,-0.94999999999999973
straight,900,0.89915127309036447,0.87975190260678038,0,0.04073867801552649,1.05
