budget_design,base_S,seed,method,attempt,success,dro_enabled,draws,cut_in_count,p_cut_in,q_cut_in,qp_calls,solve_ms
equal_per_attempt,8,77,nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,99.935435999999996
equal_per_attempt,8,77,nominal_nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,98.742998
equal_per_attempt,8,77,wdro,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,101.00609300000001
equal_per_attempt,8,77,wdro_nominal,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,101.669174
equal_per_attempt,20,77,nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,114.11700900000001
equal_per_attempt,20,77,nominal_nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,111.578219
equal_per_attempt,20,77,wdro,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,109.254566
equal_per_attempt,20,77,wdro_nominal,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,109.79853
equal_per_attempt,40,77,nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,120.199291
equal_per_attempt,40,77,nominal_nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,121.300684
equal_per_attempt,40,77,wdro,0,1,1,40,0,0.010484273589615577,0.029883644073199624,10,122.88084600000001
equal_per_attempt,40,77,wdro_nominal,0,1,1,40,0,0.010484273589615577,0.029883644073199624,10,125.229488
equal_max_draws,8,77,nominal,0,1,0,16,0,0.010484273589615577,0.010484273589615577,10,105.683001
equal_max_draws,8,77,nominal_nominal,0,1,0,8,0,0.010484273589615577,0.010484273589615577,10,107.89597500000001
equal_max_draws,8,77,wdro,0,1,1,16,0,0.010484273589615577,0.029883644073199624,10,122.04586
equal_max_draws,8,77,wdro_nominal,0,1,1,8,0,0.010484273589615577,0.029883644073199624,10,106.076804
equal_max_draws,20,77,nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,128.181366
equal_max_draws,20,77,nominal_nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,112.31365100000001
equal_max_draws,20,77,wdro,0,1,1,40,0,0.010484273589615577,0.029883644073199624,10,131.36831500000002
equal_max_draws,20,77,wdro_nominal,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,116.177955
equal_max_draws,40,77,nominal,0,1,0,80,0,0.010484273589615577,0.010484273589615577,10,179.96061899999998
equal_max_draws,40,77,nominal_nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,132.00315000000001
equal_max_draws,40,77,wdro,0,1,1,80,3,0.010484273589615577,0.029883644073199624,21,468.60640100000001
equal_max_draws,40,77,wdro_nominal,0,1,1,40,0,0.010484273589615577,0.029883644073199624,10,131.08219099999999
