mode,step,disc,distance,projected_mean,projected_variance,probability_upper,zero_distance,zero_variance
away,1,0,4.398104579037938,-3.4481045790379383,0.0,0.0,0,1
away,1,1,3.5441616140683587,-2.5941616140683585,0.0,0.0,0,1
away,1,2,2.7890570458699457,-1.8390570458699458,0.0,0.0,0,1
away,2,0,4.315553527319927,-3.3655535273199275,0.0,0.0,0,1
away,2,1,3.4761631077345396,-2.526163107734539,0.0,0.0,0,1
away,2,2,2.746528291495618,-1.796528291495618,0.0,0.0,0,1
away,3,0,4.231918657317924,-3.2819186573179238,0.0,0.0,0,1
away,3,1,3.4086607875781705,-2.4586607875781707,0.0,0.0,0,1
away,3,2,2.707175873006874,-1.7571758730068738,0.0,0.0,0,1
away,4,0,4.150208641322281,-3.2002086413222806,0.0,0.0,0,1
away,4,1,3.3445455851133685,-2.3945455851133683,0.0,0.0,0,1
away,4,2,2.6735254955389003,-1.7235254955388999,0.0,0.0,0,1
away,5,0,4.0715056640176135,-3.1215056640176133,0.0,0.0,0,1
away,5,1,3.284890915830489,-2.3348909158304894,0.0,0.0,0,1
away,5,2,2.6464803580763316,-1.6964803580763321,0.0,0.0,0,1
away,6,0,3.9961422729375573,-3.0461422729375576,0.0,0.0,0,1
away,6,1,3.2300711264798427,-2.280071126479843,0.0,0.0,0,1
away,6,2,2.6263217431759913,-1.6763217431759914,0.0,0.0,0,1
away,7,0,3.924216395337864,-2.974216395337864,0.0,0.0,0,1
away,7,1,3.1802428389407327,-2.2302428389407325,0.0,0.0,0,1
away,7,2,2.6131235546428186,-1.6631235546428182,0.0,0.0,0,1
away,8,0,3.8557928045920056,-2.9057928045920054,0.0,0.0,0,1
away,8,1,3.1355273592812383,-2.185527359281238,0.0,0.0,0,1
away,8,2,2.60689959332132,-1.65689959332132,0.0,0.0,0,1
away,9,0,3.790965782944015,-2.840965782944015,0.0,0.0,0,1
away,9,1,3.0960627031482546,-2.146062703148255,0.0,0.0,0,1
away,9,2,2.607640112476993,-1.6576401124769935,0.0,0.0,0,1
away,10,0,3.729866578624466,-2.779866578624466,0.0,0.0,0,1
away,10,1,3.062005138596788,-2.1120051385967873,0.0,0.0,0,1
away,10,2,2.615309970777171,-1.665309970777171,0.0,0.0,0,1
away,11,0,3.67265326593123,-2.72265326593123,0.0,0.0,0,1
away,11,1,3.0335157458059077,-2.083515745805908,0.0,0.0,0,1
away,11,2,2.629839072709472,-1.6798390727094723,0.0,0.0,0,1
away,12,0,3.6194988438087345,-2.669498843808735,0.0,0.0,0,1
away,12,1,3.0107463125888274,-2.0607463125888277,0.0,0.0,0,1
away,12,2,2.651115772123443,-1.7011157721234424,0.0,0.0,0,1
away,13,0,3.5705831147330995,-2.6205831147330994,0.0,0.0,0,1
away,13,1,2.9938294760607644,-2.0438294760607647,0.0,0.0,0,1
away,13,2,2.6789860179260776,-1.7289860179260772,0.0,0.0,0,1
away,14,0,3.5260906614988663,-2.576090661498866,0.0,0.0,0,1
away,14,1,2.982874206004209,-2.032874206004209,0.0,0.0,0,1
away,14,2,2.713256660285011,-1.763256660285011,0.0,0.0,0,1
away,15,0,3.4862160206140085,-2.5362160206140087,0.0,0.0,0,1
away,15,1,2.9779662124004904,-2.0279662124004902,0.0,0.0,0,1
away,15,2,2.753699944077436,-1.803699944077436,0.0,0.0,0,1
away,16,0,3.4511772852449263,-2.5011772852449266,0.0,0.0,0,1
