step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
0,38.433731999999999,1,0,0,8.9954704640218903,40,0,-1,-1,-1,-1,1,-1,-1,0,0
1,46.552241000000002,1,0,0,7.5795748842197028,40,1,-1,-1,-1,-1,1,-1,-1,0,0
2,41.495625000000004,1,0,0,0.24851784684255274,40,1,-1,-1,-1,-1,1,-1,-1,0,0
3,40.372672000000001,1,0,0,0.85673834009525129,40,1,-1,-1,-1,-1,1,-1,-1,0,0
4,38.618397999999999,1,0,0,0.063923645644530819,40,1,-1,-1,-1,-1,1,-1,-1,0,0
5,39.653076000000006,1,0,0,0.043215025152521083,40,1,-1,-1,-1,-1,1,-1,-1,0,0
6,39.794339000000001,1,0,0,0.0013225723189351491,40,1,-1,-1,-1,-1,1,-1,-1,0,0
7,41.857432000000003,1,0,0,0.025461622081515908,40,1,-1,-1,-1,-1,1,-1,-1,0,0
8,40.990769,1,0,0,0.018007981430583436,40,1,-1,-1,-1,-1,1,-1,-1,0,0
9,39.506931999999999,1,0,0,0.3974707068445652,40,1,-1,-1,-1,-1,1,-1,-1,0,0
10,39.103256000000002,1,0,0,0.45084800099854616,40,1,-1,-1,-1,-1,1,-1,-1,0,0
11,41.155417999999997,1,0,0,0.53369405091761712,40,1,-1,-1,-1,-1,1,-1,-1,0,0
12,44.787056,1,0,0,0.47939559245443591,40,1,-1,-1,-1,-1,1,-1,-1,0,0
13,40.781236999999997,1,0,0,0.11656361249080921,40,1,-1,-1,-1,-1,1,-1,-1,0,0
14,39.878287,1,0,0,0.011434370543297398,40,1,-1,-1,-1,-1,1,-1,-1,0,0
15,40.540296000000005,1,0,0,3.6585926630634003,40,1,-1,-1,-1,-1,1,-1,-1,0,0
