variant,tau,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
WDRO,0,WDRO-sampling,0.164000,0.142344,0.188228,0.278429,0.274550,0.282342,0.223673,0.218417,0.229018,1.0688,0.4243,0.9561,0.951,1000
Softmax,1.0,Softmax-tau1,0.149000,0.128274,0.172412,0.361201,0.357051,0.365371,0.306552,0.300736,0.312430,1.0942,0.4569,0.9560,0.958,1000
Softmax,3.0,Softmax-tau3,0.161000,0.139524,0.185070,0.366225,0.362069,0.370401,0.313106,0.307223,0.319049,1.0838,0.4308,0.9560,0.955,1000
Softmax,5.0,Softmax-tau5,0.163000,0.141404,0.187176,0.365329,0.361181,0.369497,0.307722,0.301867,0.313638,1.0809,0.4601,0.9561,0.966,1000
Softmax,10.0,Softmax-tau10,0.172000,0.149876,0.196634,0.371216,0.367055,0.375397,0.318234,0.312324,0.324203,1.0801,0.4506,0.9562,0.959,1000
Softmax,20.0,Softmax-tau20,0.191000,0.167837,0.216528,0.375556,0.371409,0.379722,0.319091,0.313199,0.325041,1.0925,0.3959,0.9561,0.955,1000
Base,0,Base,0.642000,0.611794,0.671119,0.362225,0.358162,0.366307,0.330115,0.324307,0.335975,0.7562,0.2739,0.9374,0.880,1000
