K,selector,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
1,WDRO,WDRO_K1,0.142000,0.121734,0.165006,0.238937,0.235221,0.242693,0.200374,0.195188,0.205664,1.0838,0.4961,0.9565,0.952,1000
1,TopRisk,TopRisk_K1,0.143000,0.122667,0.166065,0.230803,0.227154,0.234492,0.191379,0.186424,0.196434,1.0673,0.4286,0.9560,0.964,1000
2,WDRO,WDRO_K2,0.134000,0.114281,0.156521,0.235156,0.231462,0.238889,0.199795,0.194720,0.204968,1.0875,0.5077,0.9561,0.961,1000
2,TopRisk,TopRisk_K2,0.160000,0.138585,0.184017,0.237182,0.233489,0.240915,0.201441,0.196312,0.206669,1.0540,0.4233,0.9560,0.982,1000
3,WDRO,WDRO_K3,0.147000,0.126404,0.170298,0.234564,0.230873,0.238297,0.192582,0.187540,0.197726,1.0697,0.4668,0.9559,0.967,1000
3,TopRisk,TopRisk_K3,0.161000,0.139524,0.185070,0.229815,0.226183,0.233488,0.187284,0.182400,0.192268,1.0771,0.4490,0.9560,0.962,1000
4,WDRO,WDRO_K4,0.148000,0.127339,0.171356,0.235076,0.231384,0.238809,0.193726,0.188699,0.198854,1.0746,0.4883,0.9563,0.973,1000
4,TopRisk,TopRisk_K4,0.145000,0.124535,0.168183,0.233978,0.230303,0.237692,0.189651,0.184663,0.194741,1.0776,0.5161,0.9560,0.967,1000
