test,condition,method,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,mean_progress,mean_solve_ms,n_rollouts
A-risk-noise,rn=10-tight,WDRO-sampling,0.282000,0.254986,0.310683,0.9518,0.9577,1.023,1000
A-risk-noise,rn=10-tight,WDRO-inject-K1,0.252000,0.226074,0.279824,0.9777,0.9576,1.029,1000
A-risk-noise,rn=10-tight,WDRO-inject-K2,0.257000,0.230882,0.284978,0.9790,0.9575,1.029,1000
A-risk-noise,rn=10-tight,TopRisk-K1,0.265000,0.238583,0.293216,0.9735,0.9578,1.027,1000
A-risk-noise,rn=10-tight,TopRisk-K2,0.252000,0.226074,0.279824,0.9791,0.9577,1.026,1000
A-risk-noise,rn=10-tight,DiverseRisk-K1,0.228000,0.203066,0.255015,1.0069,0.9576,1.014,1000
A-risk-noise,rn=20-tight,Base,0.994000,0.986972,0.997247,0.3570,0.9564,0.807,1000
A-risk-noise,rn=20-tight,WDRO-sampling,0.295000,0.267562,0.324007,0.9402,0.9577,1.037,1000
A-risk-noise,rn=20-tight,WDRO-inject-K1,0.244000,0.218392,0.271567,0.9821,0.9577,1.036,1000
A-risk-noise,rn=20-tight,WDRO-inject-K2,0.270000,0.243402,0.298358,0.9666,0.9579,1.047,1000
A-risk-noise,rn=20-tight,TopRisk-K1,0.241000,0.215515,0.268467,0.9845,0.9577,1.034,1000
A-risk-noise,rn=20-tight,TopRisk-K2,0.253000,0.227035,0.280855,0.9673,0.9577,1.048,1000
A-risk-noise,rn=20-tight,DiverseRisk-K1,0.266000,0.239546,0.294245,0.9687,0.9578,1.032,1000
A-risk-noise,rn=50-tight,Base,0.992000,0.984293,0.995941,0.3667,0.9565,0.841,1000
A-risk-noise,rn=50-tight,WDRO-sampling,0.288000,0.260787,0.316836,0.9450,0.9574,1.089,1000
A-risk-noise,rn=50-tight,WDRO-inject-K1,0.246000,0.220312,0.273632,0.9783,0.9579,1.050,1000
A-risk-noise,rn=50-tight,WDRO-inject-K2,0.273000,0.246295,0.301442,0.9614,0.9576,1.068,1000
A-risk-noise,rn=50-tight,TopRisk-K1,0.247000,0.221272,0.274665,0.9641,0.9576,1.066,1000
A-risk-noise,rn=50-tight,TopRisk-K2,0.239000,0.213597,0.266400,0.9820,0.9579,1.061,1000
A-risk-noise,rn=50-tight,DiverseRisk-K1,0.240000,0.214556,0.267434,0.9937,0.9576,1.035,1000
B-state-noise,sn=0,Base,0.710000,0.681114,0.737278,0.7311,0.9297,0.828,1000
