step,time_s,obstacle_id,distance_m,combined_radius_m,margin_m
0,0.0,0,3.000645137356911,0.95,2.050645137356911
1,0.1,0,2.8485323646773395,0.95,1.8985323646773395
2,0.2,0,2.6676830978390416,0.95,1.7176830978390416
3,0.30000000000000004,0,2.473112301074908,0.95,1.5231123010749081
4,0.4,0,2.279277592056987,0.95,1.329277592056987
5,0.5,0,2.0857908123374136,0.95,1.1357908123374136
6,0.6000000000000001,0,1.8913781694088092,0.95,0.9413781694088093
7,0.7000000000000001,0,1.6965747795648904,0.95,0.7465747795648905
8,0.8,0,1.5013015189082881,0.95,0.5513015189082882
9,0.9,0,1.3088346154586323,0.95,0.3588346154586324
10,1.0,0,1.140254728694274,0.95,0.19025472869427396
11,1.1,0,1.0102746091938835,0.95,0.0602746091938835
12,1.2000000000000002,0,0.9554595255291255,0.95,0.005459525529125542
13,1.3,0,0.9563221837562293,0.95,0.006322183756229394
14,1.4000000000000001,0,0.9544894874841058,0.95,0.004489487484105825
15,1.5,0,0.9561829255727923,0.95,0.006182925572792319
16,1.6,0,0.9547404041029061,0.95,0.004740404102906104
17,1.7000000000000002,0,0.9543738750047519,0.95,0.004373875004751948
18,1.8,0,0.9549355342526611,0.95,0.0049355342526611334
19,1.9000000000000001,0,0.9794249380615573,0.95,0.029424938061557326
20,2.0,0,1.160684817833253,0.95,0.210684817833253
21,2.1,0,1.3209031871039625,0.95,0.37090318710396253
22,2.2,0,1.2055931568510265,0.95,0.25559315685102657
23,2.3000000000000003,0,1.1078933085256735,0.95,0.15789330852567351
24,2.4000000000000004,0,1.0423661666079338,0.95,0.09236616660793384
25,2.5,0,1.0055815771381207,0.95,0.05558157713812073
26,2.6,0,0.987012904030286,0.95,0.03701290403028601
27,2.7,0,0.9854613210109823,0.95,0.035461321010982316
28,2.8000000000000003,0,1.0014744652706742,0.95,0.05147446527067423
29,2.9000000000000004,0,1.0373360016309492,0.95,0.08733600163094923
30,3.0,0,1.0925251035441133,0.95,0.1425251035441133
31,3.1,0,1.165858040283835,0.95,0.21585804028383504
32,3.2,0,1.25527491235471,0.95,0.30527491235471005
33,3.3000000000000003,0,1.358057926981213,0.95,0.408057926981213
34,3.4000000000000004,0,1.4713098914354408,0.95,0.5213098914354408
35,3.5,0,1.5921495626801643,0.95,0.6421495626801643
36,3.6,0,1.5372093823227162,0.95,0.5872093823227162
37,3.7,0,1.3409607113893849,0.95,0.39096071138938493
38,3.8000000000000003,0,1.2020076170051488,0.95,0.25200761700514884
39,3.9000000000000004,0,1.099550224828135,0.95,0.14955022482813507
40,4.0,0,1.0241540432021083,0.95,0.07415404320210839
41,4.1000000000000005,0,1.0062284427236012,0.95,0.05622844272360128
42,4.2,0,1.0344665754262221,0.95,0.08446657542622216
43,4.3,0,1.121945895034845,0.95,0.17194589503484514
44,4.4,0,1.2490003326083199,0.95,0.29900033260831993
45,4.5,0,1.407572285260096,0.95,0.4575722852600961
46,4.6000000000000005,0,1.5790989285489954,0.95,0.6290989285489954
47,4.7,0,1.7624777066027804,0.95,0.8124777066027804
48,4.800000000000001,0,1.951947191187491,0.95,1.001947191187491
49,4.9,0,2.145582849744805,0.95,1.1955828497448049
50,5.0,0,2.3416814783477258,0.95,1.3916814783477258
51,5.1000000000000005,0,2.539396500171866,0.95,1.5893965001718662
52,5.2,0,2.7383019834166595,0.95,1.7883019834166596
53,5.300000000000001,0,2.9380439597787875,0.95,1.9880439597787876
54,5.4,0,3.1383935786380848,0.95,2.1883935786380846
55,5.5,0,3.3392082127793707,0.95,2.389208212779371
56,5.6000000000000005,0,3.5403978379897194,0.95,2.5903978379897197
57,5.7,0,3.7416865051341204,0.95,2.7916865051341206
58,5.800000000000001,0,3.943029614146183,0.95,2.9930296141461827
59,5.9,0,4.14418574622349,0.95,3.19418574622349
60,6.0,0,4.345562928765809,0.95,3.395562928765809
