step,obstacle_id,class_id,true_mode,sampled_modes,represented,scenario_count
84,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
85,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
86,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
87,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
88,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
89,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
90,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
91,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
92,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
93,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
94,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
95,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
96,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
97,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
98,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
99,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
100,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
101,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
102,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
103,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
104,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
105,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
106,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
107,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
108,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
109,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
110,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
111,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
112,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
113,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
114,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
115,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
116,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
117,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
118,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
119,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
120,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
121,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
122,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
123,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
124,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
125,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
126,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
127,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
128,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
129,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
130,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
131,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
132,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
133,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
134,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
135,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
136,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
137,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
138,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
139,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
140,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
141,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
142,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
143,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
144,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
145,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
146,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
147,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
