path,switch_prob,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
Tight-S,0.02,Base,0.950000,0.927231,0.965906,0.645865,0.638644,0.653020,0.854172,0.847670,0.860442,0.4860,0.1096,0.9568,1.018,500
Tight-S,0.02,WDRO-sampling,0.310000,0.271038,0.351859,0.039851,0.037289,0.042582,0.038585,0.035644,0.041758,0.9465,0.0831,0.9578,1.177,500
Tight-S,0.02,WDRO-inject-K1,0.264000,0.227267,0.304332,0.000000,0.000000,0.000187,0.000000,0.000000,0.000255,0.9913,0.1319,0.9580,1.154,500
Tight-S,0.02,WDRO-inject-K2,0.252000,0.215933,0.291849,0.000000,0.000000,0.000187,0.000000,0.000000,0.000257,1.0088,0.1252,0.9579,1.116,500
Tight-S,0.02,TopRisk-K1,0.262000,0.225376,0.302254,0.000000,0.000000,0.000185,0.000000,0.000000,0.000256,0.9913,0.0979,0.9582,1.138,500
Tight-S,0.02,TopRisk-K2,0.272000,0.234843,0.312633,0.000000,0.000000,0.000187,0.000000,0.000000,0.000258,0.9753,0.1220,0.9580,1.160,500
Tight-S,0.05,Base,0.968000,0.948655,0.980209,0.679400,0.672342,0.686376,0.830090,0.822972,0.836978,0.4611,0.1156,0.9566,0.966,500
Tight-S,0.05,WDRO-sampling,0.244000,0.208398,0.283506,0.043242,0.040570,0.046081,0.043600,0.040249,0.047217,1.0196,0.1246,0.9575,1.182,500
Tight-S,0.05,WDRO-inject-K1,0.238000,0.202758,0.277237,0.000000,0.000000,0.000186,0.000000,0.000000,0.000289,1.0316,0.1966,0.9577,1.247,500
Tight-S,0.05,WDRO-inject-K2,0.222000,0.187769,0.260471,0.000000,0.000000,0.000187,0.000000,0.000000,0.000291,1.0273,0.1550,0.9583,1.206,500
Tight-S,0.05,TopRisk-K1,0.236000,0.200881,0.275145,0.000000,0.000000,0.000186,0.000000,0.000000,0.000291,1.0085,0.1582,0.9579,1.245,500
Tight-S,0.05,TopRisk-K2,0.234000,0.199004,0.273052,0.000000,0.000000,0.000188,0.000000,0.000000,0.000295,1.0154,0.1592,0.9575,1.137,500
Tight-S,0.10,Base,0.956000,0.934280,0.970766,0.709395,0.702522,0.716172,0.863687,0.856467,0.870598,0.4384,0.1024,0.9567,0.965,500
Tight-S,0.10,WDRO-sampling,0.310000,0.271038,0.351859,0.045908,0.043181,0.048798,0.040652,0.037250,0.044350,0.9371,0.1001,0.9582,1.112,500
Tight-S,0.10,WDRO-inject-K1,0.234000,0.199004,0.273052,0.000000,0.000000,0.000184,0.000000,0.000000,0.000326,0.9925,0.1663,0.9576,1.192,500
Tight-S,0.10,WDRO-inject-K2,0.236000,0.200881,0.275145,0.000000,0.000000,0.000184,0.000000,0.000000,0.000325,1.0085,0.2000,0.9578,1.133,500
Tight-S,0.10,TopRisk-K1,0.256000,0.219707,0.296014,0.000000,0.000000,0.000184,0.000000,0.000000,0.000326,0.9840,0.1607,0.9582,1.066,500
Tight-S,0.10,TopRisk-K2,0.234000,0.199004,0.273052,0.000000,0.000000,0.000183,0.000000,0.000000,0.000324,1.0121,0.1497,0.9580,1.224,500
Tight-S,0.20,Base,0.984000,0.968749,0.991871,0.710672,0.703840,0.717410,0.817857,0.808996,0.826395,0.3914,0.0890,0.9560,0.906,500
Tight-S,0.20,WDRO-sampling,0.268000,0.231053,0.308484,0.060383,0.057261,0.063663,0.049598,0.045427,0.054130,0.9740,0.2473,0.9576,1.138,500
Tight-S,0.20,WDRO-inject-K1,0.252000,0.215933,0.291849,0.000000,0.000000,0.000181,0.000000,0.000000,0.000392,0.9745,0.1986,0.9577,1.230,500
Tight-S,0.20,WDRO-inject-K2,0.252000,0.215933,0.291849,0.000000,0.000000,0.000182,0.000000,0.000000,0.000396,0.9733,0.2306,0.9578,1.174,500
Tight-S,0.20,TopRisk-K1,0.266000,0.229160,0.306409,0.000000,0.000000,0.000179,0.000000,0.000000,0.000383,0.9739,0.2342,0.9580,1.150,500
Tight-S,0.20,TopRisk-K2,0.248000,0.212164,0.287679,0.000000,0.000000,0.000182,0.000000,0.000000,0.000394,0.9896,0.1948,0.9581,1.185,500
Tight-S,0.35,Base,0.988000,0.974069,0.994489,0.698802,0.691865,0.705648,0.802041,0.792075,0.811643,0.3505,0.0874,0.9568,0.891,500
Tight-S,0.35,WDRO-sampling,0.284000,0.246237,0.325057,0.070139,0.066831,0.073599,0.053709,0.049023,0.058816,0.9523,0.2491,0.9579,1.212,500
Tight-S,0.35,WDRO-inject-K1,0.262000,0.225376,0.302254,0.000000,0.000000,0.000179,0.000000,0.000000,0.000470,0.9630,0.2679,0.9576,1.164,500
Tight-S,0.35,WDRO-inject-K2,0.222000,0.187769,0.260471,0.000000,0.000000,0.000180,0.000000,0.000000,0.000474,0.9955,0.3179,0.9577,1.179,500
Tight-S,0.35,TopRisk-K1,0.260000,0.223485,0.300175,0.000000,0.000000,0.000180,0.000000,0.000000,0.000471,0.9594,0.2512,0.9580,1.172,500
Tight-S,0.35,TopRisk-K2,0.258000,0.221596,0.298095,0.000000,0.000000,0.000180,0.000000,0.000000,0.000474,0.9652,0.2697,0.9579,1.134,500
Tight-S,0.50,Base,0.992000,0.979613,0.996885,0.700153,0.693227,0.706988,0.796528,0.785935,0.806725,0.3247,0.0839,0.9566,0.955,500
Tight-S,0.50,WDRO-sampling,0.322000,0.282535,0.364179,0.074809,0.071393,0.078374,0.052816,0.047949,0.058147,0.9300,0.2811,0.9577,1.056,500
Tight-S,0.50,WDRO-inject-K1,0.270000,0.232948,0.310559,0.000000,0.000000,0.000178,0.000000,0.000000,0.000521,0.9602,0.3586,0.9579,1.001,500
Tight-S,0.50,WDRO-inject-K2,0.262000,0.225376,0.302254,0.000000,0.000000,0.000178,0.000000,0.000000,0.000519,0.9708,0.3265,0.9578,1.004,500
Tight-S,0.50,TopRisk-K1,0.260000,0.223485,0.300175,0.000000,0.000000,0.000178,0.000000,0.000000,0.000527,0.9615,0.2973,0.9577,0.996,500
Tight-S,0.50,TopRisk-K2,0.270000,0.232948,0.310559,0.000000,0.000000,0.000179,0.000000,0.000000,0.000525,0.9606,0.3146,0.9578,1.011,500
