step,time_s,obstacle_id,distance_m,combined_radius_m,margin_m
0,0.0,0,3.004243437674286,0.95,2.0542434376742857
1,0.1,0,2.871491060851775,0.95,1.921491060851775
2,0.2,0,2.7270182246746506,0.95,1.7770182246746506
3,0.30000000000000004,0,2.5814014840065567,0.95,1.6314014840065567
4,0.4,0,2.4389879292342105,0.95,1.4889879292342105
5,0.5,0,2.2999302355476314,0.95,1.3499302355476315
6,0.6000000000000001,0,2.161350907583343,0.95,1.2113509075833429
7,0.7000000000000001,0,2.0289513532589654,0.95,1.0789513532589654
8,0.8,0,1.9014109030690776,0.95,0.9514109030690776
9,0.9,0,1.7804831723001475,0.95,0.8304831723001476
10,1.0,0,1.647254324066172,0.95,0.6972543240661719
11,1.1,0,1.5041929491226178,0.95,0.5541929491226179
12,1.2000000000000002,0,1.3678719566891377,0.95,0.4178719566891378
13,1.3,0,1.2374815367192256,0.95,0.2874815367192256
14,1.4000000000000001,0,1.1342806134034176,0.95,0.18428061340341761
15,1.5,0,1.0357224375217597,0.95,0.08572243752175979
16,1.6,0,0.9734493460296165,0.95,0.02344934602961657
17,1.7000000000000002,0,0.9547088139032628,0.95,0.004708813903262832
18,1.8,0,0.9647591881734037,0.95,0.014759188173403714
19,1.9000000000000001,0,0.9544298910010807,0.95,0.00442989100108071
20,2.0,0,0.9537107127846816,0.95,0.0037107127846816024
21,2.1,0,0.9596476513955149,0.95,0.009647651395514933
22,2.2,0,0.9546395916272257,0.95,0.004639591627225714
23,2.3000000000000003,0,0.9533618258953602,0.95,0.003361825895360271
24,2.4000000000000004,0,0.9554924406349916,0.95,0.005492440634991658
25,2.5,0,0.9553468480486774,0.95,0.005346848048677466
26,2.6,0,0.9557629448085204,0.95,0.005762944808520465
27,2.7,0,0.9554505590623369,0.95,0.005450559062336935
28,2.8000000000000003,0,0.9560911410398297,0.95,0.006091141039829773
29,2.9000000000000004,0,1.0228793695712282,0.95,0.0728793695712282
30,3.0,0,1.172504249512997,0.95,0.22250424951299697
31,3.1,0,1.363451755933,0.95,0.413451755933
32,3.2,0,1.2737180834156596,0.95,0.32371808341565966
33,3.3000000000000003,0,1.1968257168076326,0.95,0.24682571680763266
34,3.4000000000000004,0,1.1265749452450102,0.95,0.17657494524501027
35,3.5,0,1.0702421632992696,0.95,0.12024216329926962
36,3.6,0,1.034814790649902,0.95,0.08481479064990194
37,3.7,0,1.0139702153891825,0.95,0.06397021538918257
38,3.8000000000000003,0,1.00342073399306,0.95,0.05342073399306013
39,3.9000000000000004,0,1.000947743509033,0.95,0.05094774350903308
40,4.0,0,1.0072563617028178,0.95,0.05725636170281789
41,4.1000000000000005,0,1.0236524598920134,0.95,0.07365245989201341
42,4.2,0,1.0500877323080153,0.95,0.10008773230801538
43,4.3,0,1.0842472687178346,0.95,0.13424726871783466
44,4.4,0,1.125002639474379,0.95,0.1750026394743791
45,4.5,0,1.1850250448219326,0.95,0.23502504482193265
46,4.6000000000000005,0,1.2708488809579395,0.95,0.3208488809579395
47,4.7,0,1.3586153606626545,0.95,0.4086153606626546
48,4.800000000000001,0,1.1376815362954005,0.95,0.18768153629540052
49,4.9,0,0.9569134746490153,0.95,0.006913474649015372
50,5.0,0,0.9829626606132076,0.95,0.03296266061320763
51,5.1000000000000005,0,0.9782461115984449,0.95,0.028246111598444923
52,5.2,0,0.9965720070209519,0.95,0.04657200702095199
53,5.300000000000001,0,0.9954654612692763,0.95,0.04546546126927631
54,5.4,0,0.9718798821118518,0.95,0.021879882111851878
55,5.5,0,0.9551591913881691,0.95,0.005159191388169115
56,5.6000000000000005,0,0.9553221269253692,0.95,0.005322126925369264
57,5.7,0,0.9634942719503323,0.95,0.01349427195033237
58,5.800000000000001,0,1.0189519806318612,0.95,0.06895198063186125
59,5.9,0,1.11440350161441,0.95,0.16440350161441009
60,6.0,0,1.2267839339563351,0.95,0.27678393395633516
61,6.1000000000000005,0,1.3582418321718974,0.95,0.40824183217189747
62,6.2,0,1.4904261976831006,0.95,0.5404261976831006
63,6.300000000000001,0,1.6270215038784726,0.95,0.6770215038784726
64,6.4,0,1.767998032363877,0.95,0.8179980323638771
65,6.5,0,1.911738426007323,0.95,0.961738426007323
66,6.6000000000000005,0,2.0540359825992676,0.95,1.1040359825992676
67,6.7,0,2.2018999538073327,0.95,1.2518999538073328
68,6.800000000000001,0,2.3473111257241204,0.95,1.3973111257241204
69,6.9,0,2.4949268440057657,0.95,1.5449268440057657
70,7.0,0,2.642435138565649,0.95,1.692435138565649
71,7.1000000000000005,0,2.790215822376708,0.95,1.840215822376708
72,7.2,0,2.9382516301315706,0.95,1.9882516301315707
73,7.300000000000001,0,3.086450434395758,0.95,2.1364504343957584
74,7.4,0,3.2344615268662666,0.95,2.2844615268662665
75,7.5,0,3.382589946270883,0.95,2.432589946270883
76,7.6000000000000005,0,3.53052753795478,0.95,2.5805275379547803
77,7.7,0,3.678551670362255,0.95,2.728551670362255
78,7.800000000000001,0,3.826930770978874,0.95,2.8769307709788743
79,7.9,0,3.97508824167619,0.95,3.0250882416761904
80,8.0,0,4.12357696285093,0.95,3.1735769628509294
81,8.1,0,4.271834086591786,0.95,3.321834086591786
82,8.200000000000001,0,4.420133079750414,0.95,3.470133079750414
