num_modes,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
9,TopRisk-K1,0.081000,0.065649,0.099558,0.551638,0.547322,0.555946,1.000000,0.999817,1.000000,1.0829,0.7212,0.9578,0.944,1000
9,TopRisk-K2,0.073000,0.058459,0.090809,0.550095,0.545758,0.554424,1.000000,0.999816,1.000000,1.0848,0.7441,0.9577,0.943,1000
9,TopRisk-K3,0.071000,0.056669,0.088614,0.551568,0.547239,0.555889,1.000000,0.999816,1.000000,1.0934,0.7922,0.9578,0.941,1000
10,Base,0.471000,0.440232,0.501990,0.877637,0.874815,0.880405,1.000000,0.999818,1.000000,0.8480,0.3027,0.9395,0.810,1000
10,WDRO-sampling,0.067000,0.053102,0.084212,0.603050,0.598788,0.607295,1.000000,0.999812,1.000000,1.1295,0.7868,0.9578,0.941,1000
10,WDRO-inject-K1,0.063000,0.049549,0.079795,0.591221,0.586924,0.595504,1.000000,0.999811,1.000000,1.0975,0.7910,0.9578,0.942,1000
10,WDRO-inject-K2,0.078000,0.062947,0.096283,0.591282,0.586997,0.595553,1.000000,0.999813,1.000000,1.0951,0.7574,0.9577,0.943,1000
10,WDRO-inject-K3,0.058000,0.045133,0.074250,0.590875,0.586561,0.595175,1.000000,0.999809,1.000000,1.1029,0.8344,0.9579,0.947,1000
10,TopRisk-K1,0.084000,0.068359,0.102825,0.577665,0.573377,0.581942,1.000000,0.999809,1.000000,1.0932,0.7309,0.9575,0.940,1000
10,TopRisk-K2,0.077000,0.062048,0.095190,0.577119,0.572820,0.581406,1.000000,0.999808,1.000000,1.0811,0.7415,0.9575,0.944,1000
10,TopRisk-K3,0.072000,0.057564,0.089712,0.576467,0.572158,0.580765,1.000000,0.999807,1.000000,1.0987,0.7843,0.9576,0.943,1000
