step,obstacle_id,class_id,true_mode,sampled_modes,represented,scenario_count
106,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
107,0,0,turn_left,constant_velocity;turn_left;turn_right,1,20
108,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
109,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
110,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
111,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
112,0,0,turn_left,constant_velocity;turn_left;turn_right,1,20
113,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
114,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
115,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
116,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
117,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
118,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
119,0,0,turn_left,constant_velocity;turn_left;turn_right,1,20
120,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
121,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
122,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
123,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
124,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
125,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
126,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
127,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
128,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
129,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
130,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
131,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
132,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
133,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
134,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
135,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
136,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
137,0,0,turn_left,constant_velocity;turn_left;turn_right,1,20
138,0,0,turn_left,constant_velocity;turn_left;turn_right,1,20
139,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
140,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
141,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
142,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
143,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
144,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
145,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
146,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
147,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,20
148,0,0,turn_left,constant_velocity;turn_left;turn_right,1,20
149,0,0,turn_right,constant_velocity;turn_left;turn_right,1,20
