step,time_s,actor,obstacle_id,mode,x,y,theta,v,vx,vy,path_progress,minimum_clearance,ambiguity_radius,solve_time_ms,collision
0,0,ego,-1,,0,0,0,1.5,,,0,2.0542434376742857,0,0,0
0,0,obstacle,0,constant_velocity,5,0.15962027693564573,,,0.26866578771266175,0,0,2.0542434376742857,0,0,0
1,0.10000000000000001,ego,-1,,0.15967042802477746,0.0001039261408475601,0.0012759976239769028,1.6934094533063042,,,0.15967042802477746,1.921491060851775,0,143.082066,0
1,0.10000000000000001,obstacle,0,constant_velocity,5.0268665787712665,0.15962027693564573,,,0.26866578771266175,0,0.15967042802477746,1.921491060851775,0,143.082066,0
2,0.20000000000000001,ego,-1,,0.33032998228197508,0.00098331595322798983,0.0090097313288659761,1.719835451522278,,,0.33032998228197508,1.7771120904591975,0,127.455507,0
2,0.20000000000000001,obstacle,0,constant_velocity,5.053733157542533,0.15962027693564573,,,0.26866578771266175,0,0.33032998228197508,1.7771120904591975,0,127.455507,0
3,0.30000000000000004,ego,-1,,0.50197157277832782,0.0030274696100402766,0.014811717290032857,1.7132446121602773,,,0.50197157277832782,1.6319197930324061,0,275.27739400000002,0
3,0.30000000000000004,obstacle,0,turn_right,5.0805876472600717,0.15881440046667186,,,0.26854489717538937,-0.008058764689738802,0.50197157277832782,1.6319197930324061,0,275.27739400000002,0
4,0.40000000000000002,ego,-1,,0.67206038281108238,0.0056487757995171122,0.016011494458486722,1.6889357484671863,,,0.67206038281108238,1.488533279376355,0,130.34464500000001,0
4,0.40000000000000002,obstacle,0,turn_right,5.1074058806957616,0.15720337276315113,,,0.26818233435689592,-0.016110277035207135,0.67206038281108238,1.488533279376355,0,130.34464500000001,0
5,0.5,ego,-1,,0.84029204400313517,0.013453375325420989,0.076760693184180773,1.6798342100120283,,,0.84029204400313517,1.3497924830294232,0,208.244663,0
5,0.5,obstacle,0,turn_right,5.134163723249686,0.15478864364127565,,,0.26757842553924577,-0.024147291218754863,0.84029204400313517,1.3497924830294232,0,208.244663,0
6,0.60000000000000009,ego,-1,,1.0075177891925648,0.027822348863357313,0.094674398696130271,1.6770494998508589,,,1.0075177891925648,1.2133225134007402,0,138.85158799999999,0
6,0.60000000000000009,obstacle,0,constant_velocity,5.1609215658036103,0.15237391451940016,,,0.26757842553924577,-0.024147291218754863,1.0075177891925648,1.2133225134007402,0,138.85158799999999,0
7,0.70000000000000007,ego,-1,,1.1747083327186201,0.046067111465491195,0.12268967730415575,1.6867221492880566,,,1.1747083327186201,1.0828965133392716,0,244.73146600000001,0
7,0.70000000000000007,obstacle,0,turn_left,5.1877397992393002,0.15076288681587946,,,0.26818233435689592,-0.016110277035207135,1.1747083327186201,1.0828965133392716,0,244.73146600000001,0
8,0.80000000000000004,ego,-1,,1.3410239993582489,0.068639027397874058,0.14713678243286321,1.6701689964495814,,,1.3410239993582489,0.95707279587450644,0,121.3937,0
8,0.80000000000000004,obstacle,0,turn_right,5.2144976417932245,0.14834815769400397,,,0.26757842553924577,-0.024147291218754863,1.3410239993582489,0.95707279587450644,0,121.3937,0
9,0.90000000000000002,ego,-1,,1.503951273450963,0.094401987069090282,0.1665984121478773,1.6289148460379714,,,1.503951273450963,0.83712896594798147,0,121.56505300000001,0
9,0.90000000000000002,obstacle,0,turn_right,5.2411710132131857,0.14513190024699407,,,0.26673371419961217,-0.032162574470098973,1.503951273450963,0.83712896594798147,0,121.56505300000001,0
10,1,ego,-1,,1.6604705731735692,0.12034586043660363,0.16188286436227661,1.544185995933576,,,1.6604705731735692,0.71098381100328423,0,281.61909600000001,0
10,1,obstacle,0,constant_velocity,5.2678443846331469,0.14191564279998417,,,0.26673371419961217,-0.032162574470098973,1.6604705731735692,0.71098381100328423,0,281.61909600000001,0
11,1.1000000000000001,ego,-1,,1.813254941779578,0.14256245689779193,0.12691441007687693,1.54379519000332,,,1.813254941779578,0.56919344676366257,0,116.90349000000001,0
11,1.1000000000000001,obstacle,0,turn_left,5.2946022271870721,0.13950091367810868,,,0.26757842553924577,-0.024147291218754863,1.813254941779578,0.56919344676366257,0,116.90349000000001,0
12,1.2000000000000002,ego,-1,,1.9657057978552253,0.16027879034908532,0.10442404454691434,1.525805753441738,,,1.9657057978552253,0.43609653537205495,0,119.298968,0
12,1.2000000000000002,obstacle,0,turn_right,5.3212755986070333,0.13628465623109878,,,0.26673371419961217,-0.032162574470098973,1.9657057978552253,0.43609653537205495,0,119.298968,0
13,1.3,ego,-1,,2.0929663795899502,0.16882285046727144,0.024426070776847178,1.0258073676936013,,,2.0929663795899502,0.30842622562208577,0,274.95942299999996,0
13,1.3,obstacle,0,constant_velocity,5.3479489700269944,0.13306839878408888,,,0.26673371419961217,-0.032162574470098973,2.0929663795899502,0.30842622562208577,0,274.95942299999996,0
14,1.4000000000000001,ego,-1,,2.1705313063663629,0.16794837421915004,-0.055560980982997749,0.52598907610198264,,,2.1705313063663629,0.2595135067143175,0,134.015716,0
14,1.4000000000000001,obstacle,0,turn_left,5.3747068125809196,0.1306536696622134,,,0.26757842553924577,-0.024147291218754863,2.1705313063663629,0.2595135067143175,0,134.015716,0
15,1.5,ego,-1,,2.2015987000046118,0.16527636749088415,-0.13397204032765303,0.097787353494068585,,,2.2015987000046118,0.28910510363055919,0,252.41218799999999,0
15,1.5,obstacle,0,turn_right,5.4013801840008808,0.12743741221520349,,,0.26673371419961217,-0.032162574470098973,2.2015987000046118,0.28910510363055919,0,252.41218799999999,0
16,1.6000000000000001,ego,-1,,2.2253481914658217,0.16090787447339222,-0.21397203499599732,0.38528465846221094,,,2.2253481914658217,0.35754246135580092,0,262.454589,0
16,1.6000000000000001,obstacle,0,turn_left,5.428138026554806,0.12502268309332801,,,0.26757842553924577,-0.024147291218754863,2.2253481914658217,0.35754246135580092,0,262.454589,0
17,1.7000000000000002,ego,-1,,2.2780881630337539,0.15184181489136497,-0.13397455210976411,0.68526392281471593,,,2.2780881630337539,0.26794933294377099,0,120.704325,0
17,1.7000000000000002,obstacle,0,turn_right,5.4548113979747672,0.12180642564631812,,,0.26673371419961217,-0.032162574470098973,2.2780881630337539,0.26794933294377099,0,120.704325,0
18,1.8,ego,-1,,2.3612311372701962,0.14420537840544803,-0.05399053846912133,0.9850350699113174,,,2.3612311372701962,0.17618010769969672,0,134.91120100000001,0
18,1.8,obstacle,0,constant_velocity,5.4814847693947284,0.11859016819930822,,,0.26673371419961217,-0.032162574470098973,2.3612311372701962,0.17618010769969672,0,134.91120100000001,0
19,1.9000000000000001,ego,-1,,2.4344219785754095,0.13764052902650384,-0.13399039083998643,0.48503515198852526,,,2.4344219785754095,0.16851801611899631,0,299.16887800000001,0
19,1.9000000000000001,obstacle,0,turn_right,5.5080496654468467,0.11457527684177536,,,0.26564896052118453,-0.04014891357532864,2.4344219785754095,0.16851801611899631,0,299.16887800000001,0
20,2,ego,-1,,2.4583984431061428,0.13375391727836261,-0.21398832188353678,0.00084019491544967684,,,2.4583984431061428,0.24152435619039148,0,127.46095399999999,0
20,2,obstacle,0,constant_velocity,5.534614561498965,0.11056038548424249,,,0.26564896052118453,-0.04014891357532864,2.4583984431061428,0.24152435619039148,0,127.46095399999999,0
21,2.1000000000000001,ego,-1,,2.4594490159056885,0.13346735217652014,-0.29398779188809854,0.020943062462526474,,,2.4594490159056885,0.36025886876301261,0,128.97842200000002,0
21,2.1000000000000001,obstacle,0,turn_left,5.5612879329189262,0.1073441280372326,,,0.26673371419961217,-0.032162574470098973,2.4594490159056885,0.36025886876301261,0,128.97842200000002,0
22,2.2000000000000002,ego,-1,,2.4711213859110188,0.12950598452410916,-0.34598874093344445,0.22560351016938199,,,2.4711213859110188,0.44771742358226629,0,245.98366299999998,0
22,2.2000000000000002,obstacle,0,turn_left,5.5880457754728514,0.10492939891535712,,,0.26757842553924577,-0.024147291218754863,2.4711213859110188,0.44771742358226629,0,245.98366299999998,0
23,2.3000000000000003,ego,-1,,2.4996445723094505,0.12059767343129907,-0.26598880402955571,0.37219142936010952,,,2.4996445723094505,0.33998279721581026,0,118.4259,0
23,2.3000000000000003,obstacle,0,turn_left,5.6148640089085413,0.1033183712118364,,,0.26818233435689592,-0.016110277035207135,2.4996445723094505,0.33998279721581026,0,118.4259,0
24,2.4000000000000004,ego,-1,,2.5482717364891148,0.10959050546939282,-0.18598999467739574,0.62521649954679082,,,2.5482717364891148,0.23425516159663085,0,244.53033399999998,0
24,2.4000000000000004,obstacle,0,turn_right,5.6416218514624656,0.10090364208996092,,,0.26757842553924577,-0.024147291218754863,2.5482717364891148,0.23425516159663085,0,244.53033399999998,0
