step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
53,110.516784,1,1,0,0.4156498235180926,20,1,0,-1,-1,-1,1,-1,-1,0,0
54,113.94364299999999,1,1,0,0.30905993267704057,20,1,0,-1,-1,-1,1,-1,-1,0,0
55,184.63582300000002,1,1,0,0.11022848325791633,20,1,1,-1,0,1,1,-1,-1,0,0
56,110.898588,1,1,0,0.025985111627756095,20,1,0,-1,-1,-1,1,-1,-1,0,0
57,107.392848,1,1,0,0.0085506903522229345,20,1,0,-1,-1,-1,1,-1,-1,0,0
58,107.171447,1,1,0,0.05027166333177456,20,1,0,-1,-1,-1,1,-1,-1,0,0
59,102.12971,1,1,0,0.13808011582574137,20,1,0,-1,-1,-1,1,-1,-1,0,0
60,106.12806900000001,1,1,0,0.27552401101480212,20,1,0,-1,-1,-1,1,-1,-1,0,0
61,100.63561799999999,1,1,0,0.12156548388771597,20,1,0,-1,-1,-1,1,-1,-1,0,0
62,104.672169,1,1,0,0.046666636670819585,20,1,0,-1,-1,-1,1,-1,-1,0,0
63,109.59472100000001,1,1,0,0.020764225518929248,20,1,0,-1,-1,-1,1,-1,-1,0,0
64,98.666324000000003,1,1,0,0.0031202536361013811,20,1,0,-1,-1,-1,1,-1,-1,0,0
65,108.580018,1,1,0,0.0016990713377633949,20,1,0,-1,-1,-1,1,-1,-1,0,0
66,101.546654,1,1,0,0.0072523992309185261,20,1,0,-1,-1,-1,1,-1,-1,0,0
67,102.123572,1,1,0,0.0013426278899457695,20,1,0,-1,-1,-1,1,-1,-1,0,0
68,102.398691,1,1,0,0.00068919949671417732,20,1,0,-1,-1,-1,1,-1,-1,0,0
69,103.141909,1,1,0,0.00066897172153246916,20,1,0,-1,-1,-1,1,-1,-1,0,0
70,101.032844,1,1,0,0.00032862715309861387,20,1,0,-1,-1,-1,1,-1,-1,0,0
71,99.094770999999994,1,1,0,0.00020921158430377211,20,1,0,-1,-1,-1,1,-1,-1,0,0
72,99.178550000000001,1,1,0,0.00011477946299179019,20,1,0,-1,-1,-1,1,-1,-1,0,0
73,103.980238,1,1,0,7.3050474882877352e-05,20,1,0,-1,-1,-1,1,-1,-1,0,0
74,95.979106999999999,1,1,0,3.7865353614781639e-05,20,1,0,-1,-1,-1,1,-1,-1,0,0
75,96.964924999999994,1,1,0,2.459317146124548e-05,20,1,0,-1,-1,-1,1,-1,-1,0,0
76,97.579349999999991,1,1,0,1.5161330026403069e-05,20,1,0,-1,-1,-1,1,-1,-1,0,0
77,95.013795999999999,1,1,0,7.8160687191752877e-06,20,1,0,-1,-1,-1,1,-1,-1,0,0
78,92.664605999999992,1,1,0,5.0293593244845485e-06,20,1,0,-1,-1,-1,1,-1,-1,0,0
79,94.259387000000004,1,1,0,2.9433460458103559e-06,20,1,0,-1,-1,-1,1,-1,-1,0,0
80,100.540003,1,1,0,1.6977683426578683e-06,20,1,0,-1,-1,-1,1,-1,-1,0,0
81,91.785952000000009,1,1,0,1.0101106857380064e-06,20,1,0,-1,-1,-1,1,-1,-1,0,0
82,91.165966999999995,1,1,0,5.9606515800214842e-07,20,1,0,-1,-1,-1,1,-1,-1,0,0
83,91.824033999999997,1,1,0,3.5016000020765882e-07,20,1,0,-1,-1,-1,1,-1,-1,0,0
84,93.485551000000001,1,1,0,2.0640984103665523e-07,20,1,0,-1,-1,-1,1,-1,-1,0,0
85,93.096895000000004,1,1,0,1.2167981105614004e-07,20,1,0,-1,-1,-1,1,-1,-1,0,0
86,92.911593999999994,1,1,0,7.166814830752693e-08,20,1,0,-1,-1,-1,1,-1,-1,0,0
87,98.998913999999999,1,1,0,4.2208738839893671e-08,20,1,0,-1,-1,-1,1,-1,-1,0,0
88,90.43081699999999,1,1,0,2.4873516721230773e-08,20,1,0,-1,-1,-1,1,-1,-1,0,0
89,89.443909000000005,1,1,0,1.465667413343518e-08,20,1,0,-1,-1,-1,1,-1,-1,0,0
90,87.991629000000003,1,1,0,8.6318979081019641e-09,20,1,0,-1,-1,-1,1,-1,-1,0,0
91,91.769602000000006,1,1,0,5.0866977919809571e-09,20,1,0,-1,-1,-1,1,-1,-1,0,0
92,91.923102,1,1,0,2.9961361746351364e-09,20,1,0,-1,-1,-1,1,-1,-1,0,0
93,89.646701999999991,1,1,0,1.7655586114221481e-09,20,1,0,-1,-1,-1,1,-1,-1,0,0
94,88.399811,1,1,0,1.0401376323300494e-09,20,1,0,-1,-1,-1,1,-1,-1,0,0
95,89.604642999999996,1,1,0,6.1257660421658297e-10,20,1,0,-1,-1,-1,1,-1,-1,0,0
96,86.989610999999996,1,1,0,3.6117267231711411e-10,20,1,0,-1,-1,-1,1,-1,-1,0,0
97,86.01313300000001,1,1,0,2.1253145721872958e-10,20,1,0,-1,-1,-1,1,-1,-1,0,0
98,84.526467999999994,1,1,0,1.2541331204098725e-10,20,1,0,-1,-1,-1,1,-1,-1,0,0
99,85.833203999999995,1,1,0,7.3737581253159662e-11,20,1,0,-1,-1,-1,1,-1,-1,0,0
100,87.222847999999999,1,1,0,4.3506722741774377e-11,20,1,0,-1,-1,-1,1,-1,-1,0,0
101,88.585988,1,1,0,2.564056281343773e-11,20,1,0,-1,-1,-1,1,-1,-1,0,0
102,85.950279000000009,1,1,0,1.5073382916884114e-11,20,1,0,-1,-1,-1,1,-1,-1,0,0
103,83.033940000000001,1,1,0,8.8966020547257534e-12,20,1,0,-1,-1,-1,1,-1,-1,0,0
