condition,method,K,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
Tight-S-head-on,DiverseRisk-K2,2,0.155000,0.133893,0.178747,1.0691,0.3190,0.9579,1.029,1000
Tight-S-head-on,DiverseRisk-K3,3,0.167000,0.145166,0.191383,1.0683,0.2805,0.9581,1.030,1000
Tight-S-head-on,DiverseRisk-K4,4,0.161000,0.139524,0.185070,1.0687,0.3052,0.9579,1.026,1000
Tight-S-head-on,DiverseRisk-K5,5,0.172000,0.149876,0.196634,1.0516,0.2428,0.9574,1.034,1000
2obs-straight,Base,0,0.670000,0.640254,0.698445,0.7201,0.1612,0.9541,0.906,1000
2obs-straight,WDRO-sampling,0,0.273000,0.246295,0.301442,1.0089,0.4104,0.9609,1.216,1000
2obs-straight,WDRO-inject-K1,1,0.278000,0.251122,0.306578,0.9686,0.4061,0.9613,1.215,1000
2obs-straight,WDRO-inject-K2,2,0.254000,0.227997,0.281886,0.9906,0.4450,0.9611,1.216,1000
2obs-straight,WDRO-inject-K3,3,0.280000,0.253053,0.308631,0.9711,0.4405,0.9613,1.235,1000
2obs-straight,WDRO-inject-K4,4,0.259000,0.232806,0.287039,0.9928,0.4355,0.9613,1.226,1000
2obs-straight,WDRO-inject-K5,5,0.235000,0.209765,0.262263,0.9901,0.4153,0.9610,1.227,1000
2obs-straight,TopRisk-K1,1,0.253000,0.227035,0.280855,0.9839,0.4480,0.9612,1.217,1000
2obs-straight,TopRisk-K2,2,0.268000,0.241474,0.296302,0.9861,0.3932,0.9614,1.222,1000
2obs-straight,TopRisk-K3,3,0.220000,0.195423,0.246720,1.0158,0.4957,0.9616,1.214,1000
2obs-straight,TopRisk-K4,4,0.222000,0.197333,0.248795,1.0126,0.4527,0.9616,1.216,1000
2obs-straight,TopRisk-K5,5,0.254000,0.227997,0.281886,0.9901,0.4556,0.9615,1.226,1000
2obs-straight,DiverseRisk-K1,1,0.235000,0.209765,0.262263,1.0006,0.4417,0.9613,1.212,1000
2obs-straight,DiverseRisk-K2,2,0.238000,0.212639,0.265366,1.0048,0.4368,0.9615,1.214,1000
2obs-straight,DiverseRisk-K3,3,0.240000,0.214556,0.267434,0.9935,0.4476,0.9612,1.229,1000
2obs-straight,DiverseRisk-K4,4,0.244000,0.218392,0.271567,0.9938,0.4908,0.9611,1.224,1000
2obs-straight,DiverseRisk-K5,5,0.241000,0.215515,0.268467,0.9973,0.4600,0.9608,1.214,1000
High-switch,Base,0,0.652000,0.621946,0.680891,0.7541,0.1407,0.9133,0.793,1000
High-switch,WDRO-sampling,0,0.146000,0.125469,0.169241,1.1213,0.4893,0.9568,0.998,1000
High-switch,WDRO-inject-K1,1,0.134000,0.114281,0.156521,1.1079,0.5365,0.9573,0.996,1000
High-switch,WDRO-inject-K2,2,0.135000,0.115211,0.157583,1.1092,0.5070,0.9570,1.001,1000
High-switch,WDRO-inject-K3,3,0.127000,0.107780,0.149075,1.1032,0.4591,0.9570,1.004,1000
High-switch,WDRO-inject-K4,4,0.129000,0.109635,0.151204,1.1095,0.4936,0.9572,1.006,1000
High-switch,WDRO-inject-K5,5,0.140000,0.119868,0.162887,1.0900,0.4573,0.9569,1.010,1000
High-switch,TopRisk-K1,1,0.150000,0.129210,0.173469,1.0929,0.4435,0.9571,1.002,1000
High-switch,TopRisk-K2,2,0.139000,0.118936,0.161827,1.0981,0.4444,0.9570,1.001,1000
High-switch,TopRisk-K3,3,0.131000,0.111492,0.153332,1.1094,0.5367,0.9566,1.001,1000
High-switch,TopRisk-K4,4,0.133000,0.113351,0.155458,1.0992,0.4859,0.9568,1.001,1000
High-switch,TopRisk-K5,5,0.127000,0.107780,0.149075,1.1068,0.5209,0.9569,0.998,1000
High-switch,DiverseRisk-K1,1,0.114000,0.095761,0.135193,1.1201,0.5502,0.9571,1.002,1000
High-switch,DiverseRisk-K2,2,0.138000,0.118004,0.160766,1.1023,0.5011,0.9564,1.008,1000
High-switch,DiverseRisk-K3,3,0.128000,0.108707,0.150140,1.1166,0.5211,0.9568,1.002,1000
High-switch,DiverseRisk-K4,4,0.132000,0.112421,0.154395,1.1048,0.4992,0.9568,1.004,1000
High-switch,DiverseRisk-K5,5,0.133000,0.113351,0.155458,1.0990,0.4469,0.9568,1.010,1000
