profile,controller,measured_rollouts,collision_rate,safe_completion_rate,no_admissible_control_rate,first_attempt_inadmissibility,fallback_rate,mean_draws_per_cycle,mean_cycle_ms,focus_inclusion_rate,focus_realized_frequency,mean_nominal_probability,mean_sampling_probability
boost_0,sh_mpcc,1,0.0,0.0,0.0,0.0,0.0,20.0,18.718389333333334,1.0,0.6666666666666666,0.39470899470899473,0.39470899470899473
boost_0,sh_mpcc_dro,1,0.0,0.0,0.0,0.0,0.0,20.0,20.969421333333333,1.0,0.6666666666666666,0.39470899470899473,0.39470899470899473
boost_0,sh_mpcc_dro_fallback,1,0.0,0.0,0.0,0.0,0.0,20.0,25.15323666666667,1.0,0.6666666666666666,0.39470899470899473,0.39470899470899473
boost_0,sh_mpcc_extra,1,0.0,0.0,0.0,0.0,0.0,40.0,27.248496333333332,1.0,0.6666666666666666,0.39470899470899473,0.39470899470899473
boost_0,sh_mpcc_resample,1,0.0,0.0,0.0,0.0,0.0,20.0,21.83987666666667,1.0,0.6666666666666666,0.39470899470899473,0.39470899470899473
boost_15,sh_mpcc,1,0.0,0.0,0.0,0.0,0.0,20.0,24.29025,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_15,sh_mpcc_dro,1,0.0,0.0,0.0,0.0,0.0,20.0,20.470313333333333,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_15,sh_mpcc_dro_fallback,1,0.0,0.0,0.0,0.0,0.0,20.0,25.335106,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_15,sh_mpcc_extra,1,0.0,0.0,0.0,0.0,0.0,40.0,22.897527666666665,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_15,sh_mpcc_resample,1,0.0,0.0,0.0,0.0,0.0,20.0,20.306244666666668,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_30,sh_mpcc,1,0.0,0.0,0.0,0.0,0.0,20.0,20.003912666666665,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_30,sh_mpcc_dro,1,0.0,0.0,0.0,0.0,0.0,20.0,20.646747666666666,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_30,sh_mpcc_dro_fallback,1,0.0,0.0,0.0,0.0,0.0,20.0,20.385598666666667,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_30,sh_mpcc_extra,1,0.0,0.0,0.0,0.0,0.0,40.0,24.551047333333333,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_30,sh_mpcc_resample,1,0.0,0.0,0.0,0.0,0.0,20.0,24.364479666666668,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_5,sh_mpcc,1,0.0,0.0,0.0,0.0,0.0,20.0,24.449726,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_5,sh_mpcc_dro,1,0.0,0.0,0.0,0.0,0.0,20.0,18.753660333333332,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_5,sh_mpcc_dro_fallback,1,0.0,0.0,0.0,0.0,0.0,20.0,22.222916333333334,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_5,sh_mpcc_extra,1,0.0,0.0,0.0,0.0,0.0,40.0,22.120460666666663,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
boost_5,sh_mpcc_resample,1,0.0,0.0,0.0,0.0,0.0,20.0,20.300186666666665,1.0,0.3333333333333333,0.2253968253968254,0.2253968253968254
