test_suite,test_name,test_root,matrix_identity,source_artifact,count,mode,nominal_probability,reference_safety_margin,rho,risk_score,wdro_probability
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/weights.csv,90,away,0.090364453320019966,1.7332815729997468,0.04073867801552649,0,0.090364453320019966
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/weights.csv,10,cut_in,0.010484273589615577,-0.94999999999999973,0.04073867801552649,0.95000314398028707,0.029883644073199624
rare_mode,rare-wrapper-smoke,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke,,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/rare-wrapper-smoke/artifacts/weights.csv,900,straight,0.89915127309036447,1.05,0.04073867801552649,0,0.87975190260678038
